Round,Judgment,Pattern,Strategy,Choice,Reward,Last Choice,Last Reward,Best highest success,Best highest ratio,Best lowest failures,Success Count,Failure Count,Success Ratio
0,N/A,N/A,N/A+N/A,,,,,,,,{},{},{}
1,Explore,Switch-After-Win,Explore+Switch-After-Win,Bright Green,1.0,,,,,,{},{},{}
2,Exploit,Win-Stay,Exploit+Win-Stay,Bright Green,1.0,Bright Green,1.0,Bright Green,Bright Green,,"{""Bright Green"": 1}",{},"{""Bright Green"": 1.0}"
3,Explore,Switch-After-Win,Explore+Switch-After-Win,Orange,1.0,Bright Green,1.0,Bright Green,Bright Green,,"{""Bright Green"": 2}",{},"{""Bright Green"": 1.0}"
4,Exploit,Win-Stay,Exploit+Win-Stay,Orange,1.0,Orange,1.0,Bright Green,"Bright Green, Orange",,"{""Bright Green"": 2, ""Orange"": 1}",{},"{""Bright Green"": 1.0, ""Orange"": 1.0}"
5,Exploit,Win-Stay,Exploit+Win-Stay,Orange,1.0,Orange,1.0,"Bright Green, Orange","Bright Green, Orange",,"{""Bright Green"": 2, ""Orange"": 2}",{},"{""Bright Green"": 1.0, ""Orange"": 1.0}"
6,Explore,Switch-After-Win,Explore+Switch-After-Win,Pink,1.0,Orange,1.0,Orange,"Bright Green, Orange",,"{""Bright Green"": 2, ""Orange"": 3}",{},"{""Bright Green"": 1.0, ""Orange"": 1.0}"
7,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Orange,"Bright Green, Pink, Orange",,"{""Bright Green"": 2, ""Orange"": 3, ""Pink"": 1}",{},"{""Bright Green"": 1.0, ""Orange"": 1.0, ""Pink"": 1.0}"
8,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Orange,"Bright Green, Pink, Orange",,"{""Bright Green"": 2, ""Orange"": 3, ""Pink"": 2}",{},"{""Bright Green"": 1.0, ""Orange"": 1.0, ""Pink"": 1.0}"
9,Exploit,Switch-After-Win,Exploit+Switch-After-Win,Bright Green,1.0,Pink,1.0,"Pink, Orange","Bright Green, Pink, Orange",,"{""Bright Green"": 2, ""Orange"": 3, ""Pink"": 3}",{},"{""Bright Green"": 1.0, ""Orange"": 1.0, ""Pink"": 1.0}"
10,Explore,Switch-After-Win,Explore+Switch-After-Win,Black,1.0,Bright Green,1.0,"Bright Green, Pink, Orange","Bright Green, Pink, Orange",,"{""Bright Green"": 3, ""Orange"": 3, ""Pink"": 3}",{},"{""Bright Green"": 1.0, ""Orange"": 1.0, ""Pink"": 1.0}"
11,Exploit,Win-Stay,Exploit+Win-Stay,Black,1.0,Black,1.0,"Bright Green, Pink, Orange","Bright Green, Black, Pink, Orange",,"{""Bright Green"": 3, ""Orange"": 3, ""Pink"": 3, ""Black"": 1}",{},"{""Bright Green"": 1.0, ""Orange"": 1.0, ""Pink"": 1.0, ""Black"": 1.0}"
12,Exploit,Win-Stay,Exploit+Win-Stay,Black,1.0,Black,1.0,"Bright Green, Pink, Orange","Bright Green, Black, Pink, Orange",,"{""Bright Green"": 3, ""Orange"": 3, ""Pink"": 3, ""Black"": 2}",{},"{""Bright Green"": 1.0, ""Orange"": 1.0, ""Pink"": 1.0, ""Black"": 1.0}"
13,Exploit,Win-Stay,Exploit+Win-Stay,Black,1.0,Black,1.0,"Bright Green, Black, Pink, Orange","Bright Green, Black, Pink, Orange",,"{""Bright Green"": 3, ""Orange"": 3, ""Pink"": 3, ""Black"": 3}",{},"{""Bright Green"": 1.0, ""Orange"": 1.0, ""Pink"": 1.0, ""Black"": 1.0}"
