Round,Judgment,Pattern,Strategy,Choice,Reward,Last Choice,Last Reward,Best highest success,Best highest ratio,Best lowest failures,Success Count,Failure Count,Success Ratio
0,N/A,N/A,N/A+N/A,,,,,,,,{},{},{}
1,Explore,Switch-After-Win,Explore+Switch-After-Win,Amber,1.0,,,,,,{},{},{}
2,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,,"{""Amber"": 1}",{},"{""Amber"": 1.0}"
3,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,,"{""Amber"": 2}",{},"{""Amber"": 1.0}"
4,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,,"{""Amber"": 3}",{},"{""Amber"": 1.0}"
5,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,,"{""Amber"": 4}",{},"{""Amber"": 1.0}"
6,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,,"{""Amber"": 5}",{},"{""Amber"": 1.0}"
7,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,,"{""Amber"": 6}",{},"{""Amber"": 1.0}"
8,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,,"{""Amber"": 7}",{},"{""Amber"": 1.0}"
9,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,,"{""Amber"": 8}",{},"{""Amber"": 1.0}"
10,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,,"{""Amber"": 9}",{},"{""Amber"": 1.0}"
11,Exploit,Win-Stay,Exploit+Win-Stay,Amber,0.0,Amber,1.0,Amber,Amber,,"{""Amber"": 10}",{},"{""Amber"": 1.0}"
12,Exploit,Lose-Stay,Exploit+Lose-Stay,Amber,1.0,Amber,0.0,Amber,Amber,Amber,"{""Amber"": 10}","{""Amber"": 1}","{""Amber"": 0.9090909090909091}"
13,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 11}","{""Amber"": 1}","{""Amber"": 0.9166666666666666}"
14,Exploit,Win-Stay,Exploit+Win-Stay,Amber,0.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 12}","{""Amber"": 1}","{""Amber"": 0.9230769230769231}"
15,Exploit,Lose-Stay,Exploit+Lose-Stay,Amber,1.0,Amber,0.0,Amber,Amber,Amber,"{""Amber"": 12}","{""Amber"": 2}","{""Amber"": 0.8571428571428571}"
16,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 13}","{""Amber"": 2}","{""Amber"": 0.8666666666666667}"
17,Exploit,Win-Stay,Exploit+Win-Stay,Amber,0.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 14}","{""Amber"": 2}","{""Amber"": 0.875}"
18,Exploit,Lose-Stay,Exploit+Lose-Stay,Amber,1.0,Amber,0.0,Amber,Amber,Amber,"{""Amber"": 14}","{""Amber"": 3}","{""Amber"": 0.8235294117647058}"
19,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 15}","{""Amber"": 3}","{""Amber"": 0.8333333333333334}"
20,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 16}","{""Amber"": 3}","{""Amber"": 0.8421052631578947}"
21,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 17}","{""Amber"": 3}","{""Amber"": 0.85}"
22,Exploit,Win-Stay,Exploit+Win-Stay,Amber,0.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 18}","{""Amber"": 3}","{""Amber"": 0.8571428571428571}"
23,Exploit,Lose-Stay,Exploit+Lose-Stay,Amber,1.0,Amber,0.0,Amber,Amber,Amber,"{""Amber"": 18}","{""Amber"": 4}","{""Amber"": 0.8181818181818182}"
24,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 19}","{""Amber"": 4}","{""Amber"": 0.8260869565217391}"
25,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 20}","{""Amber"": 4}","{""Amber"": 0.8333333333333334}"
26,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 21}","{""Amber"": 4}","{""Amber"": 0.84}"
27,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 22}","{""Amber"": 4}","{""Amber"": 0.8461538461538461}"
28,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 23}","{""Amber"": 4}","{""Amber"": 0.8518518518518519}"
29,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 24}","{""Amber"": 4}","{""Amber"": 0.8571428571428571}"
30,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 25}","{""Amber"": 4}","{""Amber"": 0.8620689655172413}"
31,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 26}","{""Amber"": 4}","{""Amber"": 0.8666666666666667}"
32,Exploit,Win-Stay,Exploit+Win-Stay,Amber,0.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 27}","{""Amber"": 4}","{""Amber"": 0.8709677419354839}"
33,Exploit,Lose-Stay,Exploit+Lose-Stay,Amber,1.0,Amber,0.0,Amber,Amber,Amber,"{""Amber"": 27}","{""Amber"": 5}","{""Amber"": 0.84375}"
34,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 28}","{""Amber"": 5}","{""Amber"": 0.8484848484848485}"
35,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 29}","{""Amber"": 5}","{""Amber"": 0.8529411764705882}"
36,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 30}","{""Amber"": 5}","{""Amber"": 0.8571428571428571}"
37,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 31}","{""Amber"": 5}","{""Amber"": 0.8611111111111112}"
38,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 32}","{""Amber"": 5}","{""Amber"": 0.8648648648648649}"
39,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 33}","{""Amber"": 5}","{""Amber"": 0.868421052631579}"
40,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 34}","{""Amber"": 5}","{""Amber"": 0.8717948717948718}"
41,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 35}","{""Amber"": 5}","{""Amber"": 0.875}"
42,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 36}","{""Amber"": 5}","{""Amber"": 0.8780487804878049}"
43,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 37}","{""Amber"": 5}","{""Amber"": 0.8809523809523809}"
44,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 38}","{""Amber"": 5}","{""Amber"": 0.8837209302325582}"
45,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 39}","{""Amber"": 5}","{""Amber"": 0.8863636363636364}"
46,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 40}","{""Amber"": 5}","{""Amber"": 0.8888888888888888}"
47,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 41}","{""Amber"": 5}","{""Amber"": 0.8913043478260869}"
48,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 42}","{""Amber"": 5}","{""Amber"": 0.8936170212765957}"
49,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 43}","{""Amber"": 5}","{""Amber"": 0.8958333333333334}"
50,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 44}","{""Amber"": 5}","{""Amber"": 0.8979591836734694}"
51,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 45}","{""Amber"": 5}","{""Amber"": 0.9}"
52,N/A,N/A,N/A+N/A,,,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 46}","{""Amber"": 5}","{""Amber"": 0.9019607843137255}"
