Round,Judgment,Pattern,Strategy,Choice,Reward,Last Choice,Last Reward,Best highest success,Best highest ratio,Best lowest failures,Success Count,Failure Count,Success Ratio
0,N/A,N/A,N/A+N/A,,,,,,,,{},{},{}
1,Explore,Switch-After-Win,Explore+Switch-After-Win,Purple,0.0,,,,,,{},{},{}
2,Explore,Lose-Shift,Explore+Lose-Shift,Sky Blue,1.0,Purple,0.0,,Purple,Purple,{},"{""Purple"": 1}","{""Purple"": 0.0}"
3,Exploit,Switch-After-Win,Exploit+Switch-After-Win,Purple,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,Purple,"{""Sky Blue"": 1}","{""Purple"": 1}","{""Purple"": 0.0, ""Sky Blue"": 1.0}"
4,Explore,Switch-After-Win,Explore+Switch-After-Win,Pink,1.0,Purple,1.0,"Purple, Sky Blue",Sky Blue,Purple,"{""Sky Blue"": 1, ""Purple"": 1}","{""Purple"": 1}","{""Purple"": 0.5, ""Sky Blue"": 1.0}"
5,Explore,Switch-After-Win,Explore+Switch-After-Win,Orange,1.0,Pink,1.0,"Purple, Pink, Sky Blue","Pink, Sky Blue",Purple,"{""Sky Blue"": 1, ""Purple"": 1, ""Pink"": 1}","{""Purple"": 1}","{""Purple"": 0.5, ""Sky Blue"": 1.0, ""Pink"": 1.0}"
6,Explore,Switch-After-Win,Explore+Switch-After-Win,Black,1.0,Orange,1.0,"Orange, Purple, Pink, Sky Blue","Orange, Pink, Sky Blue",Purple,"{""Sky Blue"": 1, ""Purple"": 1, ""Pink"": 1, ""Orange"": 1}","{""Purple"": 1}","{""Purple"": 0.5, ""Sky Blue"": 1.0, ""Pink"": 1.0, ""Orange"": 1.0}"
7,Explore,Switch-After-Win,Explore+Switch-After-Win,Crimson,1.0,Black,1.0,"Pink, Sky Blue, Black, Purple, Orange","Orange, Black, Pink, Sky Blue",Purple,"{""Sky Blue"": 1, ""Purple"": 1, ""Pink"": 1, ""Orange"": 1, ""Black"": 1}","{""Purple"": 1}","{""Purple"": 0.5, ""Sky Blue"": 1.0, ""Pink"": 1.0, ""Orange"": 1.0, ""Black"": 1.0}"
8,Exploit,Switch-After-Win,Exploit+Switch-After-Win,Pink,1.0,Crimson,1.0,"Pink, Sky Blue, Crimson, Black, Purple, Orange","Pink, Sky Blue, Crimson, Black, Orange",Purple,"{""Sky Blue"": 1, ""Purple"": 1, ""Pink"": 1, ""Orange"": 1, ""Black"": 1, ""Crimson"": 1}","{""Purple"": 1}","{""Purple"": 0.5, ""Sky Blue"": 1.0, ""Pink"": 1.0, ""Orange"": 1.0, ""Black"": 1.0, ""Crimson"": 1.0}"
9,Explore,Switch-After-Win,Explore+Switch-After-Win,Indigo,1.0,Pink,1.0,Pink,"Pink, Sky Blue, Crimson, Black, Orange",Purple,"{""Sky Blue"": 1, ""Purple"": 1, ""Pink"": 2, ""Orange"": 1, ""Black"": 1, ""Crimson"": 1}","{""Purple"": 1}","{""Purple"": 0.5, ""Sky Blue"": 1.0, ""Pink"": 1.0, ""Orange"": 1.0, ""Black"": 1.0, ""Crimson"": 1.0}"
10,Exploit,Switch-After-Win,Exploit+Switch-After-Win,Sky Blue,1.0,Indigo,1.0,Pink,"Indigo, Pink, Sky Blue, Crimson, Black, Orange",Purple,"{""Sky Blue"": 1, ""Purple"": 1, ""Pink"": 2, ""Orange"": 1, ""Black"": 1, ""Crimson"": 1, ""Indigo"": 1}","{""Purple"": 1}","{""Purple"": 0.5, ""Sky Blue"": 1.0, ""Pink"": 1.0, ""Orange"": 1.0, ""Black"": 1.0, ""Crimson"": 1.0, ""Indigo"": 1.0}"
11,Explore,Switch-After-Win,Explore+Switch-After-Win,Bright Green,1.0,Sky Blue,1.0,"Pink, Sky Blue","Indigo, Pink, Sky Blue, Crimson, Black, Orange",Purple,"{""Sky Blue"": 2, ""Purple"": 1, ""Pink"": 2, ""Orange"": 1, ""Black"": 1, ""Crimson"": 1, ""Indigo"": 1}","{""Purple"": 1}","{""Purple"": 0.5, ""Sky Blue"": 1.0, ""Pink"": 1.0, ""Orange"": 1.0, ""Black"": 1.0, ""Crimson"": 1.0, ""Indigo"": 1.0}"
12,Exploit,Switch-After-Win,Exploit+Switch-After-Win,Indigo,1.0,Bright Green,1.0,"Pink, Sky Blue","Indigo, Pink, Sky Blue, Crimson, Bright Green, Black, Orange",Purple,"{""Sky Blue"": 2, ""Purple"": 1, ""Pink"": 2, ""Orange"": 1, ""Black"": 1, ""Crimson"": 1, ""Indigo"": 1, ""Bright Green"": 1}","{""Purple"": 1}","{""Purple"": 0.5, ""Sky Blue"": 1.0, ""Pink"": 1.0, ""Orange"": 1.0, ""Black"": 1.0, ""Crimson"": 1.0, ""Indigo"": 1.0, ""Bright Green"": 1.0}"
13,Exploit,Win-Stay,Exploit+Win-Stay,Indigo,1.0,Indigo,1.0,"Indigo, Pink, Sky Blue","Indigo, Pink, Sky Blue, Crimson, Bright Green, Black, Orange",Purple,"{""Sky Blue"": 2, ""Purple"": 1, ""Pink"": 2, ""Orange"": 1, ""Black"": 1, ""Crimson"": 1, ""Indigo"": 2, ""Bright Green"": 1}","{""Purple"": 1}","{""Purple"": 0.5, ""Sky Blue"": 1.0, ""Pink"": 1.0, ""Orange"": 1.0, ""Black"": 1.0, ""Crimson"": 1.0, ""Indigo"": 1.0, ""Bright Green"": 1.0}"
14,Explore,Switch-After-Win,Explore+Switch-After-Win,Slate,1.0,Indigo,1.0,Indigo,"Indigo, Pink, Sky Blue, Crimson, Bright Green, Black, Orange",Purple,"{""Sky Blue"": 2, ""Purple"": 1, ""Pink"": 2, ""Orange"": 1, ""Black"": 1, ""Crimson"": 1, ""Indigo"": 3, ""Bright Green"": 1}","{""Purple"": 1}","{""Purple"": 0.5, ""Sky Blue"": 1.0, ""Pink"": 1.0, ""Orange"": 1.0, ""Black"": 1.0, ""Crimson"": 1.0, ""Indigo"": 1.0, ""Bright Green"": 1.0}"
15,Explore,Switch-After-Win,Explore+Switch-After-Win,Amber,1.0,Slate,1.0,Indigo,"Indigo, Pink, Sky Blue, Slate, Crimson, Bright Green, Black, Orange",Purple,"{""Sky Blue"": 2, ""Purple"": 1, ""Pink"": 2, ""Orange"": 1, ""Black"": 1, ""Crimson"": 1, ""Indigo"": 3, ""Bright Green"": 1, ""Slate"": 1}","{""Purple"": 1}","{""Purple"": 0.5, ""Sky Blue"": 1.0, ""Pink"": 1.0, ""Orange"": 1.0, ""Black"": 1.0, ""Crimson"": 1.0, ""Indigo"": 1.0, ""Bright Green"": 1.0, ""Slate"": 1.0}"
16,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Indigo,"Indigo, Pink, Sky Blue, Slate, Crimson, Bright Green, Black, Amber, Orange",Purple,"{""Sky Blue"": 2, ""Purple"": 1, ""Pink"": 2, ""Orange"": 1, ""Black"": 1, ""Crimson"": 1, ""Indigo"": 3, ""Bright Green"": 1, ""Slate"": 1, ""Amber"": 1}","{""Purple"": 1}","{""Purple"": 0.5, ""Sky Blue"": 1.0, ""Pink"": 1.0, ""Orange"": 1.0, ""Black"": 1.0, ""Crimson"": 1.0, ""Indigo"": 1.0, ""Bright Green"": 1.0, ""Slate"": 1.0, ""Amber"": 1.0}"
17,Exploit,Switch-After-Win,Exploit+Switch-After-Win,Crimson,1.0,Amber,1.0,Indigo,"Indigo, Pink, Sky Blue, Slate, Crimson, Bright Green, Black, Amber, Orange",Purple,"{""Sky Blue"": 2, ""Purple"": 1, ""Pink"": 2, ""Orange"": 1, ""Black"": 1, ""Crimson"": 1, ""Indigo"": 3, ""Bright Green"": 1, ""Slate"": 1, ""Amber"": 2}","{""Purple"": 1}","{""Purple"": 0.5, ""Sky Blue"": 1.0, ""Pink"": 1.0, ""Orange"": 1.0, ""Black"": 1.0, ""Crimson"": 1.0, ""Indigo"": 1.0, ""Bright Green"": 1.0, ""Slate"": 1.0, ""Amber"": 1.0}"
18,Exploit,Switch-After-Win,Exploit+Switch-After-Win,Indigo,1.0,Crimson,1.0,Indigo,"Indigo, Pink, Sky Blue, Slate, Crimson, Bright Green, Black, Amber, Orange",Purple,"{""Sky Blue"": 2, ""Purple"": 1, ""Pink"": 2, ""Orange"": 1, ""Black"": 1, ""Crimson"": 2, ""Indigo"": 3, ""Bright Green"": 1, ""Slate"": 1, ""Amber"": 2}","{""Purple"": 1}","{""Purple"": 0.5, ""Sky Blue"": 1.0, ""Pink"": 1.0, ""Orange"": 1.0, ""Black"": 1.0, ""Crimson"": 1.0, ""Indigo"": 1.0, ""Bright Green"": 1.0, ""Slate"": 1.0, ""Amber"": 1.0}"
19,Exploit,Switch-After-Win,Exploit+Switch-After-Win,Amber,1.0,Indigo,1.0,Indigo,"Indigo, Pink, Sky Blue, Slate, Crimson, Bright Green, Black, Amber, Orange",Purple,"{""Sky Blue"": 2, ""Purple"": 1, ""Pink"": 2, ""Orange"": 1, ""Black"": 1, ""Crimson"": 2, ""Indigo"": 4, ""Bright Green"": 1, ""Slate"": 1, ""Amber"": 2}","{""Purple"": 1}","{""Purple"": 0.5, ""Sky Blue"": 1.0, ""Pink"": 1.0, ""Orange"": 1.0, ""Black"": 1.0, ""Crimson"": 1.0, ""Indigo"": 1.0, ""Bright Green"": 1.0, ""Slate"": 1.0, ""Amber"": 1.0}"
20,Exploit,Switch-After-Win,Exploit+Switch-After-Win,Pink,1.0,Amber,1.0,Indigo,"Indigo, Pink, Sky Blue, Slate, Crimson, Bright Green, Black, Amber, Orange",Purple,"{""Sky Blue"": 2, ""Purple"": 1, ""Pink"": 2, ""Orange"": 1, ""Black"": 1, ""Crimson"": 2, ""Indigo"": 4, ""Bright Green"": 1, ""Slate"": 1, ""Amber"": 3}","{""Purple"": 1}","{""Purple"": 0.5, ""Sky Blue"": 1.0, ""Pink"": 1.0, ""Orange"": 1.0, ""Black"": 1.0, ""Crimson"": 1.0, ""Indigo"": 1.0, ""Bright Green"": 1.0, ""Slate"": 1.0, ""Amber"": 1.0}"
21,Exploit,Switch-After-Win,Exploit+Switch-After-Win,Slate,1.0,Pink,1.0,Indigo,"Indigo, Pink, Sky Blue, Slate, Crimson, Bright Green, Black, Amber, Orange",Purple,"{""Sky Blue"": 2, ""Purple"": 1, ""Pink"": 3, ""Orange"": 1, ""Black"": 1, ""Crimson"": 2, ""Indigo"": 4, ""Bright Green"": 1, ""Slate"": 1, ""Amber"": 3}","{""Purple"": 1}","{""Purple"": 0.5, ""Sky Blue"": 1.0, ""Pink"": 1.0, ""Orange"": 1.0, ""Black"": 1.0, ""Crimson"": 1.0, ""Indigo"": 1.0, ""Bright Green"": 1.0, ""Slate"": 1.0, ""Amber"": 1.0}"
22,Exploit,Switch-After-Win,Exploit+Switch-After-Win,Bright Green,1.0,Slate,1.0,Indigo,"Indigo, Pink, Sky Blue, Slate, Crimson, Bright Green, Black, Amber, Orange",Purple,"{""Sky Blue"": 2, ""Purple"": 1, ""Pink"": 3, ""Orange"": 1, ""Black"": 1, ""Crimson"": 2, ""Indigo"": 4, ""Bright Green"": 1, ""Slate"": 2, ""Amber"": 3}","{""Purple"": 1}","{""Purple"": 0.5, ""Sky Blue"": 1.0, ""Pink"": 1.0, ""Orange"": 1.0, ""Black"": 1.0, ""Crimson"": 1.0, ""Indigo"": 1.0, ""Bright Green"": 1.0, ""Slate"": 1.0, ""Amber"": 1.0}"
23,Exploit,Switch-After-Win,Exploit+Switch-After-Win,Amber,1.0,Bright Green,1.0,Indigo,"Indigo, Pink, Sky Blue, Slate, Crimson, Bright Green, Black, Amber, Orange",Purple,"{""Sky Blue"": 2, ""Purple"": 1, ""Pink"": 3, ""Orange"": 1, ""Black"": 1, ""Crimson"": 2, ""Indigo"": 4, ""Bright Green"": 2, ""Slate"": 2, ""Amber"": 3}","{""Purple"": 1}","{""Purple"": 0.5, ""Sky Blue"": 1.0, ""Pink"": 1.0, ""Orange"": 1.0, ""Black"": 1.0, ""Crimson"": 1.0, ""Indigo"": 1.0, ""Bright Green"": 1.0, ""Slate"": 1.0, ""Amber"": 1.0}"
24,Exploit,Switch-After-Win,Exploit+Switch-After-Win,Sky Blue,1.0,Amber,1.0,"Indigo, Amber","Indigo, Pink, Sky Blue, Slate, Crimson, Bright Green, Black, Amber, Orange",Purple,"{""Sky Blue"": 2, ""Purple"": 1, ""Pink"": 3, ""Orange"": 1, ""Black"": 1, ""Crimson"": 2, ""Indigo"": 4, ""Bright Green"": 2, ""Slate"": 2, ""Amber"": 4}","{""Purple"": 1}","{""Purple"": 0.5, ""Sky Blue"": 1.0, ""Pink"": 1.0, ""Orange"": 1.0, ""Black"": 1.0, ""Crimson"": 1.0, ""Indigo"": 1.0, ""Bright Green"": 1.0, ""Slate"": 1.0, ""Amber"": 1.0}"
25,Exploit,Switch-After-Win,Exploit+Switch-After-Win,Pink,1.0,Sky Blue,1.0,"Indigo, Amber","Indigo, Pink, Sky Blue, Slate, Crimson, Bright Green, Black, Amber, Orange",Purple,"{""Sky Blue"": 3, ""Purple"": 1, ""Pink"": 3, ""Orange"": 1, ""Black"": 1, ""Crimson"": 2, ""Indigo"": 4, ""Bright Green"": 2, ""Slate"": 2, ""Amber"": 4}","{""Purple"": 1}","{""Purple"": 0.5, ""Sky Blue"": 1.0, ""Pink"": 1.0, ""Orange"": 1.0, ""Black"": 1.0, ""Crimson"": 1.0, ""Indigo"": 1.0, ""Bright Green"": 1.0, ""Slate"": 1.0, ""Amber"": 1.0}"
26,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,"Indigo, Amber, Pink","Indigo, Pink, Sky Blue, Slate, Crimson, Bright Green, Black, Amber, Orange",Purple,"{""Sky Blue"": 3, ""Purple"": 1, ""Pink"": 4, ""Orange"": 1, ""Black"": 1, ""Crimson"": 2, ""Indigo"": 4, ""Bright Green"": 2, ""Slate"": 2, ""Amber"": 4}","{""Purple"": 1}","{""Purple"": 0.5, ""Sky Blue"": 1.0, ""Pink"": 1.0, ""Orange"": 1.0, ""Black"": 1.0, ""Crimson"": 1.0, ""Indigo"": 1.0, ""Bright Green"": 1.0, ""Slate"": 1.0, ""Amber"": 1.0}"
27,Exploit,Switch-After-Win,Exploit+Switch-After-Win,Sky Blue,1.0,Pink,1.0,Pink,"Indigo, Pink, Sky Blue, Slate, Crimson, Bright Green, Black, Amber, Orange",Purple,"{""Sky Blue"": 3, ""Purple"": 1, ""Pink"": 5, ""Orange"": 1, ""Black"": 1, ""Crimson"": 2, ""Indigo"": 4, ""Bright Green"": 2, ""Slate"": 2, ""Amber"": 4}","{""Purple"": 1}","{""Purple"": 0.5, ""Sky Blue"": 1.0, ""Pink"": 1.0, ""Orange"": 1.0, ""Black"": 1.0, ""Crimson"": 1.0, ""Indigo"": 1.0, ""Bright Green"": 1.0, ""Slate"": 1.0, ""Amber"": 1.0}"
