Round,Judgment,Pattern,Strategy,Choice,Reward,Last Choice,Last Reward,Best highest success,Best highest ratio,Best lowest failures,Success Count,Failure Count,Success Ratio
0,N/A,N/A,N/A+N/A,,,,,,,,{},{},{}
1,Explore,Switch-After-Win,Explore+Switch-After-Win,Sky Blue,0.0,,,,,,{},{},{}
2,Explore,Lose-Shift,Explore+Lose-Shift,Purple,1.0,Sky Blue,0.0,,Sky Blue,Sky Blue,{},"{""Sky Blue"": 1}","{""Sky Blue"": 0.0}"
3,Exploit,Win-Stay,Exploit+Win-Stay,Purple,0.0,Purple,1.0,Purple,Purple,Sky Blue,"{""Purple"": 1}","{""Sky Blue"": 1}","{""Sky Blue"": 0.0, ""Purple"": 1.0}"
4,Exploit,Lose-Stay,Exploit+Lose-Stay,Purple,1.0,Purple,0.0,Purple,Purple,"Purple, Sky Blue","{""Purple"": 1}","{""Sky Blue"": 1, ""Purple"": 1}","{""Sky Blue"": 0.0, ""Purple"": 0.5}"
5,Exploit,Win-Stay,Exploit+Win-Stay,Purple,1.0,Purple,1.0,Purple,Purple,"Purple, Sky Blue","{""Purple"": 2}","{""Sky Blue"": 1, ""Purple"": 1}","{""Sky Blue"": 0.0, ""Purple"": 0.6666666666666666}"
6,Exploit,Win-Stay,Exploit+Win-Stay,Purple,1.0,Purple,1.0,Purple,Purple,"Purple, Sky Blue","{""Purple"": 3}","{""Sky Blue"": 1, ""Purple"": 1}","{""Sky Blue"": 0.0, ""Purple"": 0.75}"
7,Exploit,Win-Stay,Exploit+Win-Stay,Purple,1.0,Purple,1.0,Purple,Purple,"Purple, Sky Blue","{""Purple"": 4}","{""Sky Blue"": 1, ""Purple"": 1}","{""Sky Blue"": 0.0, ""Purple"": 0.8}"
8,Exploit,Win-Stay,Exploit+Win-Stay,Purple,1.0,Purple,1.0,Purple,Purple,"Purple, Sky Blue","{""Purple"": 5}","{""Sky Blue"": 1, ""Purple"": 1}","{""Sky Blue"": 0.0, ""Purple"": 0.8333333333333334}"
9,Exploit,Win-Stay,Exploit+Win-Stay,Purple,1.0,Purple,1.0,Purple,Purple,"Purple, Sky Blue","{""Purple"": 6}","{""Sky Blue"": 1, ""Purple"": 1}","{""Sky Blue"": 0.0, ""Purple"": 0.8571428571428571}"
10,Exploit,Win-Stay,Exploit+Win-Stay,Purple,1.0,Purple,1.0,Purple,Purple,"Purple, Sky Blue","{""Purple"": 7}","{""Sky Blue"": 1, ""Purple"": 1}","{""Sky Blue"": 0.0, ""Purple"": 0.875}"
11,Exploit,Win-Stay,Exploit+Win-Stay,Purple,1.0,Purple,1.0,Purple,Purple,"Purple, Sky Blue","{""Purple"": 8}","{""Sky Blue"": 1, ""Purple"": 1}","{""Sky Blue"": 0.0, ""Purple"": 0.8888888888888888}"
12,Exploit,Win-Stay,Exploit+Win-Stay,Purple,1.0,Purple,1.0,Purple,Purple,"Purple, Sky Blue","{""Purple"": 9}","{""Sky Blue"": 1, ""Purple"": 1}","{""Sky Blue"": 0.0, ""Purple"": 0.9}"
13,Exploit,Win-Stay,Exploit+Win-Stay,Purple,1.0,Purple,1.0,Purple,Purple,"Purple, Sky Blue","{""Purple"": 10}","{""Sky Blue"": 1, ""Purple"": 1}","{""Sky Blue"": 0.0, ""Purple"": 0.9090909090909091}"
14,Exploit,Win-Stay,Exploit+Win-Stay,Purple,1.0,Purple,1.0,Purple,Purple,"Purple, Sky Blue","{""Purple"": 11}","{""Sky Blue"": 1, ""Purple"": 1}","{""Sky Blue"": 0.0, ""Purple"": 0.9166666666666666}"
15,Exploit,Win-Stay,Exploit+Win-Stay,Purple,1.0,Purple,1.0,Purple,Purple,"Purple, Sky Blue","{""Purple"": 12}","{""Sky Blue"": 1, ""Purple"": 1}","{""Sky Blue"": 0.0, ""Purple"": 0.9230769230769231}"
16,Exploit,Win-Stay,Exploit+Win-Stay,Purple,1.0,Purple,1.0,Purple,Purple,"Purple, Sky Blue","{""Purple"": 13}","{""Sky Blue"": 1, ""Purple"": 1}","{""Sky Blue"": 0.0, ""Purple"": 0.9285714285714286}"
17,Exploit,Win-Stay,Exploit+Win-Stay,Purple,1.0,Purple,1.0,Purple,Purple,"Purple, Sky Blue","{""Purple"": 14}","{""Sky Blue"": 1, ""Purple"": 1}","{""Sky Blue"": 0.0, ""Purple"": 0.9333333333333333}"
18,Exploit,Win-Stay,Exploit+Win-Stay,Purple,1.0,Purple,1.0,Purple,Purple,"Purple, Sky Blue","{""Purple"": 15}","{""Sky Blue"": 1, ""Purple"": 1}","{""Sky Blue"": 0.0, ""Purple"": 0.9375}"
19,Exploit,Win-Stay,Exploit+Win-Stay,Purple,1.0,Purple,1.0,Purple,Purple,"Purple, Sky Blue","{""Purple"": 16}","{""Sky Blue"": 1, ""Purple"": 1}","{""Sky Blue"": 0.0, ""Purple"": 0.9411764705882353}"
20,Exploit,Win-Stay,Exploit+Win-Stay,Purple,1.0,Purple,1.0,Purple,Purple,"Purple, Sky Blue","{""Purple"": 17}","{""Sky Blue"": 1, ""Purple"": 1}","{""Sky Blue"": 0.0, ""Purple"": 0.9444444444444444}"
21,Exploit,Win-Stay,Exploit+Win-Stay,Purple,1.0,Purple,1.0,Purple,Purple,"Purple, Sky Blue","{""Purple"": 18}","{""Sky Blue"": 1, ""Purple"": 1}","{""Sky Blue"": 0.0, ""Purple"": 0.9473684210526315}"
22,Exploit,Win-Stay,Exploit+Win-Stay,Purple,1.0,Purple,1.0,Purple,Purple,"Purple, Sky Blue","{""Purple"": 19}","{""Sky Blue"": 1, ""Purple"": 1}","{""Sky Blue"": 0.0, ""Purple"": 0.95}"
23,Exploit,Win-Stay,Exploit+Win-Stay,Purple,0.0,Purple,1.0,Purple,Purple,"Purple, Sky Blue","{""Purple"": 20}","{""Sky Blue"": 1, ""Purple"": 1}","{""Sky Blue"": 0.0, ""Purple"": 0.9523809523809523}"
24,Exploit,Lose-Stay,Exploit+Lose-Stay,Purple,1.0,Purple,0.0,Purple,Purple,Sky Blue,"{""Purple"": 20}","{""Sky Blue"": 1, ""Purple"": 2}","{""Sky Blue"": 0.0, ""Purple"": 0.9090909090909091}"
25,Exploit,Win-Stay,Exploit+Win-Stay,Purple,1.0,Purple,1.0,Purple,Purple,Sky Blue,"{""Purple"": 21}","{""Sky Blue"": 1, ""Purple"": 2}","{""Sky Blue"": 0.0, ""Purple"": 0.9130434782608695}"
26,Exploit,Win-Stay,Exploit+Win-Stay,Purple,1.0,Purple,1.0,Purple,Purple,Sky Blue,"{""Purple"": 22}","{""Sky Blue"": 1, ""Purple"": 2}","{""Sky Blue"": 0.0, ""Purple"": 0.9166666666666666}"
27,Exploit,Win-Stay,Exploit+Win-Stay,Purple,1.0,Purple,1.0,Purple,Purple,Sky Blue,"{""Purple"": 23}","{""Sky Blue"": 1, ""Purple"": 2}","{""Sky Blue"": 0.0, ""Purple"": 0.92}"
28,Exploit,Win-Stay,Exploit+Win-Stay,Purple,1.0,Purple,1.0,Purple,Purple,Sky Blue,"{""Purple"": 24}","{""Sky Blue"": 1, ""Purple"": 2}","{""Sky Blue"": 0.0, ""Purple"": 0.9230769230769231}"
29,Exploit,Win-Stay,Exploit+Win-Stay,Purple,1.0,Purple,1.0,Purple,Purple,Sky Blue,"{""Purple"": 25}","{""Sky Blue"": 1, ""Purple"": 2}","{""Sky Blue"": 0.0, ""Purple"": 0.9259259259259259}"
30,Exploit,Win-Stay,Exploit+Win-Stay,Purple,1.0,Purple,1.0,Purple,Purple,Sky Blue,"{""Purple"": 26}","{""Sky Blue"": 1, ""Purple"": 2}","{""Sky Blue"": 0.0, ""Purple"": 0.9285714285714286}"
31,Exploit,Win-Stay,Exploit+Win-Stay,Purple,1.0,Purple,1.0,Purple,Purple,Sky Blue,"{""Purple"": 27}","{""Sky Blue"": 1, ""Purple"": 2}","{""Sky Blue"": 0.0, ""Purple"": 0.9310344827586207}"
32,Exploit,Win-Stay,Exploit+Win-Stay,Purple,1.0,Purple,1.0,Purple,Purple,Sky Blue,"{""Purple"": 28}","{""Sky Blue"": 1, ""Purple"": 2}","{""Sky Blue"": 0.0, ""Purple"": 0.9333333333333333}"
33,Exploit,Win-Stay,Exploit+Win-Stay,Purple,0.0,Purple,1.0,Purple,Purple,Sky Blue,"{""Purple"": 29}","{""Sky Blue"": 1, ""Purple"": 2}","{""Sky Blue"": 0.0, ""Purple"": 0.9354838709677419}"
34,Exploit,Lose-Stay,Exploit+Lose-Stay,Purple,1.0,Purple,0.0,Purple,Purple,Sky Blue,"{""Purple"": 29}","{""Sky Blue"": 1, ""Purple"": 3}","{""Sky Blue"": 0.0, ""Purple"": 0.90625}"
35,Exploit,Win-Stay,Exploit+Win-Stay,Purple,1.0,Purple,1.0,Purple,Purple,Sky Blue,"{""Purple"": 30}","{""Sky Blue"": 1, ""Purple"": 3}","{""Sky Blue"": 0.0, ""Purple"": 0.9090909090909091}"
36,Exploit,Win-Stay,Exploit+Win-Stay,Purple,1.0,Purple,1.0,Purple,Purple,Sky Blue,"{""Purple"": 31}","{""Sky Blue"": 1, ""Purple"": 3}","{""Sky Blue"": 0.0, ""Purple"": 0.9117647058823529}"
37,Exploit,Win-Stay,Exploit+Win-Stay,Purple,1.0,Purple,1.0,Purple,Purple,Sky Blue,"{""Purple"": 32}","{""Sky Blue"": 1, ""Purple"": 3}","{""Sky Blue"": 0.0, ""Purple"": 0.9142857142857143}"
38,Exploit,Win-Stay,Exploit+Win-Stay,Purple,1.0,Purple,1.0,Purple,Purple,Sky Blue,"{""Purple"": 33}","{""Sky Blue"": 1, ""Purple"": 3}","{""Sky Blue"": 0.0, ""Purple"": 0.9166666666666666}"
39,Exploit,Win-Stay,Exploit+Win-Stay,Purple,1.0,Purple,1.0,Purple,Purple,Sky Blue,"{""Purple"": 34}","{""Sky Blue"": 1, ""Purple"": 3}","{""Sky Blue"": 0.0, ""Purple"": 0.918918918918919}"
