Round,Judgment,Pattern,Strategy,Choice,Reward,Last Choice,Last Reward,Best highest success,Best highest ratio,Best lowest failures,Success Count,Failure Count,Success Ratio
0,N/A,N/A,N/A+N/A,,,,,,,,{},{},{}
1,Explore,Switch-After-Win,Explore+Switch-After-Win,Pink,1.0,,,,,,{},{},{}
2,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,,"{""Pink"": 1}",{},"{""Pink"": 1.0}"
3,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,,"{""Pink"": 2}",{},"{""Pink"": 1.0}"
4,Exploit,Win-Stay,Exploit+Win-Stay,Pink,0.0,Pink,1.0,Pink,Pink,,"{""Pink"": 3}",{},"{""Pink"": 1.0}"
5,Exploit,Lose-Stay,Exploit+Lose-Stay,Pink,1.0,Pink,0.0,Pink,Pink,Pink,"{""Pink"": 3}","{""Pink"": 1}","{""Pink"": 0.75}"
6,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,Pink,"{""Pink"": 4}","{""Pink"": 1}","{""Pink"": 0.8}"
7,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,Pink,"{""Pink"": 5}","{""Pink"": 1}","{""Pink"": 0.8333333333333334}"
8,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,Pink,"{""Pink"": 6}","{""Pink"": 1}","{""Pink"": 0.8571428571428571}"
9,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,Pink,"{""Pink"": 7}","{""Pink"": 1}","{""Pink"": 0.875}"
10,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,Pink,"{""Pink"": 8}","{""Pink"": 1}","{""Pink"": 0.8888888888888888}"
11,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,Pink,"{""Pink"": 9}","{""Pink"": 1}","{""Pink"": 0.9}"
12,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,Pink,"{""Pink"": 10}","{""Pink"": 1}","{""Pink"": 0.9090909090909091}"
13,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,Pink,"{""Pink"": 11}","{""Pink"": 1}","{""Pink"": 0.9166666666666666}"
14,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,Pink,"{""Pink"": 12}","{""Pink"": 1}","{""Pink"": 0.9230769230769231}"
15,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,Pink,"{""Pink"": 13}","{""Pink"": 1}","{""Pink"": 0.9285714285714286}"
16,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,Pink,"{""Pink"": 14}","{""Pink"": 1}","{""Pink"": 0.9333333333333333}"
17,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,Pink,"{""Pink"": 15}","{""Pink"": 1}","{""Pink"": 0.9375}"
18,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,Pink,"{""Pink"": 16}","{""Pink"": 1}","{""Pink"": 0.9411764705882353}"
19,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,Pink,"{""Pink"": 17}","{""Pink"": 1}","{""Pink"": 0.9444444444444444}"
20,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,Pink,"{""Pink"": 18}","{""Pink"": 1}","{""Pink"": 0.9473684210526315}"
21,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,Pink,"{""Pink"": 19}","{""Pink"": 1}","{""Pink"": 0.95}"
22,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,Pink,"{""Pink"": 20}","{""Pink"": 1}","{""Pink"": 0.9523809523809523}"
23,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,Pink,"{""Pink"": 21}","{""Pink"": 1}","{""Pink"": 0.9545454545454546}"
24,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,Pink,"{""Pink"": 22}","{""Pink"": 1}","{""Pink"": 0.9565217391304348}"
25,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,Pink,"{""Pink"": 23}","{""Pink"": 1}","{""Pink"": 0.9583333333333334}"
26,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,Pink,"{""Pink"": 24}","{""Pink"": 1}","{""Pink"": 0.96}"
27,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,Pink,"{""Pink"": 25}","{""Pink"": 1}","{""Pink"": 0.9615384615384616}"
28,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,Pink,"{""Pink"": 26}","{""Pink"": 1}","{""Pink"": 0.9629629629629629}"
29,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,Pink,"{""Pink"": 27}","{""Pink"": 1}","{""Pink"": 0.9642857142857143}"
30,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,Pink,"{""Pink"": 28}","{""Pink"": 1}","{""Pink"": 0.9655172413793104}"
31,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,Pink,"{""Pink"": 29}","{""Pink"": 1}","{""Pink"": 0.9666666666666667}"
32,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,Pink,"{""Pink"": 30}","{""Pink"": 1}","{""Pink"": 0.967741935483871}"
33,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,Pink,"{""Pink"": 31}","{""Pink"": 1}","{""Pink"": 0.96875}"
34,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,Pink,"{""Pink"": 32}","{""Pink"": 1}","{""Pink"": 0.9696969696969697}"
35,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,Pink,"{""Pink"": 33}","{""Pink"": 1}","{""Pink"": 0.9705882352941176}"
36,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,Pink,"{""Pink"": 34}","{""Pink"": 1}","{""Pink"": 0.9714285714285714}"
37,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,Pink,"{""Pink"": 35}","{""Pink"": 1}","{""Pink"": 0.9722222222222222}"
38,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,Pink,"{""Pink"": 36}","{""Pink"": 1}","{""Pink"": 0.972972972972973}"
39,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,Pink,"{""Pink"": 37}","{""Pink"": 1}","{""Pink"": 0.9736842105263158}"
40,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,Pink,"{""Pink"": 38}","{""Pink"": 1}","{""Pink"": 0.9743589743589743}"
41,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,Pink,"{""Pink"": 39}","{""Pink"": 1}","{""Pink"": 0.975}"
42,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,Pink,"{""Pink"": 40}","{""Pink"": 1}","{""Pink"": 0.975609756097561}"
43,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,Pink,"{""Pink"": 41}","{""Pink"": 1}","{""Pink"": 0.9761904761904762}"
44,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,Pink,"{""Pink"": 42}","{""Pink"": 1}","{""Pink"": 0.9767441860465116}"
45,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,Pink,"{""Pink"": 43}","{""Pink"": 1}","{""Pink"": 0.9772727272727273}"
