Round,Judgment,Pattern,Strategy,Choice,Reward,Last Choice,Last Reward,Best highest success,Best highest ratio,Best lowest failures,Success Count,Failure Count,Success Ratio
0,N/A,N/A,N/A+N/A,,,,,,,,{},{},{}
1,Explore,Switch-After-Win,Explore+Switch-After-Win,Indigo,1.0,,,,,,{},{},{}
2,Exploit,Win-Stay,Exploit+Win-Stay,Indigo,0.0,Indigo,1.0,Indigo,Indigo,,"{""Indigo"": 1}",{},"{""Indigo"": 1.0}"
3,Explore,Lose-Shift,Explore+Lose-Shift,Crimson,1.0,Indigo,0.0,Indigo,Indigo,Indigo,"{""Indigo"": 1}","{""Indigo"": 1}","{""Indigo"": 0.5}"
4,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,"Crimson, Indigo",Crimson,Indigo,"{""Indigo"": 1, ""Crimson"": 1}","{""Indigo"": 1}","{""Indigo"": 0.5, ""Crimson"": 1.0}"
5,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,Crimson,Crimson,Indigo,"{""Indigo"": 1, ""Crimson"": 2}","{""Indigo"": 1}","{""Indigo"": 0.5, ""Crimson"": 1.0}"
6,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,Crimson,Crimson,Indigo,"{""Indigo"": 1, ""Crimson"": 3}","{""Indigo"": 1}","{""Indigo"": 0.5, ""Crimson"": 1.0}"
7,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,Crimson,Crimson,Indigo,"{""Indigo"": 1, ""Crimson"": 4}","{""Indigo"": 1}","{""Indigo"": 0.5, ""Crimson"": 1.0}"
8,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,Crimson,Crimson,Indigo,"{""Indigo"": 1, ""Crimson"": 5}","{""Indigo"": 1}","{""Indigo"": 0.5, ""Crimson"": 1.0}"
9,Explore,Switch-After-Win,Explore+Switch-After-Win,Purple,1.0,Crimson,1.0,Crimson,Crimson,Indigo,"{""Indigo"": 1, ""Crimson"": 6}","{""Indigo"": 1}","{""Indigo"": 0.5, ""Crimson"": 1.0}"
10,Explore,Switch-After-Win,Explore+Switch-After-Win,Pink,1.0,Purple,1.0,Crimson,"Crimson, Purple",Indigo,"{""Indigo"": 1, ""Crimson"": 6, ""Purple"": 1}","{""Indigo"": 1}","{""Indigo"": 0.5, ""Crimson"": 1.0, ""Purple"": 1.0}"
11,Explore,Switch-After-Win,Explore+Switch-After-Win,Bright Green,0.0,Pink,1.0,Crimson,"Crimson, Purple, Pink",Indigo,"{""Indigo"": 1, ""Crimson"": 6, ""Purple"": 1, ""Pink"": 1}","{""Indigo"": 1}","{""Indigo"": 0.5, ""Crimson"": 1.0, ""Purple"": 1.0, ""Pink"": 1.0}"
12,Explore,Lose-Shift,Explore+Lose-Shift,Sky Blue,1.0,Bright Green,0.0,Crimson,"Crimson, Purple, Pink","Bright Green, Indigo","{""Indigo"": 1, ""Crimson"": 6, ""Purple"": 1, ""Pink"": 1}","{""Indigo"": 1, ""Bright Green"": 1}","{""Indigo"": 0.5, ""Crimson"": 1.0, ""Purple"": 1.0, ""Pink"": 1.0, ""Bright Green"": 0.0}"
13,Explore,Switch-After-Win,Explore+Switch-After-Win,Black,1.0,Sky Blue,1.0,Crimson,"Crimson, Purple, Sky Blue, Pink","Bright Green, Indigo","{""Indigo"": 1, ""Crimson"": 6, ""Purple"": 1, ""Pink"": 1, ""Sky Blue"": 1}","{""Indigo"": 1, ""Bright Green"": 1}","{""Indigo"": 0.5, ""Crimson"": 1.0, ""Purple"": 1.0, ""Pink"": 1.0, ""Bright Green"": 0.0, ""Sky Blue"": 1.0}"
