Round,Judgment,Pattern,Strategy,Choice,Reward,Last Choice,Last Reward,Best highest success,Best highest ratio,Best lowest failures,Success Count,Failure Count,Success Ratio
0,N/A,N/A,N/A+N/A,,,,,,,,{},{},{}
1,Explore,Switch-After-Win,Explore+Switch-After-Win,Slate,1.0,,,,,,{},{},{}
2,Exploit,Win-Stay,Exploit+Win-Stay,Slate,1.0,Slate,1.0,Slate,Slate,,"{""Slate"": 1}",{},"{""Slate"": 1.0}"
3,Explore,Switch-After-Win,Explore+Switch-After-Win,Crimson,1.0,Slate,1.0,Slate,Slate,,"{""Slate"": 2}",{},"{""Slate"": 1.0}"
4,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,Slate,"Crimson, Slate",,"{""Slate"": 2, ""Crimson"": 1}",{},"{""Slate"": 1.0, ""Crimson"": 1.0}"
5,Exploit,Switch-After-Win,Exploit+Switch-After-Win,Slate,0.0,Crimson,1.0,"Crimson, Slate","Crimson, Slate",,"{""Slate"": 2, ""Crimson"": 2}",{},"{""Slate"": 1.0, ""Crimson"": 1.0}"
6,Explore,Lose-Shift,Explore+Lose-Shift,Pink,1.0,Slate,0.0,"Crimson, Slate",Crimson,Slate,"{""Slate"": 2, ""Crimson"": 2}","{""Slate"": 1}","{""Slate"": 0.6666666666666666, ""Crimson"": 1.0}"
7,Explore,Switch-After-Win,Explore+Switch-After-Win,Sky Blue,1.0,Pink,1.0,"Crimson, Slate","Crimson, Pink",Slate,"{""Slate"": 2, ""Crimson"": 2, ""Pink"": 1}","{""Slate"": 1}","{""Slate"": 0.6666666666666666, ""Crimson"": 1.0, ""Pink"": 1.0}"
8,Explore,Switch-After-Win,Explore+Switch-After-Win,Indigo,1.0,Sky Blue,1.0,"Crimson, Slate","Crimson, Sky Blue, Pink",Slate,"{""Slate"": 2, ""Crimson"": 2, ""Pink"": 1, ""Sky Blue"": 1}","{""Slate"": 1}","{""Slate"": 0.6666666666666666, ""Crimson"": 1.0, ""Pink"": 1.0, ""Sky Blue"": 1.0}"
9,Exploit,Switch-After-Win,Exploit+Switch-After-Win,Pink,1.0,Indigo,1.0,"Crimson, Slate","Crimson, Indigo, Sky Blue, Pink",Slate,"{""Slate"": 2, ""Crimson"": 2, ""Pink"": 1, ""Sky Blue"": 1, ""Indigo"": 1}","{""Slate"": 1}","{""Slate"": 0.6666666666666666, ""Crimson"": 1.0, ""Pink"": 1.0, ""Sky Blue"": 1.0, ""Indigo"": 1.0}"
10,Exploit,Switch-After-Win,Exploit+Switch-After-Win,Crimson,0.0,Pink,1.0,"Crimson, Slate, Pink","Crimson, Indigo, Sky Blue, Pink",Slate,"{""Slate"": 2, ""Crimson"": 2, ""Pink"": 2, ""Sky Blue"": 1, ""Indigo"": 1}","{""Slate"": 1}","{""Slate"": 0.6666666666666666, ""Crimson"": 1.0, ""Pink"": 1.0, ""Sky Blue"": 1.0, ""Indigo"": 1.0}"
11,Explore,Lose-Shift,Explore+Lose-Shift,Amber,1.0,Crimson,0.0,"Crimson, Slate, Pink","Indigo, Sky Blue, Pink","Crimson, Slate","{""Slate"": 2, ""Crimson"": 2, ""Pink"": 2, ""Sky Blue"": 1, ""Indigo"": 1}","{""Slate"": 1, ""Crimson"": 1}","{""Slate"": 0.6666666666666666, ""Crimson"": 0.6666666666666666, ""Pink"": 1.0, ""Sky Blue"": 1.0, ""Indigo"": 1.0}"
12,Explore,Switch-After-Win,Explore+Switch-After-Win,Bright Green,1.0,Amber,1.0,"Crimson, Slate, Pink","Indigo, Amber, Sky Blue, Pink","Crimson, Slate","{""Slate"": 2, ""Crimson"": 2, ""Pink"": 2, ""Sky Blue"": 1, ""Indigo"": 1, ""Amber"": 1}","{""Slate"": 1, ""Crimson"": 1}","{""Slate"": 0.6666666666666666, ""Crimson"": 0.6666666666666666, ""Pink"": 1.0, ""Sky Blue"": 1.0, ""Indigo"": 1.0, ""Amber"": 1.0}"
13,Exploit,Switch-After-Win,Exploit+Switch-After-Win,Sky Blue,1.0,Bright Green,1.0,"Crimson, Slate, Pink","Indigo, Sky Blue, Pink, Bright Green, Amber","Crimson, Slate","{""Slate"": 2, ""Crimson"": 2, ""Pink"": 2, ""Sky Blue"": 1, ""Indigo"": 1, ""Amber"": 1, ""Bright Green"": 1}","{""Slate"": 1, ""Crimson"": 1}","{""Slate"": 0.6666666666666666, ""Crimson"": 0.6666666666666666, ""Pink"": 1.0, ""Sky Blue"": 1.0, ""Indigo"": 1.0, ""Amber"": 1.0, ""Bright Green"": 1.0}"
14,Explore,Switch-After-Win,Explore+Switch-After-Win,Orange,1.0,Sky Blue,1.0,"Crimson, Slate, Sky Blue, Pink","Indigo, Sky Blue, Pink, Bright Green, Amber","Crimson, Slate","{""Slate"": 2, ""Crimson"": 2, ""Pink"": 2, ""Sky Blue"": 2, ""Indigo"": 1, ""Amber"": 1, ""Bright Green"": 1}","{""Slate"": 1, ""Crimson"": 1}","{""Slate"": 0.6666666666666666, ""Crimson"": 0.6666666666666666, ""Pink"": 1.0, ""Sky Blue"": 1.0, ""Indigo"": 1.0, ""Amber"": 1.0, ""Bright Green"": 1.0}"
15,Exploit,Win-Stay,Exploit+Win-Stay,Orange,1.0,Orange,1.0,"Crimson, Slate, Sky Blue, Pink","Indigo, Sky Blue, Pink, Bright Green, Amber, Orange","Crimson, Slate","{""Slate"": 2, ""Crimson"": 2, ""Pink"": 2, ""Sky Blue"": 2, ""Indigo"": 1, ""Amber"": 1, ""Bright Green"": 1, ""Orange"": 1}","{""Slate"": 1, ""Crimson"": 1}","{""Slate"": 0.6666666666666666, ""Crimson"": 0.6666666666666666, ""Pink"": 1.0, ""Sky Blue"": 1.0, ""Indigo"": 1.0, ""Amber"": 1.0, ""Bright Green"": 1.0, ""Orange"": 1.0}"
