Round,Judgment,Pattern,Strategy,Choice,Reward,Last Choice,Last Reward,Best highest success,Best highest ratio,Best lowest failures,Success Count,Failure Count,Success Ratio
0,N/A,N/A,N/A+N/A,,,,,,,,{},{},{}
1,Explore,Switch-After-Win,Explore+Switch-After-Win,Orange,1.0,,,,,,{},{},{}
2,Exploit,Win-Stay,Exploit+Win-Stay,Orange,1.0,Orange,1.0,Orange,Orange,,"{""Orange"": 1}",{},"{""Orange"": 1.0}"
3,Exploit,Win-Stay,Exploit+Win-Stay,Orange,1.0,Orange,1.0,Orange,Orange,,"{""Orange"": 2}",{},"{""Orange"": 1.0}"
4,Exploit,Win-Stay,Exploit+Win-Stay,Orange,1.0,Orange,1.0,Orange,Orange,,"{""Orange"": 3}",{},"{""Orange"": 1.0}"
5,Explore,Switch-After-Win,Explore+Switch-After-Win,Bright Green,1.0,Orange,1.0,Orange,Orange,,"{""Orange"": 4}",{},"{""Orange"": 1.0}"
6,Exploit,Win-Stay,Exploit+Win-Stay,Bright Green,1.0,Bright Green,1.0,Orange,"Bright Green, Orange",,"{""Orange"": 4, ""Bright Green"": 1}",{},"{""Orange"": 1.0, ""Bright Green"": 1.0}"
7,Exploit,Switch-After-Win,Exploit+Switch-After-Win,Orange,1.0,Bright Green,1.0,Orange,"Bright Green, Orange",,"{""Orange"": 4, ""Bright Green"": 2}",{},"{""Orange"": 1.0, ""Bright Green"": 1.0}"
8,Exploit,Win-Stay,Exploit+Win-Stay,Orange,1.0,Orange,1.0,Orange,"Bright Green, Orange",,"{""Orange"": 5, ""Bright Green"": 2}",{},"{""Orange"": 1.0, ""Bright Green"": 1.0}"
9,Exploit,Win-Stay,Exploit+Win-Stay,Orange,1.0,Orange,1.0,Orange,"Bright Green, Orange",,"{""Orange"": 6, ""Bright Green"": 2}",{},"{""Orange"": 1.0, ""Bright Green"": 1.0}"
10,Exploit,Win-Stay,Exploit+Win-Stay,Orange,1.0,Orange,1.0,Orange,"Bright Green, Orange",,"{""Orange"": 7, ""Bright Green"": 2}",{},"{""Orange"": 1.0, ""Bright Green"": 1.0}"
11,Exploit,Win-Stay,Exploit+Win-Stay,Orange,1.0,Orange,1.0,Orange,"Bright Green, Orange",,"{""Orange"": 8, ""Bright Green"": 2}",{},"{""Orange"": 1.0, ""Bright Green"": 1.0}"
12,Exploit,Win-Stay,Exploit+Win-Stay,Orange,1.0,Orange,1.0,Orange,"Bright Green, Orange",,"{""Orange"": 9, ""Bright Green"": 2}",{},"{""Orange"": 1.0, ""Bright Green"": 1.0}"
13,Exploit,Win-Stay,Exploit+Win-Stay,Orange,1.0,Orange,1.0,Orange,"Bright Green, Orange",,"{""Orange"": 10, ""Bright Green"": 2}",{},"{""Orange"": 1.0, ""Bright Green"": 1.0}"
14,Exploit,Win-Stay,Exploit+Win-Stay,Orange,1.0,Orange,1.0,Orange,"Bright Green, Orange",,"{""Orange"": 11, ""Bright Green"": 2}",{},"{""Orange"": 1.0, ""Bright Green"": 1.0}"
15,Exploit,Win-Stay,Exploit+Win-Stay,Orange,1.0,Orange,1.0,Orange,"Bright Green, Orange",,"{""Orange"": 12, ""Bright Green"": 2}",{},"{""Orange"": 1.0, ""Bright Green"": 1.0}"
16,Exploit,Win-Stay,Exploit+Win-Stay,Orange,1.0,Orange,1.0,Orange,"Bright Green, Orange",,"{""Orange"": 13, ""Bright Green"": 2}",{},"{""Orange"": 1.0, ""Bright Green"": 1.0}"
