Round,Overall Entropy
1,3.321928094887362
2,3.321928094887362
3,3.2444138295776113
4,3.1537016960573485
5,3.1444984515601635
6,3.121615488326326
7,3.095744571075695
8,3.080272711245014
9,3.0914734621452267
10,3.0824594810232804
11,3.091454148256682
12,3.1132915946730852
13,3.120249829097895
14,3.1229138754050236
15,3.121714781904368
16,3.104259134601125
17,3.1191471194304357
18,3.116945015736132
19,3.1205121364878625
20,3.1093866234305314
21,3.125677626212947
22,3.132544143366626
23,3.1381710031497296
24,3.143096402957674
25,3.1413095064051246
26,3.151623270366967
27,3.148819907068245
28,3.1395981515768048
29,3.133400616191221
30,3.1314732855355873
31,3.131204659378386
32,3.1344262317897758
33,3.134638565011396
34,3.133279743104573
35,3.127214491376956
36,3.1292742190247536
37,3.1300310129713695
38,3.1313739562946097
39,3.128646355629514
40,3.1245377003403108
41,3.1317173251586032
42,3.127121010931805
43,3.123054891839323
44,3.1171038870934615
45,3.111129081430724
46,3.1068913401866727
47,3.1066370820477234
48,3.1052205161246436
49,3.105048001081095
50,3.1048563948904366
51,3.099662921952044
