roundID,01JW028WRQC1M51MDV0NPAZCJ4,01JW02B3PVYX3A6PMZACQH9VSY,01JW02EXRGJQM0FXNS9EDRYG7D,01JW02AFEYAGBGPNN4MPBZP5PG,01JW02CYH68KMXV7721AS33GXZ,01JW029XNR37MHA24H9XBWVRSY,01JW02GDYMGABBSDF0GJ7V1ZWB,01JW02A8M61H4244YENRK5H5S5,01JW02F1VKT7EQCPX26MEPC9DD,01JW02BV9KYNWQQCEWZNXPVFHT
01JW02H0896F4M63Z44MTBWHD1,,,,,,,,,,
01JW02H08J6NJ6K1A89VX0CBGD,Crimson,Sky Blue,Slate,Purple,Indigo,Bright Green,Black,Amber,Orange,Pink
01JW02H08K95AJQCHXGS2ZF6QH,Crimson,Purple,Slate,Sky Blue,Indigo,Bright Green,Black,Amber,Orange,Pink
01JW02H08K95AJQCHXHD25WB1D,Crimson,Purple,Crimson,Purple,Crimson,Orange,Black,Amber,Orange,Pink
01JW02H08J6NJ6K1A8AB5NNNCG,Crimson,Purple,Crimson,Pink,Crimson,Orange,Black,Amber,Orange,Pink
01JW02H08K95AJQCHXHSY09BB4,Crimson,Purple,Slate,Orange,Crimson,Orange,Black,Amber,Bright Green,Pink
01JW02H08MXAB3MCMYDTT0NATK,Crimson,Purple,Pink,Black,Crimson,Pink,Black,Amber,Bright Green,Pink
01JW02H08NYW5800KKPW8KGANP,Crimson,Purple,Sky Blue,Crimson,Crimson,Pink,Black,Amber,Orange,Pink
01JW02H08MXAB3MCMYEH8PXDTK,Crimson,Purple,Indigo,Pink,Crimson,Pink,Black,Amber,Orange,Pink
01JW02H08NYW5800KKQM2DXBAV,Crimson,Purple,Pink,Indigo,Purple,Bright Green,Black,Amber,Orange,Pink
01JW02H08PDE9JB3N5AD34JV80,Crimson,Purple,Crimson,Sky Blue,Pink,Black,Black,Amber,Orange,Pink
01JW02H08QBQPYKE549828Y0PG,Crimson,Purple,Amber,Bright Green,Bright Green,Black,Black,Amber,Orange,Pink
01JW02H08RXHXAGSYBNBFQHTHP,Crimson,Purple,Bright Green,Indigo,Sky Blue,Black,Black,Amber,Orange,Pink
01JW02H08RXHXAGSYBNXF69WNC,Crimson,Purple,Sky Blue,Indigo,Black,Black,Black,Amber,Orange,Pink
01JW02H08VHYRS1EHG2MPAZH38,Crimson,Purple,Orange,Slate,Amber,Black,Black,Amber,Orange,Pink
01JW02H08TX6W0KF8PWW9BAT4K,Crimson,Purple,Orange,Amber,Slate,Black,Black,Amber,Orange,Pink
01JW02H08QBQPYKE548R3DBEMN,Crimson,Purple,Pink,Amber,Orange,Pink,Black,Amber,Orange,Pink
01JW02H08RXHXAGSYBPQPVVMFC,Crimson,Purple,Sky Blue,Crimson,Slate,Bright Green,Black,Amber,Orange,Pink
01JW02H08NYW5800KKR7G5WD36,Crimson,Purple,Purple,Indigo,Orange,Orange,Black,Amber,Orange,Pink
01JW02H08TX6W0KF8PXJ2SP20B,Crimson,Purple,Slate,Amber,Crimson,Orange,Black,Amber,Bright Green,Pink
01JW02H08S613W9E471Y15ZE21,Crimson,Purple,Pink,Pink,Crimson,Pink,Black,Amber,Bright Green,Pink
01JW02H08PDE9JB3N59N671F48,Crimson,Purple,Indigo,Slate,Crimson,Bright Green,Black,Amber,Bright Green,Pink
01JW02H091VF2KK2FQ6Q0K6W8G,Crimson,Purple,Amber,Bright Green,Black,Sky Blue,Black,Amber,Bright Green,Pink
01JW02H08XWTCZ6FGPC7A9SZJB,Crimson,Purple,Bright Green,Amber,Orange,Sky Blue,Black,Amber,Bright Green,Pink
01JW02H08VHYRS1EHG38H8QGQZ,Crimson,Purple,Black,Sky Blue,Crimson,Sky Blue,Black,Amber,Bright Green,Pink
01JW02H08WR9JF9QCYGPP0GVHV,Crimson,Purple,Purple,Pink,Black,Sky Blue,Black,Amber,Bright Green,Pink
01JW02H092DQ6Q9PATVFZ5N6MZ,Crimson,Purple,Indigo,Pink,Sky Blue,Sky Blue,Black,Amber,Bright Green,Pink
01JW02H08XWTCZ6FGPCSCHDB4A,Crimson,Purple,Black,Sky Blue,Purple,Black,Black,Amber,Bright Green,Pink
01JW02H091VF2KK2FQ7D798G51,Crimson,Purple,Pink,Amber,Crimson,Black,Black,Amber,Bright Green,Pink
01JW02H092DQ6Q9PATW2ZMABWV,Crimson,Purple,Purple,Pink,Orange,Black,Black,Amber,Bright Green,Pink
01JW02H093STM7N8T568112BG7,Crimson,Purple,Black,Sky Blue,Orange,Black,Black,Amber,Bright Green,Pink
01JW02H093STM7N8T56XTTAA1P,Crimson,Purple,Purple,Black,Slate,Black,Black,Amber,Bright Green,Pink
01JW02H095185BY0GH1TE4J5YJ,Crimson,Purple,Indigo,Sky Blue,Crimson,Black,Black,Amber,Bright Green,Pink
01JW02H09601XAWZEAEQVA84KP,Crimson,Purple,Orange,Sky Blue,Orange,Black,Black,Amber,Bright Green,Pink
01JW02H08S613W9E4717HQJPCY,Crimson,Purple,Slate,Black,Crimson,Pink,Black,Amber,Bright Green,Pink
01JW02H09601XAWZEAFCCRB731,Crimson,Purple,Crimson,Pink,Orange,Pink,Black,Amber,Bright Green,Pink
01JW02H097F8KJ1CWR8378S0G2,Crimson,Purple,Purple,Crimson,Slate,Bright Green,Black,Amber,Bright Green,Pink
01JW02H097F8KJ1CWR8V7D2E0D,Crimson,Purple,Indigo,Pink,Crimson,Bright Green,Black,Amber,Bright Green,Pink
01JW02H0981ST1T0PF1AQ4RWFB,Crimson,Purple,Pink,Indigo,Orange,Amber,Black,Amber,Bright Green,Pink
01JW02H099EYTM43XRR7TB92YC,Crimson,Purple,Orange,Orange,Black,Purple,Black,Amber,Bright Green,Pink
01JW02H099EYTM43XRRXBFXSAP,Crimson,Purple,Bright Green,Bright Green,Black,Purple,Black,Amber,Amber,Pink
01JW02H099EYTM43XRSGQYHDTG,Crimson,Purple,Orange,Indigo,Slate,Orange,Black,Amber,Amber,Pink
01JW02H09AWKQQD4YSEFHN56VW,Crimson,Purple,Purple,Amber,Purple,Orange,Black,Amber,Amber,Pink
01JW02H09AWKQQD4YSF4M1CFPX,Crimson,Purple,Bright Green,Crimson,Amber,Orange,Black,Amber,Amber,Pink
01JW02H09AWKQQD4YSFVD1EW79,Crimson,Purple,Amber,Crimson,Pink,Orange,Black,Amber,Amber,Pink
