Round,Judgment,Pattern,Strategy,Choice,Reward,Last Choice,Last Reward,Best highest success,Best highest ratio,Best lowest failures,Success Count,Failure Count,Success Ratio
0,N/A,N/A,N/A+N/A,,,,,,,,{},{},{}
1,Explore,Switch-After-Win,Explore+Switch-After-Win,Crimson,1.0,,,,,,{},{},{}
2,Explore,Switch-After-Win,Explore+Switch-After-Win,Bright Green,1.0,Crimson,1.0,Crimson,Crimson,,"{""Crimson"": 1}",{},"{""Crimson"": 1.0}"
3,Explore,Switch-After-Win,Explore+Switch-After-Win,Orange,1.0,Bright Green,1.0,"Crimson, Bright Green","Crimson, Bright Green",,"{""Crimson"": 1, ""Bright Green"": 1}",{},"{""Crimson"": 1.0, ""Bright Green"": 1.0}"
4,Explore,Switch-After-Win,Explore+Switch-After-Win,Sky Blue,1.0,Orange,1.0,"Crimson, Bright Green, Orange","Crimson, Bright Green, Orange",,"{""Crimson"": 1, ""Bright Green"": 1, ""Orange"": 1}",{},"{""Crimson"": 1.0, ""Bright Green"": 1.0, ""Orange"": 1.0}"
5,Exploit,Switch-After-Win,Exploit+Switch-After-Win,Bright Green,1.0,Sky Blue,1.0,"Crimson, Bright Green, Sky Blue, Orange","Crimson, Bright Green, Sky Blue, Orange",,"{""Crimson"": 1, ""Bright Green"": 1, ""Orange"": 1, ""Sky Blue"": 1}",{},"{""Crimson"": 1.0, ""Bright Green"": 1.0, ""Orange"": 1.0, ""Sky Blue"": 1.0}"
6,Explore,Switch-After-Win,Explore+Switch-After-Win,Black,1.0,Bright Green,1.0,Bright Green,"Crimson, Bright Green, Sky Blue, Orange",,"{""Crimson"": 1, ""Bright Green"": 2, ""Orange"": 1, ""Sky Blue"": 1}",{},"{""Crimson"": 1.0, ""Bright Green"": 1.0, ""Orange"": 1.0, ""Sky Blue"": 1.0}"
7,Explore,Switch-After-Win,Explore+Switch-After-Win,Indigo,1.0,Black,1.0,Bright Green,"Orange, Sky Blue, Crimson, Bright Green, Black",,"{""Crimson"": 1, ""Bright Green"": 2, ""Orange"": 1, ""Sky Blue"": 1, ""Black"": 1}",{},"{""Crimson"": 1.0, ""Bright Green"": 1.0, ""Orange"": 1.0, ""Sky Blue"": 1.0, ""Black"": 1.0}"
8,Exploit,Switch-After-Win,Exploit+Switch-After-Win,Bright Green,1.0,Indigo,1.0,Bright Green,"Indigo, Orange, Sky Blue, Crimson, Bright Green, Black",,"{""Crimson"": 1, ""Bright Green"": 2, ""Orange"": 1, ""Sky Blue"": 1, ""Black"": 1, ""Indigo"": 1}",{},"{""Crimson"": 1.0, ""Bright Green"": 1.0, ""Orange"": 1.0, ""Sky Blue"": 1.0, ""Black"": 1.0, ""Indigo"": 1.0}"
9,Exploit,Switch-After-Win,Exploit+Switch-After-Win,Sky Blue,1.0,Bright Green,1.0,Bright Green,"Indigo, Orange, Sky Blue, Crimson, Bright Green, Black",,"{""Crimson"": 1, ""Bright Green"": 3, ""Orange"": 1, ""Sky Blue"": 1, ""Black"": 1, ""Indigo"": 1}",{},"{""Crimson"": 1.0, ""Bright Green"": 1.0, ""Orange"": 1.0, ""Sky Blue"": 1.0, ""Black"": 1.0, ""Indigo"": 1.0}"
10,Exploit,Switch-After-Win,Exploit+Switch-After-Win,Bright Green,1.0,Sky Blue,1.0,Bright Green,"Indigo, Orange, Sky Blue, Crimson, Bright Green, Black",,"{""Crimson"": 1, ""Bright Green"": 3, ""Orange"": 1, ""Sky Blue"": 2, ""Black"": 1, ""Indigo"": 1}",{},"{""Crimson"": 1.0, ""Bright Green"": 1.0, ""Orange"": 1.0, ""Sky Blue"": 1.0, ""Black"": 1.0, ""Indigo"": 1.0}"
11,Explore,Switch-After-Win,Explore+Switch-After-Win,Slate,1.0,Bright Green,1.0,Bright Green,"Indigo, Orange, Sky Blue, Crimson, Bright Green, Black",,"{""Crimson"": 1, ""Bright Green"": 4, ""Orange"": 1, ""Sky Blue"": 2, ""Black"": 1, ""Indigo"": 1}",{},"{""Crimson"": 1.0, ""Bright Green"": 1.0, ""Orange"": 1.0, ""Sky Blue"": 1.0, ""Black"": 1.0, ""Indigo"": 1.0}"
12,Exploit,Switch-After-Win,Exploit+Switch-After-Win,Orange,1.0,Slate,1.0,Bright Green,"Indigo, Orange, Sky Blue, Slate, Crimson, Bright Green, Black",,"{""Crimson"": 1, ""Bright Green"": 4, ""Orange"": 1, ""Sky Blue"": 2, ""Black"": 1, ""Indigo"": 1, ""Slate"": 1}",{},"{""Crimson"": 1.0, ""Bright Green"": 1.0, ""Orange"": 1.0, ""Sky Blue"": 1.0, ""Black"": 1.0, ""Indigo"": 1.0, ""Slate"": 1.0}"
13,N/A,N/A,N/A+N/A,,,Orange,1.0,Bright Green,"Indigo, Orange, Sky Blue, Slate, Crimson, Bright Green, Black",,"{""Crimson"": 1, ""Bright Green"": 4, ""Orange"": 2, ""Sky Blue"": 2, ""Black"": 1, ""Indigo"": 1, ""Slate"": 1}",{},"{""Crimson"": 1.0, ""Bright Green"": 1.0, ""Orange"": 1.0, ""Sky Blue"": 1.0, ""Black"": 1.0, ""Indigo"": 1.0, ""Slate"": 1.0}"
14,Exploit,Switch-After-Win,Exploit+Switch-After-Win,Orange,0.0,,,Bright Green,"Indigo, Orange, Sky Blue, Slate, Crimson, Bright Green, Black",,"{""Crimson"": 1, ""Bright Green"": 4, ""Orange"": 2, ""Sky Blue"": 2, ""Black"": 1, ""Indigo"": 1, ""Slate"": 1}",{},"{""Crimson"": 1.0, ""Bright Green"": 1.0, ""Orange"": 1.0, ""Sky Blue"": 1.0, ""Black"": 1.0, ""Indigo"": 1.0, ""Slate"": 1.0}"
15,Exploit,Lose-Stay,Exploit+Lose-Stay,Orange,0.0,Orange,0.0,Bright Green,"Indigo, Sky Blue, Slate, Crimson, Bright Green, Black",Orange,"{""Crimson"": 1, ""Bright Green"": 4, ""Orange"": 2, ""Sky Blue"": 2, ""Black"": 1, ""Indigo"": 1, ""Slate"": 1}","{""Orange"": 1}","{""Crimson"": 1.0, ""Bright Green"": 1.0, ""Orange"": 0.6666666666666666, ""Sky Blue"": 1.0, ""Black"": 1.0, ""Indigo"": 1.0, ""Slate"": 1.0}"
16,Exploit,Lose-Shift,Exploit+Lose-Shift,Bright Green,1.0,Orange,0.0,Bright Green,"Indigo, Sky Blue, Slate, Crimson, Bright Green, Black",Orange,"{""Crimson"": 1, ""Bright Green"": 4, ""Orange"": 2, ""Sky Blue"": 2, ""Black"": 1, ""Indigo"": 1, ""Slate"": 1}","{""Orange"": 2}","{""Crimson"": 1.0, ""Bright Green"": 1.0, ""Orange"": 0.5, ""Sky Blue"": 1.0, ""Black"": 1.0, ""Indigo"": 1.0, ""Slate"": 1.0}"
17,Exploit,Switch-After-Win,Exploit+Switch-After-Win,Orange,1.0,Bright Green,1.0,Bright Green,"Indigo, Sky Blue, Slate, Crimson, Bright Green, Black",Orange,"{""Crimson"": 1, ""Bright Green"": 5, ""Orange"": 2, ""Sky Blue"": 2, ""Black"": 1, ""Indigo"": 1, ""Slate"": 1}","{""Orange"": 2}","{""Crimson"": 1.0, ""Bright Green"": 1.0, ""Orange"": 0.5, ""Sky Blue"": 1.0, ""Black"": 1.0, ""Indigo"": 1.0, ""Slate"": 1.0}"
18,Exploit,Switch-After-Win,Exploit+Switch-After-Win,Bright Green,1.0,Orange,1.0,Bright Green,"Indigo, Sky Blue, Slate, Crimson, Bright Green, Black",Orange,"{""Crimson"": 1, ""Bright Green"": 5, ""Orange"": 3, ""Sky Blue"": 2, ""Black"": 1, ""Indigo"": 1, ""Slate"": 1}","{""Orange"": 2}","{""Crimson"": 1.0, ""Bright Green"": 1.0, ""Orange"": 0.6, ""Sky Blue"": 1.0, ""Black"": 1.0, ""Indigo"": 1.0, ""Slate"": 1.0}"
19,Exploit,Switch-After-Win,Exploit+Switch-After-Win,Sky Blue,1.0,Bright Green,1.0,Bright Green,"Indigo, Sky Blue, Slate, Crimson, Bright Green, Black",Orange,"{""Crimson"": 1, ""Bright Green"": 6, ""Orange"": 3, ""Sky Blue"": 2, ""Black"": 1, ""Indigo"": 1, ""Slate"": 1}","{""Orange"": 2}","{""Crimson"": 1.0, ""Bright Green"": 1.0, ""Orange"": 0.6, ""Sky Blue"": 1.0, ""Black"": 1.0, ""Indigo"": 1.0, ""Slate"": 1.0}"
20,Exploit,Switch-After-Win,Exploit+Switch-After-Win,Bright Green,1.0,Sky Blue,1.0,Bright Green,"Indigo, Sky Blue, Slate, Crimson, Bright Green, Black",Orange,"{""Crimson"": 1, ""Bright Green"": 6, ""Orange"": 3, ""Sky Blue"": 3, ""Black"": 1, ""Indigo"": 1, ""Slate"": 1}","{""Orange"": 2}","{""Crimson"": 1.0, ""Bright Green"": 1.0, ""Orange"": 0.6, ""Sky Blue"": 1.0, ""Black"": 1.0, ""Indigo"": 1.0, ""Slate"": 1.0}"
21,Exploit,Win-Stay,Exploit+Win-Stay,Bright Green,1.0,Bright Green,1.0,Bright Green,"Indigo, Sky Blue, Slate, Crimson, Bright Green, Black",Orange,"{""Crimson"": 1, ""Bright Green"": 7, ""Orange"": 3, ""Sky Blue"": 3, ""Black"": 1, ""Indigo"": 1, ""Slate"": 1}","{""Orange"": 2}","{""Crimson"": 1.0, ""Bright Green"": 1.0, ""Orange"": 0.6, ""Sky Blue"": 1.0, ""Black"": 1.0, ""Indigo"": 1.0, ""Slate"": 1.0}"
