Round,Judgment,Pattern,Strategy,Choice,Reward,Last Choice,Last Reward,Best highest success,Best highest ratio,Best lowest failures,Success Count,Failure Count,Success Ratio
0,N/A,N/A,N/A+N/A,,,,,,,,{},{},{}
1,Explore,Switch-After-Win,Explore+Switch-After-Win,Bright Green,1.0,,,,,,{},{},{}
2,Exploit,Win-Stay,Exploit+Win-Stay,Bright Green,1.0,Bright Green,1.0,Bright Green,Bright Green,,"{""Bright Green"": 1}",{},"{""Bright Green"": 1.0}"
3,Exploit,Win-Stay,Exploit+Win-Stay,Bright Green,0.0,Bright Green,1.0,Bright Green,Bright Green,,"{""Bright Green"": 2}",{},"{""Bright Green"": 1.0}"
4,Exploit,Lose-Stay,Exploit+Lose-Stay,Bright Green,1.0,Bright Green,0.0,Bright Green,Bright Green,Bright Green,"{""Bright Green"": 2}","{""Bright Green"": 1}","{""Bright Green"": 0.6666666666666666}"
5,Exploit,Win-Stay,Exploit+Win-Stay,Bright Green,1.0,Bright Green,1.0,Bright Green,Bright Green,Bright Green,"{""Bright Green"": 3}","{""Bright Green"": 1}","{""Bright Green"": 0.75}"
6,Exploit,Win-Stay,Exploit+Win-Stay,Bright Green,1.0,Bright Green,1.0,Bright Green,Bright Green,Bright Green,"{""Bright Green"": 4}","{""Bright Green"": 1}","{""Bright Green"": 0.8}"
7,Exploit,Win-Stay,Exploit+Win-Stay,Bright Green,0.0,Bright Green,1.0,Bright Green,Bright Green,Bright Green,"{""Bright Green"": 5}","{""Bright Green"": 1}","{""Bright Green"": 0.8333333333333334}"
8,Exploit,Lose-Stay,Exploit+Lose-Stay,Bright Green,0.0,Bright Green,0.0,Bright Green,Bright Green,Bright Green,"{""Bright Green"": 5}","{""Bright Green"": 2}","{""Bright Green"": 0.7142857142857143}"
9,Exploit,Lose-Stay,Exploit+Lose-Stay,Bright Green,0.0,Bright Green,0.0,Bright Green,Bright Green,Bright Green,"{""Bright Green"": 5}","{""Bright Green"": 3}","{""Bright Green"": 0.625}"
10,Explore,Lose-Shift,Explore+Lose-Shift,Amber,1.0,Bright Green,0.0,Bright Green,Bright Green,Bright Green,"{""Bright Green"": 5}","{""Bright Green"": 4}","{""Bright Green"": 0.5555555555555556}"
11,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Bright Green,Amber,Bright Green,"{""Bright Green"": 5, ""Amber"": 1}","{""Bright Green"": 4}","{""Bright Green"": 0.5555555555555556, ""Amber"": 1.0}"
12,Exploit,Win-Stay,Exploit+Win-Stay,Amber,0.0,Amber,1.0,Bright Green,Amber,Bright Green,"{""Bright Green"": 5, ""Amber"": 2}","{""Bright Green"": 4}","{""Bright Green"": 0.5555555555555556, ""Amber"": 1.0}"
13,Exploit,Lose-Stay,Exploit+Lose-Stay,Amber,1.0,Amber,0.0,Bright Green,Amber,Amber,"{""Bright Green"": 5, ""Amber"": 2}","{""Bright Green"": 4, ""Amber"": 1}","{""Bright Green"": 0.5555555555555556, ""Amber"": 0.6666666666666666}"
14,Exploit,Win-Stay,Exploit+Win-Stay,Amber,0.0,Amber,1.0,Bright Green,Amber,Amber,"{""Bright Green"": 5, ""Amber"": 3}","{""Bright Green"": 4, ""Amber"": 1}","{""Bright Green"": 0.5555555555555556, ""Amber"": 0.75}"
15,Exploit,Lose-Stay,Exploit+Lose-Stay,Amber,1.0,Amber,0.0,Bright Green,Amber,Amber,"{""Bright Green"": 5, ""Amber"": 3}","{""Bright Green"": 4, ""Amber"": 2}","{""Bright Green"": 0.5555555555555556, ""Amber"": 0.6}"
