Round,Judgment,Pattern,Strategy,Choice,Reward,Last Choice,Last Reward,Best highest success,Best highest ratio,Best lowest failures,Success Count,Failure Count,Success Ratio
0,N/A,N/A,N/A+N/A,,,,,,,,{},{},{}
1,N/A,N/A,N/A+N/A,,,,,,,,{},{},{}
2,Explore,Switch-After-Win,Explore+Switch-After-Win,Amber,1.0,,,,,,{},{},{}
3,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,,"{""Amber"": 1}",{},"{""Amber"": 1.0}"
4,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,,"{""Amber"": 2}",{},"{""Amber"": 1.0}"
5,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,,"{""Amber"": 3}",{},"{""Amber"": 1.0}"
6,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,,"{""Amber"": 4}",{},"{""Amber"": 1.0}"
7,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,,"{""Amber"": 5}",{},"{""Amber"": 1.0}"
8,Exploit,Win-Stay,Exploit+Win-Stay,Amber,0.0,Amber,1.0,Amber,Amber,,"{""Amber"": 6}",{},"{""Amber"": 1.0}"
9,Exploit,Lose-Stay,Exploit+Lose-Stay,Amber,1.0,Amber,0.0,Amber,Amber,Amber,"{""Amber"": 6}","{""Amber"": 1}","{""Amber"": 0.8571428571428571}"
10,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 7}","{""Amber"": 1}","{""Amber"": 0.875}"
11,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 8}","{""Amber"": 1}","{""Amber"": 0.8888888888888888}"
12,Exploit,Win-Stay,Exploit+Win-Stay,Amber,0.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 9}","{""Amber"": 1}","{""Amber"": 0.9}"
13,Exploit,Lose-Stay,Exploit+Lose-Stay,Amber,1.0,Amber,0.0,Amber,Amber,Amber,"{""Amber"": 9}","{""Amber"": 2}","{""Amber"": 0.8181818181818182}"
14,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 10}","{""Amber"": 2}","{""Amber"": 0.8333333333333334}"
15,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 11}","{""Amber"": 2}","{""Amber"": 0.8461538461538461}"
16,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 12}","{""Amber"": 2}","{""Amber"": 0.8571428571428571}"
17,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 13}","{""Amber"": 2}","{""Amber"": 0.8666666666666667}"
18,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 14}","{""Amber"": 2}","{""Amber"": 0.875}"
19,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 15}","{""Amber"": 2}","{""Amber"": 0.8823529411764706}"
20,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 16}","{""Amber"": 2}","{""Amber"": 0.8888888888888888}"
21,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 17}","{""Amber"": 2}","{""Amber"": 0.8947368421052632}"
22,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 18}","{""Amber"": 2}","{""Amber"": 0.9}"
23,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 19}","{""Amber"": 2}","{""Amber"": 0.9047619047619048}"
24,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 20}","{""Amber"": 2}","{""Amber"": 0.9090909090909091}"
25,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 21}","{""Amber"": 2}","{""Amber"": 0.9130434782608695}"
26,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 22}","{""Amber"": 2}","{""Amber"": 0.9166666666666666}"
27,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 23}","{""Amber"": 2}","{""Amber"": 0.92}"
28,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 24}","{""Amber"": 2}","{""Amber"": 0.9230769230769231}"
29,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 25}","{""Amber"": 2}","{""Amber"": 0.9259259259259259}"
30,Exploit,Win-Stay,Exploit+Win-Stay,Amber,0.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 26}","{""Amber"": 2}","{""Amber"": 0.9285714285714286}"
31,Exploit,Lose-Stay,Exploit+Lose-Stay,Amber,1.0,Amber,0.0,Amber,Amber,Amber,"{""Amber"": 26}","{""Amber"": 3}","{""Amber"": 0.896551724137931}"
32,Exploit,Win-Stay,Exploit+Win-Stay,Amber,0.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 27}","{""Amber"": 3}","{""Amber"": 0.9}"
33,Exploit,Lose-Stay,Exploit+Lose-Stay,Amber,1.0,Amber,0.0,Amber,Amber,Amber,"{""Amber"": 27}","{""Amber"": 4}","{""Amber"": 0.8709677419354839}"
34,Explore,Switch-After-Win,Explore+Switch-After-Win,Purple,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 28}","{""Amber"": 4}","{""Amber"": 0.875}"
35,Exploit,Win-Stay,Exploit+Win-Stay,Purple,1.0,Purple,1.0,Amber,Purple,Amber,"{""Amber"": 28, ""Purple"": 1}","{""Amber"": 4}","{""Amber"": 0.875, ""Purple"": 1.0}"
36,Exploit,Win-Stay,Exploit+Win-Stay,Purple,1.0,Purple,1.0,Amber,Purple,Amber,"{""Amber"": 28, ""Purple"": 2}","{""Amber"": 4}","{""Amber"": 0.875, ""Purple"": 1.0}"
