Round,Judgment,Pattern,Strategy,Choice,Reward,Last Choice,Last Reward,Best highest success,Best highest ratio,Best lowest failures,Success Count,Failure Count,Success Ratio
0,N/A,N/A,N/A+N/A,,,,,,,,{},{},{}
1,N/A,N/A,N/A+N/A,,,,,,,,{},{},{}
2,N/A,N/A,N/A+N/A,,,,,,,,{},{},{}
3,N/A,N/A,N/A+N/A,,,,,,,,{},{},{}
4,Explore,Switch-After-Win,Explore+Switch-After-Win,Sky Blue,1.0,,,,,,{},{},{}
5,Exploit,Win-Stay,Exploit+Win-Stay,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,,"{""Sky Blue"": 1}",{},"{""Sky Blue"": 1.0}"
6,Exploit,Win-Stay,Exploit+Win-Stay,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,,"{""Sky Blue"": 2}",{},"{""Sky Blue"": 1.0}"
7,Exploit,Win-Stay,Exploit+Win-Stay,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,,"{""Sky Blue"": 3}",{},"{""Sky Blue"": 1.0}"
8,Exploit,Win-Stay,Exploit+Win-Stay,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,,"{""Sky Blue"": 4}",{},"{""Sky Blue"": 1.0}"
9,Exploit,Win-Stay,Exploit+Win-Stay,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,,"{""Sky Blue"": 5}",{},"{""Sky Blue"": 1.0}"
10,Exploit,Win-Stay,Exploit+Win-Stay,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,,"{""Sky Blue"": 6}",{},"{""Sky Blue"": 1.0}"
11,Exploit,Win-Stay,Exploit+Win-Stay,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,,"{""Sky Blue"": 7}",{},"{""Sky Blue"": 1.0}"
12,Exploit,Win-Stay,Exploit+Win-Stay,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,,"{""Sky Blue"": 8}",{},"{""Sky Blue"": 1.0}"
13,Exploit,Win-Stay,Exploit+Win-Stay,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,,"{""Sky Blue"": 9}",{},"{""Sky Blue"": 1.0}"
14,Exploit,Win-Stay,Exploit+Win-Stay,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,,"{""Sky Blue"": 10}",{},"{""Sky Blue"": 1.0}"
15,Exploit,Win-Stay,Exploit+Win-Stay,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,,"{""Sky Blue"": 11}",{},"{""Sky Blue"": 1.0}"
16,Exploit,Win-Stay,Exploit+Win-Stay,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,,"{""Sky Blue"": 12}",{},"{""Sky Blue"": 1.0}"
17,Exploit,Win-Stay,Exploit+Win-Stay,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,,"{""Sky Blue"": 13}",{},"{""Sky Blue"": 1.0}"
18,Exploit,Win-Stay,Exploit+Win-Stay,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,,"{""Sky Blue"": 14}",{},"{""Sky Blue"": 1.0}"
19,Exploit,Win-Stay,Exploit+Win-Stay,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,,"{""Sky Blue"": 15}",{},"{""Sky Blue"": 1.0}"
20,Exploit,Win-Stay,Exploit+Win-Stay,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,,"{""Sky Blue"": 16}",{},"{""Sky Blue"": 1.0}"
21,Exploit,Win-Stay,Exploit+Win-Stay,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,,"{""Sky Blue"": 17}",{},"{""Sky Blue"": 1.0}"
22,Exploit,Win-Stay,Exploit+Win-Stay,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,,"{""Sky Blue"": 18}",{},"{""Sky Blue"": 1.0}"
23,Exploit,Win-Stay,Exploit+Win-Stay,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,,"{""Sky Blue"": 19}",{},"{""Sky Blue"": 1.0}"
24,Exploit,Win-Stay,Exploit+Win-Stay,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,,"{""Sky Blue"": 20}",{},"{""Sky Blue"": 1.0}"
25,Exploit,Win-Stay,Exploit+Win-Stay,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,,"{""Sky Blue"": 21}",{},"{""Sky Blue"": 1.0}"
26,Exploit,Win-Stay,Exploit+Win-Stay,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,,"{""Sky Blue"": 22}",{},"{""Sky Blue"": 1.0}"
27,Exploit,Win-Stay,Exploit+Win-Stay,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,,"{""Sky Blue"": 23}",{},"{""Sky Blue"": 1.0}"
28,Exploit,Win-Stay,Exploit+Win-Stay,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,,"{""Sky Blue"": 24}",{},"{""Sky Blue"": 1.0}"
29,Exploit,Win-Stay,Exploit+Win-Stay,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,,"{""Sky Blue"": 25}",{},"{""Sky Blue"": 1.0}"
30,Exploit,Win-Stay,Exploit+Win-Stay,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,,"{""Sky Blue"": 26}",{},"{""Sky Blue"": 1.0}"
31,Exploit,Win-Stay,Exploit+Win-Stay,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,,"{""Sky Blue"": 27}",{},"{""Sky Blue"": 1.0}"
32,Exploit,Win-Stay,Exploit+Win-Stay,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,,"{""Sky Blue"": 28}",{},"{""Sky Blue"": 1.0}"
33,Exploit,Win-Stay,Exploit+Win-Stay,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,,"{""Sky Blue"": 29}",{},"{""Sky Blue"": 1.0}"
34,Exploit,Win-Stay,Exploit+Win-Stay,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,,"{""Sky Blue"": 30}",{},"{""Sky Blue"": 1.0}"
35,Exploit,Win-Stay,Exploit+Win-Stay,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,,"{""Sky Blue"": 31}",{},"{""Sky Blue"": 1.0}"
