Round,Judgment,Pattern,Strategy,Choice,Reward,Last Choice,Last Reward,Best highest success,Best highest ratio,Best lowest failures,Success Count,Failure Count,Success Ratio
0,N/A,N/A,N/A+N/A,,,,,,,,{},{},{}
1,Explore,Switch-After-Win,Explore+Switch-After-Win,Pink,1.0,,,,,,{},{},{}
2,Exploit,Win-Stay,Exploit+Win-Stay,Pink,0.0,Pink,1.0,Pink,Pink,,"{""Pink"": 1}",{},"{""Pink"": 1.0}"
3,Explore,Lose-Shift,Explore+Lose-Shift,Orange,1.0,Pink,0.0,Pink,Pink,Pink,"{""Pink"": 1}","{""Pink"": 1}","{""Pink"": 0.5}"
4,Exploit,Win-Stay,Exploit+Win-Stay,Orange,1.0,Orange,1.0,"Orange, Pink",Orange,Pink,"{""Pink"": 1, ""Orange"": 1}","{""Pink"": 1}","{""Pink"": 0.5, ""Orange"": 1.0}"
5,Exploit,Win-Stay,Exploit+Win-Stay,Orange,1.0,Orange,1.0,Orange,Orange,Pink,"{""Pink"": 1, ""Orange"": 2}","{""Pink"": 1}","{""Pink"": 0.5, ""Orange"": 1.0}"
6,Exploit,Win-Stay,Exploit+Win-Stay,Orange,1.0,Orange,1.0,Orange,Orange,Pink,"{""Pink"": 1, ""Orange"": 3}","{""Pink"": 1}","{""Pink"": 0.5, ""Orange"": 1.0}"
7,Exploit,Win-Stay,Exploit+Win-Stay,Orange,1.0,Orange,1.0,Orange,Orange,Pink,"{""Pink"": 1, ""Orange"": 4}","{""Pink"": 1}","{""Pink"": 0.5, ""Orange"": 1.0}"
8,Exploit,Win-Stay,Exploit+Win-Stay,Orange,1.0,Orange,1.0,Orange,Orange,Pink,"{""Pink"": 1, ""Orange"": 5}","{""Pink"": 1}","{""Pink"": 0.5, ""Orange"": 1.0}"
9,Exploit,Win-Stay,Exploit+Win-Stay,Orange,1.0,Orange,1.0,Orange,Orange,Pink,"{""Pink"": 1, ""Orange"": 6}","{""Pink"": 1}","{""Pink"": 0.5, ""Orange"": 1.0}"
10,Exploit,Win-Stay,Exploit+Win-Stay,Orange,1.0,Orange,1.0,Orange,Orange,Pink,"{""Pink"": 1, ""Orange"": 7}","{""Pink"": 1}","{""Pink"": 0.5, ""Orange"": 1.0}"
11,Exploit,Win-Stay,Exploit+Win-Stay,Orange,1.0,Orange,1.0,Orange,Orange,Pink,"{""Pink"": 1, ""Orange"": 8}","{""Pink"": 1}","{""Pink"": 0.5, ""Orange"": 1.0}"
12,Exploit,Win-Stay,Exploit+Win-Stay,Orange,1.0,Orange,1.0,Orange,Orange,Pink,"{""Pink"": 1, ""Orange"": 9}","{""Pink"": 1}","{""Pink"": 0.5, ""Orange"": 1.0}"
13,Exploit,Win-Stay,Exploit+Win-Stay,Orange,1.0,Orange,1.0,Orange,Orange,Pink,"{""Pink"": 1, ""Orange"": 10}","{""Pink"": 1}","{""Pink"": 0.5, ""Orange"": 1.0}"
14,Exploit,Win-Stay,Exploit+Win-Stay,Orange,1.0,Orange,1.0,Orange,Orange,Pink,"{""Pink"": 1, ""Orange"": 11}","{""Pink"": 1}","{""Pink"": 0.5, ""Orange"": 1.0}"
15,Exploit,Win-Stay,Exploit+Win-Stay,Orange,1.0,Orange,1.0,Orange,Orange,Pink,"{""Pink"": 1, ""Orange"": 12}","{""Pink"": 1}","{""Pink"": 0.5, ""Orange"": 1.0}"
16,Exploit,Win-Stay,Exploit+Win-Stay,Orange,1.0,Orange,1.0,Orange,Orange,Pink,"{""Pink"": 1, ""Orange"": 13}","{""Pink"": 1}","{""Pink"": 0.5, ""Orange"": 1.0}"
17,Exploit,Win-Stay,Exploit+Win-Stay,Orange,1.0,Orange,1.0,Orange,Orange,Pink,"{""Pink"": 1, ""Orange"": 14}","{""Pink"": 1}","{""Pink"": 0.5, ""Orange"": 1.0}"
18,Exploit,Win-Stay,Exploit+Win-Stay,Orange,1.0,Orange,1.0,Orange,Orange,Pink,"{""Pink"": 1, ""Orange"": 15}","{""Pink"": 1}","{""Pink"": 0.5, ""Orange"": 1.0}"
19,Exploit,Win-Stay,Exploit+Win-Stay,Orange,1.0,Orange,1.0,Orange,Orange,Pink,"{""Pink"": 1, ""Orange"": 16}","{""Pink"": 1}","{""Pink"": 0.5, ""Orange"": 1.0}"
20,Exploit,Win-Stay,Exploit+Win-Stay,Orange,1.0,Orange,1.0,Orange,Orange,Pink,"{""Pink"": 1, ""Orange"": 17}","{""Pink"": 1}","{""Pink"": 0.5, ""Orange"": 1.0}"
21,Exploit,Win-Stay,Exploit+Win-Stay,Orange,1.0,Orange,1.0,Orange,Orange,Pink,"{""Pink"": 1, ""Orange"": 18}","{""Pink"": 1}","{""Pink"": 0.5, ""Orange"": 1.0}"
22,Exploit,Win-Stay,Exploit+Win-Stay,Orange,1.0,Orange,1.0,Orange,Orange,Pink,"{""Pink"": 1, ""Orange"": 19}","{""Pink"": 1}","{""Pink"": 0.5, ""Orange"": 1.0}"
23,Exploit,Win-Stay,Exploit+Win-Stay,Orange,1.0,Orange,1.0,Orange,Orange,Pink,"{""Pink"": 1, ""Orange"": 20}","{""Pink"": 1}","{""Pink"": 0.5, ""Orange"": 1.0}"
24,Exploit,Win-Stay,Exploit+Win-Stay,Orange,1.0,Orange,1.0,Orange,Orange,Pink,"{""Pink"": 1, ""Orange"": 21}","{""Pink"": 1}","{""Pink"": 0.5, ""Orange"": 1.0}"
25,Exploit,Win-Stay,Exploit+Win-Stay,Orange,1.0,Orange,1.0,Orange,Orange,Pink,"{""Pink"": 1, ""Orange"": 22}","{""Pink"": 1}","{""Pink"": 0.5, ""Orange"": 1.0}"
26,Exploit,Win-Stay,Exploit+Win-Stay,Orange,1.0,Orange,1.0,Orange,Orange,Pink,"{""Pink"": 1, ""Orange"": 23}","{""Pink"": 1}","{""Pink"": 0.5, ""Orange"": 1.0}"
27,Exploit,Win-Stay,Exploit+Win-Stay,Orange,1.0,Orange,1.0,Orange,Orange,Pink,"{""Pink"": 1, ""Orange"": 24}","{""Pink"": 1}","{""Pink"": 0.5, ""Orange"": 1.0}"
28,Exploit,Win-Stay,Exploit+Win-Stay,Orange,1.0,Orange,1.0,Orange,Orange,Pink,"{""Pink"": 1, ""Orange"": 25}","{""Pink"": 1}","{""Pink"": 0.5, ""Orange"": 1.0}"
29,Exploit,Win-Stay,Exploit+Win-Stay,Orange,1.0,Orange,1.0,Orange,Orange,Pink,"{""Pink"": 1, ""Orange"": 26}","{""Pink"": 1}","{""Pink"": 0.5, ""Orange"": 1.0}"
30,Exploit,Win-Stay,Exploit+Win-Stay,Orange,1.0,Orange,1.0,Orange,Orange,Pink,"{""Pink"": 1, ""Orange"": 27}","{""Pink"": 1}","{""Pink"": 0.5, ""Orange"": 1.0}"
31,Exploit,Win-Stay,Exploit+Win-Stay,Orange,1.0,Orange,1.0,Orange,Orange,Pink,"{""Pink"": 1, ""Orange"": 28}","{""Pink"": 1}","{""Pink"": 0.5, ""Orange"": 1.0}"
32,Exploit,Win-Stay,Exploit+Win-Stay,Orange,1.0,Orange,1.0,Orange,Orange,Pink,"{""Pink"": 1, ""Orange"": 29}","{""Pink"": 1}","{""Pink"": 0.5, ""Orange"": 1.0}"
33,Exploit,Win-Stay,Exploit+Win-Stay,Orange,1.0,Orange,1.0,Orange,Orange,Pink,"{""Pink"": 1, ""Orange"": 30}","{""Pink"": 1}","{""Pink"": 0.5, ""Orange"": 1.0}"
34,Exploit,Win-Stay,Exploit+Win-Stay,Orange,1.0,Orange,1.0,Orange,Orange,Pink,"{""Pink"": 1, ""Orange"": 31}","{""Pink"": 1}","{""Pink"": 0.5, ""Orange"": 1.0}"
35,Exploit,Win-Stay,Exploit+Win-Stay,Orange,1.0,Orange,1.0,Orange,Orange,Pink,"{""Pink"": 1, ""Orange"": 32}","{""Pink"": 1}","{""Pink"": 0.5, ""Orange"": 1.0}"
36,Exploit,Win-Stay,Exploit+Win-Stay,Orange,0.0,Orange,1.0,Orange,Orange,Pink,"{""Pink"": 1, ""Orange"": 33}","{""Pink"": 1}","{""Pink"": 0.5, ""Orange"": 1.0}"
37,Exploit,Lose-Stay,Exploit+Lose-Stay,Orange,1.0,Orange,0.0,Orange,Orange,"Orange, Pink","{""Pink"": 1, ""Orange"": 33}","{""Pink"": 1, ""Orange"": 1}","{""Pink"": 0.5, ""Orange"": 0.9705882352941176}"
