Round,Judgment,Pattern,Strategy,Choice,Reward,Last Choice,Last Reward,Best highest success,Best highest ratio,Best lowest failures,Success Count,Failure Count,Success Ratio
0,N/A,N/A,N/A+N/A,,,,,,,,{},{},{}
1,Explore,Switch-After-Win,Explore+Switch-After-Win,Slate,1.0,,,,,,{},{},{}
2,Exploit,Win-Stay,Exploit+Win-Stay,Slate,1.0,Slate,1.0,Slate,Slate,,"{""Slate"": 1}",{},"{""Slate"": 1.0}"
3,Explore,Switch-After-Win,Explore+Switch-After-Win,Black,1.0,Slate,1.0,Slate,Slate,,"{""Slate"": 2}",{},"{""Slate"": 1.0}"
4,Explore,Switch-After-Win,Explore+Switch-After-Win,Indigo,1.0,Black,1.0,Slate,"Slate, Black",,"{""Slate"": 2, ""Black"": 1}",{},"{""Slate"": 1.0, ""Black"": 1.0}"
5,Exploit,Win-Stay,Exploit+Win-Stay,Indigo,1.0,Indigo,1.0,Slate,"Indigo, Slate, Black",,"{""Slate"": 2, ""Black"": 1, ""Indigo"": 1}",{},"{""Slate"": 1.0, ""Black"": 1.0, ""Indigo"": 1.0}"
6,Exploit,Switch-After-Win,Exploit+Switch-After-Win,Slate,1.0,Indigo,1.0,"Indigo, Slate","Indigo, Slate, Black",,"{""Slate"": 2, ""Black"": 1, ""Indigo"": 2}",{},"{""Slate"": 1.0, ""Black"": 1.0, ""Indigo"": 1.0}"
7,Explore,Switch-After-Win,Explore+Switch-After-Win,Crimson,1.0,Slate,1.0,Slate,"Indigo, Slate, Black",,"{""Slate"": 3, ""Black"": 1, ""Indigo"": 2}",{},"{""Slate"": 1.0, ""Black"": 1.0, ""Indigo"": 1.0}"
8,Exploit,Switch-After-Win,Exploit+Switch-After-Win,Indigo,1.0,Crimson,1.0,Slate,"Crimson, Indigo, Slate, Black",,"{""Slate"": 3, ""Black"": 1, ""Indigo"": 2, ""Crimson"": 1}",{},"{""Slate"": 1.0, ""Black"": 1.0, ""Indigo"": 1.0, ""Crimson"": 1.0}"
9,Explore,Switch-After-Win,Explore+Switch-After-Win,Pink,1.0,Indigo,1.0,"Indigo, Slate","Crimson, Indigo, Slate, Black",,"{""Slate"": 3, ""Black"": 1, ""Indigo"": 3, ""Crimson"": 1}",{},"{""Slate"": 1.0, ""Black"": 1.0, ""Indigo"": 1.0, ""Crimson"": 1.0}"
10,Explore,Switch-After-Win,Explore+Switch-After-Win,Sky Blue,1.0,Pink,1.0,"Indigo, Slate","Indigo, Pink, Slate, Crimson, Black",,"{""Slate"": 3, ""Black"": 1, ""Indigo"": 3, ""Crimson"": 1, ""Pink"": 1}",{},"{""Slate"": 1.0, ""Black"": 1.0, ""Indigo"": 1.0, ""Crimson"": 1.0, ""Pink"": 1.0}"
11,Explore,Switch-After-Win,Explore+Switch-After-Win,Purple,1.0,Sky Blue,1.0,"Indigo, Slate","Indigo, Pink, Sky Blue, Slate, Crimson, Black",,"{""Slate"": 3, ""Black"": 1, ""Indigo"": 3, ""Crimson"": 1, ""Pink"": 1, ""Sky Blue"": 1}",{},"{""Slate"": 1.0, ""Black"": 1.0, ""Indigo"": 1.0, ""Crimson"": 1.0, ""Pink"": 1.0, ""Sky Blue"": 1.0}"
12,Explore,Switch-After-Win,Explore+Switch-After-Win,Amber,1.0,Purple,1.0,"Indigo, Slate","Indigo, Pink, Sky Blue, Slate, Crimson, Purple, Black",,"{""Slate"": 3, ""Black"": 1, ""Indigo"": 3, ""Crimson"": 1, ""Pink"": 1, ""Sky Blue"": 1, ""Purple"": 1}",{},"{""Slate"": 1.0, ""Black"": 1.0, ""Indigo"": 1.0, ""Crimson"": 1.0, ""Pink"": 1.0, ""Sky Blue"": 1.0, ""Purple"": 1.0}"
13,Explore,Switch-After-Win,Explore+Switch-After-Win,Bright Green,1.0,Amber,1.0,"Indigo, Slate","Indigo, Pink, Sky Blue, Slate, Crimson, Purple, Amber, Black",,"{""Slate"": 3, ""Black"": 1, ""Indigo"": 3, ""Crimson"": 1, ""Pink"": 1, ""Sky Blue"": 1, ""Purple"": 1, ""Amber"": 1}",{},"{""Slate"": 1.0, ""Black"": 1.0, ""Indigo"": 1.0, ""Crimson"": 1.0, ""Pink"": 1.0, ""Sky Blue"": 1.0, ""Purple"": 1.0, ""Amber"": 1.0}"
14,Explore,Switch-After-Win,Explore+Switch-After-Win,Orange,1.0,Bright Green,1.0,"Indigo, Slate","Indigo, Pink, Sky Blue, Slate, Crimson, Bright Green, Purple, Amber, Black",,"{""Slate"": 3, ""Black"": 1, ""Indigo"": 3, ""Crimson"": 1, ""Pink"": 1, ""Sky Blue"": 1, ""Purple"": 1, ""Amber"": 1, ""Bright Green"": 1}",{},"{""Slate"": 1.0, ""Black"": 1.0, ""Indigo"": 1.0, ""Crimson"": 1.0, ""Pink"": 1.0, ""Sky Blue"": 1.0, ""Purple"": 1.0, ""Amber"": 1.0, ""Bright Green"": 1.0}"
15,Exploit,Switch-After-Win,Exploit+Switch-After-Win,Black,1.0,Orange,1.0,"Indigo, Slate","Indigo, Orange, Pink, Sky Blue, Slate, Crimson, Bright Green, Purple, Amber, Black",,"{""Slate"": 3, ""Black"": 1, ""Indigo"": 3, ""Crimson"": 1, ""Pink"": 1, ""Sky Blue"": 1, ""Purple"": 1, ""Amber"": 1, ""Bright Green"": 1, ""Orange"": 1}",{},"{""Slate"": 1.0, ""Black"": 1.0, ""Indigo"": 1.0, ""Crimson"": 1.0, ""Pink"": 1.0, ""Sky Blue"": 1.0, ""Purple"": 1.0, ""Amber"": 1.0, ""Bright Green"": 1.0, ""Orange"": 1.0}"
