Round,Judgment,Pattern,Strategy,Choice,Reward,Last Choice,Last Reward,Best highest success,Best highest ratio,Best lowest failures,Success Count,Failure Count,Success Ratio
0,N/A,N/A,N/A+N/A,,,,,,,,{},{},{}
1,Explore,Switch-After-Win,Explore+Switch-After-Win,Orange,1.0,,,,,,{},{},{}
2,Explore,Switch-After-Win,Explore+Switch-After-Win,Indigo,1.0,Orange,1.0,Orange,Orange,,"{""Orange"": 1}",{},"{""Orange"": 1.0}"
3,Exploit,Switch-After-Win,Exploit+Switch-After-Win,Orange,1.0,Indigo,1.0,"Indigo, Orange","Indigo, Orange",,"{""Orange"": 1, ""Indigo"": 1}",{},"{""Orange"": 1.0, ""Indigo"": 1.0}"
4,Exploit,Win-Stay,Exploit+Win-Stay,Orange,1.0,Orange,1.0,Orange,"Indigo, Orange",,"{""Orange"": 2, ""Indigo"": 1}",{},"{""Orange"": 1.0, ""Indigo"": 1.0}"
5,Exploit,Win-Stay,Exploit+Win-Stay,Orange,1.0,Orange,1.0,Orange,"Indigo, Orange",,"{""Orange"": 3, ""Indigo"": 1}",{},"{""Orange"": 1.0, ""Indigo"": 1.0}"
6,Exploit,Switch-After-Win,Exploit+Switch-After-Win,Indigo,1.0,Orange,1.0,Orange,"Indigo, Orange",,"{""Orange"": 4, ""Indigo"": 1}",{},"{""Orange"": 1.0, ""Indigo"": 1.0}"
7,Exploit,Win-Stay,Exploit+Win-Stay,Indigo,1.0,Indigo,1.0,Orange,"Indigo, Orange",,"{""Orange"": 4, ""Indigo"": 2}",{},"{""Orange"": 1.0, ""Indigo"": 1.0}"
8,Explore,Switch-After-Win,Explore+Switch-After-Win,Purple,0.0,Indigo,1.0,Orange,"Indigo, Orange",,"{""Orange"": 4, ""Indigo"": 3}",{},"{""Orange"": 1.0, ""Indigo"": 1.0}"
9,Exploit,Lose-Shift,Exploit+Lose-Shift,Orange,1.0,Purple,0.0,Orange,"Indigo, Orange",Purple,"{""Orange"": 4, ""Indigo"": 3}","{""Purple"": 1}","{""Orange"": 1.0, ""Indigo"": 1.0, ""Purple"": 0.0}"
10,Explore,Switch-After-Win,Explore+Switch-After-Win,Bright Green,1.0,Orange,1.0,Orange,"Indigo, Orange",Purple,"{""Orange"": 5, ""Indigo"": 3}","{""Purple"": 1}","{""Orange"": 1.0, ""Indigo"": 1.0, ""Purple"": 0.0}"
11,Exploit,Win-Stay,Exploit+Win-Stay,Bright Green,1.0,Bright Green,1.0,Orange,"Bright Green, Indigo, Orange",Purple,"{""Orange"": 5, ""Indigo"": 3, ""Bright Green"": 1}","{""Purple"": 1}","{""Orange"": 1.0, ""Indigo"": 1.0, ""Purple"": 0.0, ""Bright Green"": 1.0}"
12,Explore,Switch-After-Win,Explore+Switch-After-Win,Crimson,1.0,Bright Green,1.0,Orange,"Bright Green, Indigo, Orange",Purple,"{""Orange"": 5, ""Indigo"": 3, ""Bright Green"": 2}","{""Purple"": 1}","{""Orange"": 1.0, ""Indigo"": 1.0, ""Purple"": 0.0, ""Bright Green"": 1.0}"
13,Explore,Switch-After-Win,Explore+Switch-After-Win,Pink,1.0,Crimson,1.0,Orange,"Crimson, Bright Green, Indigo, Orange",Purple,"{""Orange"": 5, ""Indigo"": 3, ""Bright Green"": 2, ""Crimson"": 1}","{""Purple"": 1}","{""Orange"": 1.0, ""Indigo"": 1.0, ""Purple"": 0.0, ""Bright Green"": 1.0, ""Crimson"": 1.0}"
