Round,Judgment,Pattern,Strategy,Choice,Reward,Last Choice,Last Reward,Best highest success,Best highest ratio,Best lowest failures,Success Count,Failure Count,Success Ratio
0,N/A,N/A,N/A+N/A,,,,,,,,{},{},{}
1,Explore,Switch-After-Win,Explore+Switch-After-Win,Black,0.0,,,,,,{},{},{}
2,Explore,Lose-Shift,Explore+Lose-Shift,Amber,1.0,Black,0.0,,Black,Black,{},"{""Black"": 1}","{""Black"": 0.0}"
3,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Black,"{""Amber"": 1}","{""Black"": 1}","{""Black"": 0.0, ""Amber"": 1.0}"
4,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Black,"{""Amber"": 2}","{""Black"": 1}","{""Black"": 0.0, ""Amber"": 1.0}"
5,Exploit,Win-Stay,Exploit+Win-Stay,Amber,0.0,Amber,1.0,Amber,Amber,Black,"{""Amber"": 3}","{""Black"": 1}","{""Black"": 0.0, ""Amber"": 1.0}"
6,Exploit,Lose-Stay,Exploit+Lose-Stay,Amber,1.0,Amber,0.0,Amber,Amber,"Amber, Black","{""Amber"": 3}","{""Black"": 1, ""Amber"": 1}","{""Black"": 0.0, ""Amber"": 0.75}"
7,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,"Amber, Black","{""Amber"": 4}","{""Black"": 1, ""Amber"": 1}","{""Black"": 0.0, ""Amber"": 0.8}"
8,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,"Amber, Black","{""Amber"": 5}","{""Black"": 1, ""Amber"": 1}","{""Black"": 0.0, ""Amber"": 0.8333333333333334}"
9,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,"Amber, Black","{""Amber"": 6}","{""Black"": 1, ""Amber"": 1}","{""Black"": 0.0, ""Amber"": 0.8571428571428571}"
10,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,"Amber, Black","{""Amber"": 7}","{""Black"": 1, ""Amber"": 1}","{""Black"": 0.0, ""Amber"": 0.875}"
11,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,"Amber, Black","{""Amber"": 8}","{""Black"": 1, ""Amber"": 1}","{""Black"": 0.0, ""Amber"": 0.8888888888888888}"
