playerID,entropy,age,gender,race,education,politicalOrientation
01JWBYFE620JFGXNYV478VBSRX,2.6619011889093374,40.0,Female,Caucasian,College,Extremely Liberal
01JWBYGVGP7BVNBNV16F89DM5Z,0.23868451135100138,,,,,
01JWBYFPPW45DGY3EK9G2K0QW0,1.3026831892554922,44.0,Male,Caucasian,Some College,Slightly Liberal
01JWBYGA9KCMA4F9SEPFZXK4Z5,0.0,44.0,Female,Caucasian,Graduate Professional School,Moderately Conservative
01JWBYJG4K0Q8K39KAHPCG6ZGT,3.268755117972461,44.0,Male,Latin/x,Some College,Slightly Conservative
01JWBYJH89QWDPM329M9D46S7Z,2.9599856803537667,19.0,Female,Caucasian,Some College,Slightly Liberal
01JWBYKCMZ7CTBB028D6ZWR40P,0.14144054254182067,50.0,Male,Caucasian,College,Moderately Liberal
01JWBYFSJ01MDZ3R21Q700YHVF,0.0,24.0,Female,African,College,Moderately Liberal
01JWBYJ34P6GXTWXFR2D1PMD12,0.0,43.0,Male,Caucasian,College,Slightly Liberal
01JWBYFMWCDR0KH95ZSTBYG6H4,0.672294817075638,50.0,Female,Caucasian,Some College,Moderately Liberal
