participant_id,round,arm,choice,reward,own_success,own_failure,group_success,group_failure,prev_choice,prev_reward,condition
01JWBYFE620JFGXNYV478VBSRX,1,0,7,1.0,0,0,0,0,-1,,asocial
01JWBYFE620JFGXNYV478VBSRX,1,1,7,1.0,0,0,0,0,-1,,asocial
01JWBYFE620JFGXNYV478VBSRX,1,2,7,1.0,0,0,0,0,-1,,asocial
01JWBYFE620JFGXNYV478VBSRX,1,3,7,1.0,0,0,0,0,-1,,asocial
01JWBYFE620JFGXNYV478VBSRX,1,4,7,1.0,0,0,0,0,-1,,asocial
01JWBYFE620JFGXNYV478VBSRX,1,5,7,1.0,0,0,0,0,-1,,asocial
01JWBYFE620JFGXNYV478VBSRX,1,6,7,1.0,0,0,0,0,-1,,asocial
01JWBYFE620JFGXNYV478VBSRX,1,7,7,1.0,0,0,0,0,-1,,asocial
01JWBYFE620JFGXNYV478VBSRX,1,8,7,1.0,0,0,0,0,-1,,asocial
01JWBYFE620JFGXNYV478VBSRX,1,9,7,1.0,0,0,0,0,-1,,asocial
01JWBYFE620JFGXNYV478VBSRX,2,0,9,1.0,0,0,1,0,7,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,2,1,9,1.0,0,0,1,0,7,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,2,2,9,1.0,0,0,0,1,7,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,2,3,9,1.0,0,0,1,0,7,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,2,4,9,1.0,0,0,1,0,7,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,2,5,9,1.0,0,0,0,0,7,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,2,6,9,1.0,0,0,1,0,7,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,2,7,9,1.0,1,0,1,0,7,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,2,8,9,1.0,0,0,0,0,7,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,2,9,9,1.0,0,0,1,0,7,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,3,0,6,1.0,0,0,3,0,9,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,3,1,6,1.0,0,0,1,1,9,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,3,2,6,1.0,0,0,0,1,9,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,3,3,6,1.0,0,0,2,0,9,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,3,4,6,1.0,0,0,2,0,9,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,3,5,6,1.0,0,0,0,0,9,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,3,6,6,1.0,0,0,1,0,9,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,3,7,6,1.0,1,0,1,0,9,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,3,8,6,1.0,0,0,2,0,9,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,3,9,6,1.0,1,0,3,0,9,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,4,0,5,1.0,0,0,4,0,6,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,4,1,5,1.0,0,0,1,1,6,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,4,2,5,1.0,0,0,1,1,6,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,4,3,5,1.0,0,0,3,0,6,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,4,4,5,1.0,0,0,2,0,6,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,4,5,5,1.0,0,0,0,0,6,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,4,6,5,1.0,1,0,4,0,6,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,4,7,5,1.0,1,0,1,0,6,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,4,8,5,1.0,0,0,4,0,6,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,4,9,5,1.0,1,0,3,1,6,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,5,0,9,1.0,0,0,6,0,5,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,5,1,9,1.0,0,0,1,1,5,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,5,2,9,1.0,0,0,1,1,5,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,5,3,9,1.0,0,0,4,0,5,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,5,4,9,1.0,0,0,2,0,5,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,5,5,9,1.0,1,0,2,0,5,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,5,6,9,1.0,1,0,6,0,5,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,5,7,9,1.0,1,0,1,0,5,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,5,8,9,1.0,0,0,6,0,5,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,5,9,9,1.0,1,0,4,1,5,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,6,0,2,1.0,0,0,8,0,9,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,6,1,2,1.0,0,0,1,1,9,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,6,2,2,1.0,0,0,1,1,9,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,6,3,2,1.0,0,0,5,0,9,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,6,4,2,1.0,0,0,2,0,9,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,6,5,2,1.0,1,0,3,0,9,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,6,6,2,1.0,1,0,8,0,9,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,6,7,2,1.0,1,0,1,0,9,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,6,8,2,1.0,0,0,7,1,9,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,6,9,2,1.0,2,0,6,1,9,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,7,0,0,1.0,0,0,10,0,2,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,7,1,0,1.0,0,0,1,1,2,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,7,2,0,1.0,1,0,2,1,2,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,7,3,0,1.0,0,0,6,0,2,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,7,4,0,1.0,0,0,3,0,2,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,7,5,0,1.0,1,0,4,0,2,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,7,6,0,1.0,1,0,9,0,2,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,7,7,0,1.0,1,0,1,0,2,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,7,8,0,1.0,0,0,9,1,2,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,7,9,0,1.0,2,0,7,1,2,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,8,0,9,1.0,1,0,13,0,0,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,8,1,9,1.0,0,0,1,1,0,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,8,2,9,1.0,1,0,2,1,0,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,8,3,9,1.0,0,0,7,0,0,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,8,4,9,1.0,0,0,3,0,0,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,8,5,9,1.0,1,0,5,0,0,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,8,6,9,1.0,1,0,10,0,0,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,8,7,9,1.0,1,0,2,0,0,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,8,8,9,1.0,0,0,11,1,0,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,8,9,9,1.0,2,0,7,2,0,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,9,0,5,1.0,1,0,15,0,9,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,9,1,5,1.0,0,0,1,1,9,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,9,2,5,1.0,1,0,2,1,9,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,9,3,5,1.0,0,0,8,1,9,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,9,4,5,1.0,0,0,3,0,9,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,9,5,5,1.0,1,0,6,0,9,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,9,6,5,1.0,1,0,11,0,9,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,9,7,5,1.0,1,0,2,0,9,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,9,8,5,1.0,0,0,12,2,9,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,9,9,5,1.0,3,0,8,3,9,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,10,0,9,1.0,1,0,16,0,5,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,10,1,9,1.0,0,0,2,1,5,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,10,2,9,1.0,1,0,2,1,5,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,10,3,9,1.0,0,0,9,1,5,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,10,4,9,1.0,0,0,3,0,5,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,10,5,9,1.0,2,0,8,0,5,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,10,6,9,1.0,1,0,13,0,5,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,10,7,9,1.0,1,0,2,0,5,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,10,8,9,1.0,0,0,14,2,5,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,10,9,9,1.0,3,0,8,4,5,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,11,0,4,1.0,1,0,17,0,9,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,11,1,4,1.0,0,0,2,1,9,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,11,2,4,1.0,1,0,2,1,9,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,11,3,4,1.0,0,0,10,1,9,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,11,4,4,1.0,0,0,3,0,9,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,11,5,4,1.0,2,0,10,0,9,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,11,6,4,1.0,1,0,14,0,9,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,11,7,4,1.0,1,0,2,0,9,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,11,8,4,1.0,0,0,17,2,9,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,11,9,4,1.0,4,0,10,4,9,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,12,0,6,1.0,1,0,18,0,4,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,12,1,6,1.0,0,0,2,1,4,1.0,asocial
01JWBYFE620JFGXNYV478VBSRX,12,2,6,1.0,1,0,2,1,4,1.0,asocial
