roundID,01JWBYFE620JFGXNYV478VBSRX,01JWBYGVGP7BVNBNV16F89DM5Z,01JWBYFPPW45DGY3EK9G2K0QW0,01JWBYGA9KCMA4F9SEPFZXK4Z5,01JWBYJG4K0Q8K39KAHPCG6ZGT,01JWBYJH89QWDPM329M9D46S7Z,01JWBYKCMZ7CTBB028D6ZWR40P,01JWBYFSJ01MDZ3R21Q700YHVF,01JWBYJ34P6GXTWXFR2D1PMD12,01JWBYFMWCDR0KH95ZSTBYG6H4
01JWBYN1WJD8JZTZWM40K8P14A,,,,,,,,,,
01JWBYN1WKN78WEDJ81QW7NDHF,Crimson,Pink,,,Slate,Orange,Black,Purple,Indigo,Bright Green
01JWBYN1X1TFBZH61NHZB5M27M,Bright Green,Pink,Amber,,Slate,Indigo,Amber,Purple,Indigo,Bright Green
01JWBYN1X1TFBZH61NJKCBFKQK,Orange,Orange,Amber,,Black,Orange,Amber,Purple,Indigo,Bright Green
01JWBYN1X2KD6P45HB9SAHQTG8,Sky Blue,Orange,Amber,Sky Blue,Indigo,Orange,Amber,Purple,Indigo,Bright Green
01JWBYN1XESQ5Z2PCCQNXE68MQ,Bright Green,Orange,Amber,Sky Blue,Indigo,Orange,Amber,Purple,Indigo,Bright Green
01JWBYN1XBZB7BXETC19KC4F2Y,Black,Orange,Amber,Sky Blue,Slate,Indigo,Amber,Purple,Indigo,Bright Green
01JWBYN1XBZB7BXETC0KD8C3XH,Indigo,Orange,Amber,Sky Blue,Crimson,Indigo,Amber,Purple,Indigo,Bright Green
01JWBYN1XCK3AT2NJ6XJWY039Q,Bright Green,Orange,Amber,Sky Blue,Indigo,Purple,Amber,Purple,Indigo,Bright Green
01JWBYN1X2KD6P45HB99JHP6DM,Sky Blue,Orange,Amber,Sky Blue,Pink,Orange,Amber,Purple,Indigo,Bright Green
01JWBYN1XDJ1FGFJPRFYPXPH3D,Bright Green,Orange,Amber,Sky Blue,Sky Blue,Bright Green,Amber,Purple,Indigo,Amber
01JWBYN1XCK3AT2NJ6YATN7E2C,Slate,Orange,Amber,Sky Blue,Purple,Bright Green,Amber,Purple,Indigo,Amber
01JWBYN1XDJ1FGFJPRGVXVC7DP,Orange,Orange,Amber,Sky Blue,Amber,Crimson,Amber,Purple,Indigo,Amber
01JWBYN1XESQ5Z2PCCQ79PKRAC,,Orange,Amber,Sky Blue,Bright Green,Pink,Amber,Purple,Indigo,Amber
01JWBYN1XESQ5Z2PCCRDCR5AGN,Orange,Orange,Amber,Sky Blue,Orange,Orange,Amber,Purple,Indigo,Amber
01JWBYN1X3B92DBNP3AVKXFKPC,Orange,Orange,Amber,Sky Blue,Black,Indigo,Amber,Purple,Indigo,Amber
01JWBYN1XAV4918SHBHG6883KP,Bright Green,Orange,Amber,Sky Blue,Crimson,Orange,Amber,Purple,Indigo,Amber
01JWBYN1XFFJ50FNTQ7WYEBY9V,Orange,Orange,Amber,Sky Blue,Orange,Indigo,Amber,Purple,Indigo,Amber
01JWBYN1X3B92DBNP3BESHMQ1R,Bright Green,Orange,Amber,Sky Blue,Orange,Bright Green,,Purple,Indigo,Amber
01JWBYN1XT2MZJYE0ZB895DXEK,Sky Blue,Orange,Amber,Sky Blue,Black,Indigo,Amber,Purple,Indigo,Amber
01JWBYN1X3B92DBNP3C715NN90,Bright Green,Orange,Amber,Sky Blue,Black,Slate,Amber,Purple,Indigo,Amber
01JWBYN1XBZB7BXETBZVN3K43Y,Bright Green,Orange,Amber,Sky Blue,Sky Blue,Amber,Amber,Purple,Indigo,Amber
01JWBYN1XGCHJZJGR99CA3ZYEN,Pink,Orange,Amber,Sky Blue,Sky Blue,Sky Blue,Amber,Purple,Indigo,Amber
01JWBYN1X4S4D4ABVT9BPGE8K0,Pink,Orange,Amber,Sky Blue,Orange,Black,Amber,Purple,Indigo,Amber
01JWBYN1XFFJ50FNTQ8CDQEREE,Bright Green,Orange,Amber,Sky Blue,Crimson,Orange,Amber,Purple,Indigo,Amber
01JWBYN1XGCHJZJGR99ZB1ANV7,Purple,Orange,Amber,Sky Blue,Purple,Orange,Amber,Purple,Indigo,Amber
01JWBYN1XAV4918SHBJ1JF55TX,Amber,Orange,Amber,Sky Blue,Purple,Bright Green,Amber,Purple,Indigo,Amber
01JWBYN1XGCHJZJGR9BDEGA9XR,Bright Green,Orange,Amber,Sky Blue,Sky Blue,Bright Green,Amber,Purple,Indigo,Amber
01JWBYN1XGCHJZJGR9AKYV35VG,Bright Green,Orange,Amber,Sky Blue,Bright Green,Bright Green,Amber,Purple,Indigo,Amber
01JWBYN1XSHVS1YW89NJQCBTMM,Bright Green,Orange,Amber,Sky Blue,Pink,Bright Green,Amber,Purple,Indigo,Amber
01JWBYN1XT2MZJYE0ZBS1YZBQR,Bright Green,Orange,Amber,Sky Blue,Amber,Orange,Amber,Purple,Indigo,Amber
