Round,Choice,Reward,Last Choice,Last Reward,Majority Choice Prev,Cumulative Best Choices,Judgment,Pattern,Strategy
0,,,,,,,N/A,N/A,N/A+N/A
1,Crimson,1.0,,,,,Contrarian,Switch-After-Win,Contrarian+Switch-After-Win
2,Crimson,1.0,Crimson,1.0,Crimson,"Sky Blue, Pink, Black, Amber, Indigo, Purple, Bright Green, Orange, Crimson",Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
3,Crimson,0.0,Crimson,1.0,Crimson,"Sky Blue, Amber, Indigo, Orange, Crimson",Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
4,Sky Blue,1.0,Crimson,0.0,Purple,"Sky Blue, Indigo",Social-Exploit,Lose-Shift,Social-Exploit+Lose-Shift
5,Indigo,1.0,Sky Blue,1.0,Indigo,Indigo,Majority-Biased,Switch-After-Win,Majority-Biased+Switch-After-Win
6,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
7,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
8,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
9,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
10,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
11,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
12,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
13,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
14,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
15,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
16,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
17,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
18,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
19,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
20,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
21,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
