Round,Choice,Reward,Last Choice,Last Reward,Majority Choice Prev,Cumulative Best Choices,Judgment,Pattern,Strategy
0,,,,,,,N/A,N/A,N/A+N/A
1,Bright Green,1.0,,,,,Contrarian,Switch-After-Win,Contrarian+Switch-After-Win
2,Amber,1.0,Bright Green,1.0,Crimson,"Sky Blue, Pink, Black, Amber, Indigo, Purple, Bright Green, Orange, Crimson",Social-Exploit,Switch-After-Win,Social-Exploit+Switch-After-Win
3,Purple,1.0,Amber,1.0,Crimson,"Sky Blue, Amber, Indigo, Orange, Crimson",Contrarian,Switch-After-Win,Contrarian+Switch-After-Win
4,Indigo,1.0,Purple,1.0,Purple,"Sky Blue, Indigo",Social-Exploit,Switch-After-Win,Social-Exploit+Switch-After-Win
5,Sky Blue,1.0,Indigo,1.0,Indigo,Indigo,Contrarian,Switch-After-Win,Contrarian+Switch-After-Win
6,Pink,1.0,Sky Blue,1.0,Indigo,Indigo,Contrarian,Switch-After-Win,Contrarian+Switch-After-Win
7,Sky Blue,0.0,Pink,1.0,Indigo,Indigo,Contrarian,Switch-After-Win,Contrarian+Switch-After-Win
8,Sky Blue,1.0,Sky Blue,0.0,Indigo,Indigo,Contrarian,Lose-Stay,Contrarian+Lose-Stay
9,Indigo,1.0,Sky Blue,1.0,Indigo,Indigo,Majority-Biased,Switch-After-Win,Majority-Biased+Switch-After-Win
10,Sky Blue,0.0,Indigo,1.0,Indigo,Indigo,Contrarian,Switch-After-Win,Contrarian+Switch-After-Win
11,Indigo,1.0,Sky Blue,0.0,Indigo,Indigo,Majority-Biased,Lose-Shift,Majority-Biased+Lose-Shift
12,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
13,Sky Blue,1.0,Indigo,1.0,Indigo,Indigo,Contrarian,Switch-After-Win,Contrarian+Switch-After-Win
14,Indigo,1.0,Sky Blue,1.0,Indigo,Indigo,Majority-Biased,Switch-After-Win,Majority-Biased+Switch-After-Win
15,Pink,0.0,Indigo,1.0,Indigo,Indigo,Contrarian,Switch-After-Win,Contrarian+Switch-After-Win
16,Indigo,0.0,Pink,0.0,Indigo,Indigo,Majority-Biased,Lose-Shift,Majority-Biased+Lose-Shift
17,Indigo,1.0,Indigo,0.0,Indigo,Indigo,Majority-Biased,Lose-Stay,Majority-Biased+Lose-Stay
18,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
19,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
20,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
21,Sky Blue,0.0,Indigo,1.0,Indigo,Indigo,Contrarian,Switch-After-Win,Contrarian+Switch-After-Win
22,Indigo,1.0,Sky Blue,0.0,Indigo,Indigo,Majority-Biased,Lose-Shift,Majority-Biased+Lose-Shift
23,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
24,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
25,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
26,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
27,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
28,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
29,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
30,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
31,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
32,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
33,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
34,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
35,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
36,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
37,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
38,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
39,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
40,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
41,Indigo,0.0,Indigo,1.0,Indigo,Indigo,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
42,Indigo,1.0,Indigo,0.0,Indigo,Indigo,Majority-Biased,Lose-Stay,Majority-Biased+Lose-Stay
43,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
44,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
45,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
46,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
47,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
48,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
49,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
50,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
51,Indigo,0.0,Indigo,1.0,Indigo,Indigo,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
52,,,Indigo,0.0,Indigo,Indigo,N/A,N/A,N/A+N/A
