Round,Choice,Reward,Last Choice,Last Reward,Majority Choice Prev,Cumulative Best Choices,Judgment,Pattern,Strategy
0,,,,,,,N/A,N/A,N/A+N/A
1,Black,1.0,,,,,Contrarian,Switch-After-Win,Contrarian+Switch-After-Win
2,Black,0.0,Black,1.0,Crimson,"Sky Blue, Pink, Black, Amber, Indigo, Purple, Bright Green, Orange, Crimson",Social-Exploit,Win-Stay,Social-Exploit+Win-Stay
3,Purple,0.0,Black,0.0,Crimson,"Sky Blue, Amber, Indigo, Orange, Crimson",Contrarian,Lose-Shift,Contrarian+Lose-Shift
4,Sky Blue,1.0,Purple,0.0,Purple,"Sky Blue, Indigo",Social-Exploit,Lose-Shift,Social-Exploit+Lose-Shift
5,Indigo,1.0,Sky Blue,1.0,Indigo,Indigo,Majority-Biased,Switch-After-Win,Majority-Biased+Switch-After-Win
6,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
7,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
8,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
9,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
10,Indigo,0.0,Indigo,1.0,Indigo,Indigo,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
11,Indigo,0.0,Indigo,0.0,Indigo,Indigo,Majority-Biased,Lose-Stay,Majority-Biased+Lose-Stay
12,Slate,0.0,Indigo,0.0,Indigo,Indigo,Contrarian,Lose-Shift,Contrarian+Lose-Shift
13,Indigo,1.0,Slate,0.0,Indigo,Indigo,Majority-Biased,Lose-Shift,Majority-Biased+Lose-Shift
14,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
15,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
16,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
17,Indigo,0.0,Indigo,1.0,Indigo,Indigo,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
18,Sky Blue,1.0,Indigo,0.0,Indigo,Indigo,Contrarian,Lose-Shift,Contrarian+Lose-Shift
19,Sky Blue,1.0,Sky Blue,1.0,Indigo,Indigo,Contrarian,Win-Stay,Contrarian+Win-Stay
20,Sky Blue,0.0,Sky Blue,1.0,Indigo,Indigo,Contrarian,Win-Stay,Contrarian+Win-Stay
21,Sky Blue,1.0,Sky Blue,0.0,Indigo,Indigo,Contrarian,Lose-Stay,Contrarian+Lose-Stay
22,Indigo,1.0,Sky Blue,1.0,Indigo,Indigo,Majority-Biased,Switch-After-Win,Majority-Biased+Switch-After-Win
23,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
24,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
25,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
26,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
27,Indigo,0.0,Indigo,1.0,Indigo,Indigo,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
28,Indigo,1.0,Indigo,0.0,Indigo,Indigo,Majority-Biased,Lose-Stay,Majority-Biased+Lose-Stay
29,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
