id,Sky Blue,Slate,Purple,Indigo,Amber,Crimson,Pink,Black,Bright Green,Orange,entropy
01JTS723YPMA1SJWJ0VCR99JZB,4.0,0.0,0.0,90.0,6.0,0.0,0.0,0.0,0.0,0.0,0.566090653034748
01JTS6YPD6RY5G40K4WRD8WMTP,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01JTS6YSGKD8E961E8ZKZKJ4BF,20.0,0.0,0.0,60.0,20.0,0.0,0.0,0.0,0.0,0.0,1.3709505944546687
01JTS6Z36TH1E3M89RSZA5MMFJ,21.0,7.0,4.0,23.0,15.0,5.0,7.0,8.0,5.0,5.0,3.0336977884356253
01JTS6ZE18EA1XGE24MH4XDNY6,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01JTS706D1B7MT98G3AS4XGXGA,90.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.4689955935892812
01JTS71B3YE0PC1DH5XFQ1G4X6,15.0,1.0,2.0,67.0,8.0,2.0,0.0,2.0,1.0,2.0,1.6735428428267392
01JTS74MAY1BSBNTKEG1YWCNA5,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01JTS775VFZV8FXSFZ7DV9VMWE,50.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
average,22.22222222222222,0.8888888888888888,0.6666666666666666,65.55555555555556,5.444444444444445,0.7777777777777778,0.7777777777777778,2.2222222222222223,0.6666666666666666,0.7777777777777778,0.9014752747045625
