roundID,01JTS6YPD6RY5G40K4WRD8WMTP,01JTS71B3YE0PC1DH5XFQ1G4X6,01JTS706D1B7MT98G3AS4XGXGA,01JTS723YPMA1SJWJ0VCR99JZB,01JTS72GS6TFASVG78DE1QTB8W,01JTS6Z36TH1E3M89RSZA5MMFJ,01JTS6YSGKD8E961E8ZKZKJ4BF,01JTS74MAY1BSBNTKEG1YWCNA5,01JTS6ZE18EA1XGE24MH4XDNY6,01JTS775VFZV8FXSFZ7DV9VMWE
01JTS77Y369CE85A1TSEN52M2S,,,,,,,,,,
01JTS77Y369CE85A1TT0S65GJP,Crimson,Pink,Sky Blue,Indigo,Slate,Amber,Bright Green,Orange,Purple,Black
01JTS77Y3KKQNXKZDT679W4FFV,Crimson,Indigo,Orange,Sky Blue,Slate,,Amber,,Pink,Black
01JTS77Y40WGZT26YS3YZQMNWV,Crimson,Indigo,Indigo,Sky Blue,Black,Sky Blue,Purple,Orange,Purple,Purple
01JTS77Y3MGEFWXSP8144B0NHX,Sky Blue,Indigo,Indigo,Indigo,Indigo,Sky Blue,Indigo,Indigo,Sky Blue,Sky Blue
01JTS77Y3MGEFWXSP82EMMDXTB,Indigo,Indigo,Sky Blue,Indigo,Indigo,Sky Blue,Sky Blue,Sky Blue,Indigo,Indigo
01JTS77Y3W0C2EKE75Z7YHBC86,Indigo,Indigo,Indigo,Indigo,Indigo,Indigo,Pink,Indigo,Indigo,Indigo
01JTS77Y3MGEFWXSP81T3Y9DQR,Indigo,Indigo,Sky Blue,Indigo,Indigo,Sky Blue,Sky Blue,Sky Blue,Sky Blue,Indigo
01JTS77Y3Q6QCTZ8WB4MKS8ZHB,Indigo,Indigo,Sky Blue,Indigo,Indigo,Sky Blue,Sky Blue,Indigo,Indigo,Indigo
01JTS77Y3XCPHYNDHSBM4XRDQD,Indigo,Indigo,Sky Blue,Indigo,Indigo,Sky Blue,Indigo,Indigo,Indigo,Indigo
01JTS77Y3XCPHYNDHSC9BHMS83,Indigo,Indigo,Indigo,Indigo,Indigo,Sky Blue,Sky Blue,Indigo,Sky Blue,Indigo
01JTS77Y3XCPHYNDHSCV47MRVA,Indigo,Indigo,Indigo,Indigo,Indigo,Sky Blue,Indigo,Indigo,Sky Blue,Indigo
01JTS77Y3YSW6FF5CH5341NVFR,Indigo,Indigo,Indigo,Indigo,Indigo,Sky Blue,Indigo,Indigo,Indigo,Slate
