id,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,playerID,playerIDLastChangedAt,roundID,roundIDLastChangedAt,stageID,stageIDLastChangedAt,submit,submitLastChangedAt
01JTS7MEDK08T0JXMT2HJZEH09,01JTS6X5RWMM0FMJD7Q4YV16ZJ,2025-05-09T00:37:56.787440108Z,01JTS6X5SE1W8R42F0VHJB0QNJ,2025-05-09T00:37:56.787440108Z,01JTS72GS6TFASVG78DE1QTB8W,2025-05-09T00:37:56.787440108Z,01JTS77Y3ZTX7Y6BVZH8YQ57WF,2025-05-09T00:37:56.787440108Z,01JTS77YCKQ1XYKVMYX06DJ0AF,2025-05-09T00:37:56.787440108Z,true,2025-05-09T00:38:03.65312194Z
01JTS79HE434KMKNQPTJKZY97F,01JTS6X5RWMM0FMJD7Q4YV16ZJ,2025-05-09T00:31:59.428587967Z,01JTS6X5SE1W8R42F0VHJB0QNJ,2025-05-09T00:31:59.428587967Z,01JTS723YPMA1SJWJ0VCR99JZB,2025-05-09T00:31:59.428587967Z,01JTS77Y369CE85A1TT0S65GJP,2025-05-09T00:31:59.428587967Z,01JTS77Y6CGME1C71KD0Y72N73,2025-05-09T00:31:59.428587967Z,true,2025-05-09T00:32:02.661634141Z
01JTS7CYR2G90S6YXCZZWJ3S00,01JTS6X5RWMM0FMJD7Q4YV16ZJ,2025-05-09T00:33:51.36244408Z,01JTS6X5SE1W8R42F0VHJB0QNJ,2025-05-09T00:33:51.36244408Z,01JTS706D1B7MT98G3AS4XGXGA,2025-05-09T00:33:51.36244408Z,01JTS77Y3W0C2EKE75Z7YHBC86,2025-05-09T00:33:51.36244408Z,01JTS77Y7QJNFDT40V2M4SHSAB,2025-05-09T00:33:51.36244408Z,true,2025-05-09T00:33:56.394649721Z
01JTS7ED4QX1FAWS4T0C1H1FKY,01JTS6X5RWMM0FMJD7Q4YV16ZJ,2025-05-09T00:34:38.871296698Z,01JTS6X5SE1W8R42F0VHJB0QNJ,2025-05-09T00:34:38.871296698Z,01JTS723YPMA1SJWJ0VCR99JZB,2025-05-09T00:34:38.871296698Z,01JTS77Y3XCPHYNDHSC9BHMS83,2025-05-09T00:34:38.871296698Z,01JTS77Y8TD4Z45VG0DBNWBNXE,2025-05-09T00:34:38.871296698Z,true,2025-05-09T00:34:40.532963598Z
01JTS7EPNK14KKJTN1EBW6N3BT,01JTS6X5RWMM0FMJD7Q4YV16ZJ,2025-05-09T00:34:48.627044585Z,01JTS6X5SE1W8R42F0VHJB0QNJ,2025-05-09T00:34:48.627044585Z,01JTS6YPD6RY5G40K4WRD8WMTP,2025-05-09T00:34:48.627044585Z,01JTS77Y3XCPHYNDHSCV47MRVA,2025-05-09T00:34:48.627044585Z,01JTS77Y92JYBJP6AKQHFYBEWR,2025-05-09T00:34:48.627044585Z,true,2025-05-09T00:34:50.19980482Z
01JTS7K27AVY34JPK82QCC05CY,01JTS6X5RWMM0FMJD7Q4YV16ZJ,2025-05-09T00:37:11.53095921Z,01JTS6X5SE1W8R42F0VHJB0QNJ,2025-05-09T00:37:11.53095921Z,01JTS72GS6TFASVG78DE1QTB8W,2025-05-09T00:37:11.53095921Z,01JTS77Y3RWZJNVSAARFSBXX1V,2025-05-09T00:37:11.53095921Z,01JTS77YBQT9QTV1YMZRY55WH9,2025-05-09T00:37:11.53095921Z,true,2025-05-09T00:37:16.59447455Z
01JTS7W1SZMCERZRQCYRC4XFRK,01JTS6X5RWMM0FMJD7Q4YV16ZJ,2025-05-09T00:42:06.015404079Z,01JTS6X5SE1W8R42F0VHJB0QNJ,2025-05-09T00:42:06.015404079Z,01JTS775VFZV8FXSFZ7DV9VMWE,2025-05-09T00:42:06.015404079Z,01JTS77Y43WZB0JMY13MBGNB5G,2025-05-09T00:42:06.015404079Z,01JTS77YGC7097F8MX8BBJ5R7R,2025-05-09T00:42:06.015404079Z,true,2025-05-09T00:42:16.117037488Z
01JTS7WQ7FDVTW3563ETR781PG,01JTS6X5RWMM0FMJD7Q4YV16ZJ,2025-05-09T00:42:27.951188934Z,01JTS6X5SE1W8R42F0VHJB0QNJ,2025-05-09T00:42:27.951188934Z,01JTS723YPMA1SJWJ0VCR99JZB,2025-05-09T00:42:27.951188934Z,01JTS77Y42EAD6K4PX7YXX6BED,2025-05-09T00:42:27.951188934Z,01JTS77YGK2AA9MJDK7HEMX087,2025-05-09T00:42:27.951188934Z,true,2025-05-09T00:42:32.21499779Z
01JTS79HE6Z5QJHANMEJDX8CZT,01JTS6X5RWMM0FMJD7Q4YV16ZJ,2025-05-09T00:31:59.430020557Z,01JTS6X5SE1W8R42F0VHJB0QNJ,2025-05-09T00:31:59.430020557Z,01JTS74MAY1BSBNTKEG1YWCNA5,2025-05-09T00:31:59.430020557Z,01JTS77Y369CE85A1TT0S65GJP,2025-05-09T00:31:59.430020557Z,01JTS77Y6CGME1C71KD0Y72N73,2025-05-09T00:31:59.430020557Z,true,2025-05-09T00:32:07.382154379Z
01JTS7E3TN25TVNNY6ZDD20TTD,01JTS6X5RWMM0FMJD7Q4YV16ZJ,2025-05-09T00:34:29.333542527Z,01JTS6X5SE1W8R42F0VHJB0QNJ,2025-05-09T00:34:29.333542527Z,01JTS775VFZV8FXSFZ7DV9VMWE,2025-05-09T00:34:29.333542527Z,01JTS77Y3XCPHYNDHSBM4XRDQD,2025-05-09T00:34:29.333542527Z,01JTS77Y8JE5JDFEHMV7Z0AM9N,2025-05-09T00:34:29.333542527Z,true,2025-05-09T00:34:33.082761129Z
01JTS7HMCEKS491DRR2KN17AY1,01JTS6X5RWMM0FMJD7Q4YV16ZJ,2025-05-09T00:36:24.590973253Z,01JTS6X5SE1W8R42F0VHJB0QNJ,2025-05-09T00:36:24.590973253Z,01JTS6ZE18EA1XGE24MH4XDNY6,2025-05-09T00:36:24.590973253Z,01JTS77Y3T0AWA7WP66037EHBB,2025-05-09T00:36:24.590973253Z,01JTS77YAQ1FDCS7G8X6ZASMHC,2025-05-09T00:36:24.590973253Z,true,2025-05-09T00:36:28.414161602Z
01JTS7HT7F0D75HVJHRG5Q5FWA,01JTS6X5RWMM0FMJD7Q4YV16ZJ,2025-05-09T00:36:30.57563825Z,01JTS6X5SE1W8R42F0VHJB0QNJ,2025-05-09T00:36:30.57563825Z,01JTS74MAY1BSBNTKEG1YWCNA5,2025-05-09T00:36:30.57563825Z,01JTS77Y4CMXQ1TJV03H28N5V3,2025-05-09T00:36:30.57563825Z,01JTS77YB0C8MZ7M7DY0C7HA4R,2025-05-09T00:36:30.57563825Z,true,2025-05-09T00:36:33.19229053Z
01JTS7MEDM72EPR807TEDMC6HE,01JTS6X5RWMM0FMJD7Q4YV16ZJ,2025-05-09T00:37:56.788052222Z,01JTS6X5SE1W8R42F0VHJB0QNJ,2025-05-09T00:37:56.788052222Z,01JTS775VFZV8FXSFZ7DV9VMWE,2025-05-09T00:37:56.788052222Z,01JTS77Y3ZTX7Y6BVZH8YQ57WF,2025-05-09T00:37:56.788052222Z,01JTS77YCKQ1XYKVMYX06DJ0AF,2025-05-09T00:37:56.788052222Z,true,2025-05-09T00:37:58.736925841Z
01JTS7MTEQS77W38G3WBNAG610,01JTS6X5RWMM0FMJD7Q4YV16ZJ,2025-05-09T00:38:09.111964403Z,01JTS6X5SE1W8R42F0VHJB0QNJ,2025-05-09T00:38:09.111964403Z,01JTS6YPD6RY5G40K4WRD8WMTP,2025-05-09T00:38:09.111964403Z,01JTS77Y42EAD6K4PX9K77585A,2025-05-09T00:38:09.111964403Z,01JTS77YCT48DQERQBEHV0Y76S,2025-05-09T00:38:09.111964403Z,true,2025-05-09T00:38:10.64707429Z
01JTS82MKQ71J3VJHWA65QR20B,01JTS6X5RWMM0FMJD7Q4YV16ZJ,2025-05-09T00:45:41.879500145Z,01JTS6X5SE1W8R42F0VHJB0QNJ,2025-05-09T00:45:41.879500145Z,01JTS706D1B7MT98G3AS4XGXGA,2025-05-09T00:45:41.879500145Z,01JTS77Y43WZB0JMY14X0JW5V4,2025-05-09T00:45:41.879500145Z,01JTS77YM5HVPKF39JS87BP4Q6,2025-05-09T00:45:41.879500145Z,true,2025-05-09T00:45:51.802992778Z
01JTS79HE434KMKNQPTX034AWZ,01JTS6X5RWMM0FMJD7Q4YV16ZJ,2025-05-09T00:31:59.428904385Z,01JTS6X5SE1W8R42F0VHJB0QNJ,2025-05-09T00:31:59.428904385Z,01JTS6Z36TH1E3M89RSZA5MMFJ,2025-05-09T00:31:59.428904385Z,01JTS77Y369CE85A1TT0S65GJP,2025-05-09T00:31:59.428904385Z,01JTS77Y6CGME1C71KD0Y72N73,2025-05-09T00:31:59.428904385Z,true,2025-05-09T00:32:04.969268441Z
01JTS7AFSY820VMKC889CZ147T,01JTS6X5RWMM0FMJD7Q4YV16ZJ,2025-05-09T00:32:30.526290605Z,01JTS6X5SE1W8R42F0VHJB0QNJ,2025-05-09T00:32:30.526290605Z,01JTS706D1B7MT98G3AS4XGXGA,2025-05-09T00:32:30.526290605Z,01JTS77Y3KKQNXKZDT679W4FFV,2025-05-09T00:32:30.526290605Z,01JTS77Y6MPAG2TF6G60CXT3X0,2025-05-09T00:32:30.526290605Z,true,2025-05-09T00:32:49.160997243Z
01JTS7DC0XMQDPEQC698KTHX7A,01JTS6X5RWMM0FMJD7Q4YV16ZJ,2025-05-09T00:34:04.957463427Z,01JTS6X5SE1W8R42F0VHJB0QNJ,2025-05-09T00:34:04.957463427Z,01JTS6YPD6RY5G40K4WRD8WMTP,2025-05-09T00:34:04.957463427Z,01JTS77Y3MGEFWXSP81T3Y9DQR,2025-05-09T00:34:04.957463427Z,01JTS77Y7ZF828R629MR9DFT90,2025-05-09T00:34:04.957463427Z,true,2025-05-09T00:34:07.089526589Z
01JTS7KMY3FFA80D8SFF95MGMP,01JTS6X5RWMM0FMJD7Q4YV16ZJ,2025-05-09T00:37:30.692018207Z,01JTS6X5SE1W8R42F0VHJB0QNJ,2025-05-09T00:37:30.692018207Z,01JTS6ZE18EA1XGE24MH4XDNY6,2025-05-09T00:37:30.692018207Z,01JTS77Y3YSW6FF5CH4MMHZ89S,2025-05-09T00:37:30.692018207Z,01JTS77YC0TGBBMJT9XECSSX40,2025-05-09T00:37:30.692018207Z,true,2025-05-09T00:37:34.042503491Z
01JTS7M13KT6KC0E6HPDRZQ5JJ,01JTS6X5RWMM0FMJD7Q4YV16ZJ,2025-05-09T00:37:43.155573413Z,01JTS6X5SE1W8R42F0VHJB0QNJ,2025-05-09T00:37:43.155573413Z,01JTS74MAY1BSBNTKEG1YWCNA5,2025-05-09T00:37:43.155573413Z,01JTS77Y3ZTX7Y6BVZGGQY368J,2025-05-09T00:37:43.155573413Z,01JTS77YCB7MY41CQZX5WY9HSG,2025-05-09T00:37:43.155573413Z,true,2025-05-09T00:37:54.064757736Z
01JTS7C2ZE7X3F3E3Z1ASJMNAH,01JTS6X5RWMM0FMJD7Q4YV16ZJ,2025-05-09T00:33:22.926138314Z,01JTS6X5SE1W8R42F0VHJB0QNJ,2025-05-09T00:33:22.926138314Z,01JTS74MAY1BSBNTKEG1YWCNA5,2025-05-09T00:33:22.926138314Z,01JTS77Y3MGEFWXSP8144B0NHX,2025-05-09T00:33:22.926138314Z,01JTS77Y74Q006Z5KAXCBAM1Y8,2025-05-09T00:33:22.926138314Z,true,2025-05-09T00:33:31.370528817Z
01JTS7GYKZ5DDZ8M553MWATMPK,01JTS6X5RWMM0FMJD7Q4YV16ZJ,2025-05-09T00:36:02.303885662Z,01JTS6X5SE1W8R42F0VHJB0QNJ,2025-05-09T00:36:02.303885662Z,01JTS71B3YE0PC1DH5XFQ1G4X6,2025-05-09T00:36:02.303885662Z,01JTS77Y3W0C2EKE75YTEAAKGW,2025-05-09T00:36:02.303885662Z,01JTS77YA7YS8HPYM8PPBWYY6G,2025-05-09T00:36:02.303885662Z,true,2025-05-09T00:36:04.472076493Z
01JTS7FFHHS597HW1XDPMAVEAS,01JTS6X5RWMM0FMJD7Q4YV16ZJ,2025-05-09T00:35:14.097526774Z,01JTS6X5SE1W8R42F0VHJB0QNJ,2025-05-09T00:35:14.097526774Z,01JTS6ZE18EA1XGE24MH4XDNY6,2025-05-09T00:35:14.097526774Z,01JTS77Y3YSW6FF5CH5341NVFR,2025-05-09T00:35:14.097526774Z,01JTS77Y9EQEKZ9T30SQXNE7JR,2025-05-09T00:35:14.097526774Z,true,2025-05-09T00:35:22.554022059Z
