id,batchID,batchIDLastChangedAt,duration,durationLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,initialized,initializedLastChangedAt,name,nameLastChangedAt,roundID,roundIDLastChangedAt,start,startLastChangedAt,started,startedLastChangedAt,timerID,timerIDLastChangedAt
01JTS77Y7QJNFDT40V2M4SHSAB,01JTS6X5RWMM0FMJD7Q4YV16ZJ,2025-05-09T00:31:06.999415571Z,30,2025-05-09T00:31:06.999415571Z,true,2025-05-09T00:34:04.830713537Z,01JTS6X5SE1W8R42F0VHJB0QNJ,2025-05-09T00:31:06.999415571Z,0,2025-05-09T00:31:06.999415571Z,true,2025-05-09T00:33:51.370777987Z,choice,2025-05-09T00:31:06.999415571Z,01JTS77Y3W0C2EKE75Z7YHBC86,2025-05-09T00:31:06.999415571Z,true,2025-05-09T00:33:51.316007218Z,true,2025-05-09T00:33:51.389353429Z,01JTS77Y7M5CKK8BJ7344RPDP7,2025-05-09T00:31:06.999415571Z
01JTS77Y7ZF828R629MR9DFT90,01JTS6X5RWMM0FMJD7Q4YV16ZJ,2025-05-09T00:31:07.007229281Z,30,2025-05-09T00:31:07.007229281Z,true,2025-05-09T00:34:14.900460068Z,01JTS6X5SE1W8R42F0VHJB0QNJ,2025-05-09T00:31:07.007229281Z,0,2025-05-09T00:31:07.007229281Z,true,2025-05-09T00:34:04.968012564Z,choice,2025-05-09T00:31:07.007229281Z,01JTS77Y3MGEFWXSP81T3Y9DQR,2025-05-09T00:31:07.007229281Z,true,2025-05-09T00:34:04.920129441Z,true,2025-05-09T00:34:04.981912783Z,01JTS77Y7W3SD57M7MDT8QMFGM,2025-05-09T00:31:07.007229281Z
01JTS77Y9Z7CZ4KAX33VDXGXSW,01JTS6X5RWMM0FMJD7Q4YV16ZJ,2025-05-09T00:31:07.071622906Z,30,2025-05-09T00:31:07.071622906Z,true,2025-05-09T00:36:02.134580522Z,01JTS6X5SE1W8R42F0VHJB0QNJ,2025-05-09T00:31:07.071622906Z,0,2025-05-09T00:31:07.071622906Z,true,2025-05-09T00:35:49.524768955Z,choice,2025-05-09T00:31:07.071622906Z,01JTS77Y42EAD6K4PX9036A2TP,2025-05-09T00:31:07.071622906Z,true,2025-05-09T00:35:49.466610972Z,true,2025-05-09T00:35:49.551799547Z,01JTS77Y9XAWYF9VSSX6J6QVQ0,2025-05-09T00:31:07.071622906Z
01JTS77YF0VDAY3DAJGBGYD0YH,01JTS6X5RWMM0FMJD7Q4YV16ZJ,2025-05-09T00:31:07.23249071Z,30,2025-05-09T00:31:07.23249071Z,true,2025-05-09T00:40:46.28478993Z,01JTS6X5SE1W8R42F0VHJB0QNJ,2025-05-09T00:31:07.23249071Z,0,2025-05-09T00:31:07.23249071Z,true,2025-05-09T00:40:23.113412741Z,choice,2025-05-09T00:31:07.23249071Z,01JTS77Y3SJXR652KX4N32BWRM,2025-05-09T00:31:07.23249071Z,true,2025-05-09T00:40:23.037179005Z,true,2025-05-09T00:40:23.134467924Z,01JTS77YEXNENBRA0MW439B0KW,2025-05-09T00:31:07.23249071Z
01JTS77YK1E7TWQAZT2RTHJXMD,01JTS6X5RWMM0FMJD7Q4YV16ZJ,2025-05-09T00:31:07.361933923Z,30,2025-05-09T00:31:07.361933923Z,true,2025-05-09T00:45:02.374465259Z,01JTS6X5SE1W8R42F0VHJB0QNJ,2025-05-09T00:31:07.361933923Z,0,2025-05-09T00:31:07.361933923Z,true,2025-05-09T00:44:47.885594513Z,choice,2025-05-09T00:31:07.361933923Z,01JTS77Y4EYGGZQGAZ4GG77VWP,2025-05-09T00:31:07.361933923Z,true,2025-05-09T00:44:47.822937949Z,true,2025-05-09T00:44:47.911641565Z,01JTS77YJZ5CTR08D0Y72PR86F,2025-05-09T00:31:07.361933923Z
01JTS77Y6CGME1C71KD0Y72N73,01JTS6X5RWMM0FMJD7Q4YV16ZJ,2025-05-09T00:31:06.95638107Z,60,2025-05-09T00:31:06.95638107Z,true,2025-05-09T00:32:30.37127386Z,01JTS6X5SE1W8R42F0VHJB0QNJ,2025-05-09T00:31:06.95638107Z,0,2025-05-09T00:31:06.95638107Z,true,2025-05-09T00:31:59.437357137Z,choice,2025-05-09T00:31:06.95638107Z,01JTS77Y369CE85A1TT0S65GJP,2025-05-09T00:31:06.95638107Z,true,2025-05-09T00:31:59.399910525Z,true,2025-05-09T00:31:59.451751375Z,01JTS77Y6A45BJJ90798WPQWD5,2025-05-09T00:31:06.95638107Z
01JTS77Y74Q006Z5KAXCBAM1Y8,01JTS6X5RWMM0FMJD7Q4YV16ZJ,2025-05-09T00:31:06.980508503Z,30,2025-05-09T00:31:06.980508503Z,true,2025-05-09T00:33:36.933471788Z,01JTS6X5SE1W8R42F0VHJB0QNJ,2025-05-09T00:31:06.980508503Z,0,2025-05-09T00:31:06.980508503Z,true,2025-05-09T00:33:22.935835849Z,choice,2025-05-09T00:31:06.980508503Z,01JTS77Y3MGEFWXSP8144B0NHX,2025-05-09T00:31:06.980508503Z,true,2025-05-09T00:33:22.88062091Z,true,2025-05-09T00:33:22.95017426Z,01JTS77Y717NMK36D5PQVFPQGP,2025-05-09T00:31:06.980508503Z
01JTS77Y88TF60JF14GSAKP5P0,01JTS6X5RWMM0FMJD7Q4YV16ZJ,2025-05-09T00:31:07.017022644Z,30,2025-05-09T00:31:07.017022644Z,true,2025-05-09T00:34:29.216751272Z,01JTS6X5SE1W8R42F0VHJB0QNJ,2025-05-09T00:31:07.017022644Z,0,2025-05-09T00:31:07.017022644Z,true,2025-05-09T00:34:15.069280971Z,choice,2025-05-09T00:31:07.017022644Z,01JTS77Y3Q6QCTZ8WB4MKS8ZHB,2025-05-09T00:31:07.017022644Z,true,2025-05-09T00:34:15.002535132Z,true,2025-05-09T00:34:15.079415148Z,01JTS77Y84JKVQD2557TEH68QH,2025-05-09T00:31:07.017022644Z
01JTS77YCT48DQERQBEHV0Y76S,01JTS6X5RWMM0FMJD7Q4YV16ZJ,2025-05-09T00:31:07.162894268Z,30,2025-05-09T00:31:07.162894268Z,true,2025-05-09T00:38:17.202729883Z,01JTS6X5SE1W8R42F0VHJB0QNJ,2025-05-09T00:31:07.162894268Z,0,2025-05-09T00:31:07.162894268Z,true,2025-05-09T00:38:09.12441264Z,choice,2025-05-09T00:31:07.162894268Z,01JTS77Y42EAD6K4PX9K77585A,2025-05-09T00:31:07.162894268Z,true,2025-05-09T00:38:09.069076696Z,true,2025-05-09T00:38:09.141140676Z,01JTS77YCR1HVTBDBNXW7XN8JD,2025-05-09T00:31:07.162894268Z
01JTS77YDAWYVZ8FVPHNDB38K0,01JTS6X5RWMM0FMJD7Q4YV16ZJ,2025-05-09T00:31:07.178398734Z,30,2025-05-09T00:31:07.178398734Z,true,2025-05-09T00:38:40.923219467Z,01JTS6X5SE1W8R42F0VHJB0QNJ,2025-05-09T00:31:07.178398734Z,0,2025-05-09T00:31:07.178398734Z,true,2025-05-09T00:38:33.81549011Z,choice,2025-05-09T00:31:07.178398734Z,01JTS77Y3RWZJNVSAAS4HJZGMC,2025-05-09T00:31:07.178398734Z,true,2025-05-09T00:38:33.760897659Z,true,2025-05-09T00:38:33.837757162Z,01JTS77YD7SK5Q12068Z6KVCBS,2025-05-09T00:31:07.178398734Z
