Round,Choice,Reward,Last Choice,Last Reward,Majority Choice Prev,Cumulative Best Choices,Judgment,Pattern,Strategy
0,,,,,,,N/A,N/A,N/A+N/A
1,Bright Green,1.0,,,,,Contrarian,Switch-After-Win,Contrarian+Switch-After-Win
2,Bright Green,1.0,Bright Green,1.0,Crimson,"Sky Blue, Pink, Black, Amber, Indigo, Purple, Bright Green, Orange, Slate, Crimson",Social-Exploit,Win-Stay,Social-Exploit+Win-Stay
3,Amber,1.0,Bright Green,1.0,Orange,"Orange, Purple",Contrarian,Switch-After-Win,Contrarian+Switch-After-Win
4,Amber,1.0,Amber,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
5,Orange,1.0,Amber,1.0,Purple,Purple,Contrarian,Switch-After-Win,Contrarian+Switch-After-Win
6,Orange,1.0,Orange,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
7,Orange,1.0,Orange,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
8,Orange,1.0,Orange,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
9,Orange,1.0,Orange,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
10,Orange,1.0,Orange,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
11,Orange,0.0,Orange,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
12,Orange,1.0,Orange,0.0,Purple,Purple,Contrarian,Lose-Stay,Contrarian+Lose-Stay
13,Orange,1.0,Orange,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
14,Orange,1.0,Orange,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
15,Orange,1.0,Orange,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
16,Orange,0.0,Orange,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
17,Orange,1.0,Orange,0.0,Purple,Purple,Contrarian,Lose-Stay,Contrarian+Lose-Stay
18,Orange,0.0,Orange,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
19,Orange,1.0,Orange,0.0,Purple,Purple,Contrarian,Lose-Stay,Contrarian+Lose-Stay
20,Orange,1.0,Orange,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
21,Orange,1.0,Orange,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
22,Orange,1.0,Orange,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
23,Orange,1.0,Orange,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
24,Orange,1.0,Orange,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
25,Orange,1.0,Orange,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
26,Orange,1.0,Orange,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
27,Orange,1.0,Orange,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
28,Orange,1.0,Orange,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
29,Orange,1.0,Orange,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
30,Orange,0.0,Orange,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
31,Orange,1.0,Orange,0.0,Purple,Purple,Contrarian,Lose-Stay,Contrarian+Lose-Stay
32,Orange,1.0,Orange,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
33,Orange,1.0,Orange,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
34,Orange,1.0,Orange,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
35,Purple,1.0,Orange,1.0,Purple,Purple,Majority-Biased,Switch-After-Win,Majority-Biased+Switch-After-Win
36,Orange,1.0,Purple,1.0,Purple,Purple,Contrarian,Switch-After-Win,Contrarian+Switch-After-Win
37,Orange,1.0,Orange,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
38,Orange,1.0,Orange,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
39,Orange,1.0,Orange,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
40,Orange,1.0,Orange,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
41,Orange,1.0,Orange,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
42,Orange,1.0,Orange,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
43,Orange,1.0,Orange,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
44,Orange,1.0,Orange,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
45,Orange,1.0,Orange,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
46,Orange,1.0,Orange,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
47,Orange,1.0,Orange,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
48,Orange,1.0,Orange,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
49,Orange,1.0,Orange,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
50,Orange,1.0,Orange,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
51,Orange,1.0,Orange,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
52,,,Orange,1.0,Purple,Purple,N/A,N/A,N/A+N/A
