Round,Choice,Reward,Last Choice,Last Reward,Majority Choice Prev,Cumulative Best Choices,Judgment,Pattern,Strategy
0,,,,,,,N/A,N/A,N/A+N/A
1,Purple,1.0,,,,,Contrarian,Switch-After-Win,Contrarian+Switch-After-Win
2,Sky Blue,1.0,Purple,1.0,Crimson,"Sky Blue, Pink, Black, Amber, Indigo, Purple, Bright Green, Orange, Slate, Crimson",Social-Exploit,Switch-After-Win,Social-Exploit+Switch-After-Win
3,Purple,1.0,Sky Blue,1.0,Orange,"Orange, Purple",Social-Exploit,Switch-After-Win,Social-Exploit+Switch-After-Win
4,Purple,1.0,Purple,1.0,Purple,Purple,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
5,Purple,1.0,Purple,1.0,Purple,Purple,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
6,Purple,1.0,Purple,1.0,Purple,Purple,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
7,Purple,1.0,Purple,1.0,Purple,Purple,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
8,Purple,1.0,Purple,1.0,Purple,Purple,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
9,Purple,1.0,Purple,1.0,Purple,Purple,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
10,Orange,1.0,Purple,1.0,Purple,Purple,Contrarian,Switch-After-Win,Contrarian+Switch-After-Win
11,Orange,1.0,Orange,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
12,Purple,1.0,Orange,1.0,Purple,Purple,Majority-Biased,Switch-After-Win,Majority-Biased+Switch-After-Win
13,Purple,1.0,Purple,1.0,Purple,Purple,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
14,Amber,1.0,Purple,1.0,Purple,Purple,Contrarian,Switch-After-Win,Contrarian+Switch-After-Win
15,Amber,1.0,Amber,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
16,Purple,1.0,Amber,1.0,Purple,Purple,Majority-Biased,Switch-After-Win,Majority-Biased+Switch-After-Win
17,Purple,1.0,Purple,1.0,Purple,Purple,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
18,Purple,1.0,Purple,1.0,Purple,Purple,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
19,Purple,1.0,Purple,1.0,Purple,Purple,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
20,Amber,1.0,Purple,1.0,Purple,Purple,Contrarian,Switch-After-Win,Contrarian+Switch-After-Win
21,Orange,1.0,Amber,1.0,Purple,Purple,Contrarian,Switch-After-Win,Contrarian+Switch-After-Win
22,Purple,1.0,Orange,1.0,Purple,Purple,Majority-Biased,Switch-After-Win,Majority-Biased+Switch-After-Win
23,Amber,0.0,Purple,1.0,Purple,Purple,Contrarian,Switch-After-Win,Contrarian+Switch-After-Win
24,Purple,1.0,Amber,0.0,Purple,Purple,Majority-Biased,Lose-Shift,Majority-Biased+Lose-Shift
25,Purple,1.0,Purple,1.0,Purple,Purple,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
26,Orange,1.0,Purple,1.0,Purple,Purple,Contrarian,Switch-After-Win,Contrarian+Switch-After-Win
27,Orange,1.0,Orange,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
28,Orange,1.0,Orange,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
29,Orange,0.0,Orange,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
30,Pink,1.0,Orange,0.0,Purple,Purple,Contrarian,Lose-Shift,Contrarian+Lose-Shift
31,Pink,1.0,Pink,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
32,Pink,1.0,Pink,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
33,Pink,1.0,Pink,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
34,Pink,1.0,Pink,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
35,Pink,1.0,Pink,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
36,Pink,1.0,Pink,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
37,Pink,1.0,Pink,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
38,Pink,1.0,Pink,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
39,Pink,1.0,Pink,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
40,Pink,1.0,Pink,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
41,Pink,1.0,Pink,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
42,Pink,1.0,Pink,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
43,Pink,1.0,Pink,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
44,Pink,1.0,Pink,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
45,Pink,1.0,Pink,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
46,Pink,1.0,Pink,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
47,Pink,1.0,Pink,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
48,Crimson,1.0,Pink,1.0,Purple,Purple,Contrarian,Switch-After-Win,Contrarian+Switch-After-Win
49,Crimson,1.0,Crimson,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
50,Pink,1.0,Crimson,1.0,Purple,Purple,Contrarian,Switch-After-Win,Contrarian+Switch-After-Win
51,Pink,1.0,Pink,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
52,,,Pink,1.0,Purple,Purple,N/A,N/A,N/A+N/A
