Round,Choice,Reward,Last Choice,Last Reward,Majority Choice Prev,Cumulative Best Choices,Judgment,Pattern,Strategy
0,,,,,,,N/A,N/A,N/A+N/A
1,Pink,1.0,,,,,Contrarian,Switch-After-Win,Contrarian+Switch-After-Win
2,Indigo,1.0,Pink,1.0,Crimson,"Sky Blue, Pink, Black, Amber, Indigo, Purple, Bright Green, Orange, Slate, Crimson",Social-Exploit,Switch-After-Win,Social-Exploit+Switch-After-Win
3,Orange,1.0,Indigo,1.0,Orange,"Orange, Purple",Majority-Biased,Switch-After-Win,Majority-Biased+Switch-After-Win
4,Purple,1.0,Orange,1.0,Purple,Purple,Majority-Biased,Switch-After-Win,Majority-Biased+Switch-After-Win
5,Purple,1.0,Purple,1.0,Purple,Purple,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
6,Purple,1.0,Purple,1.0,Purple,Purple,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
7,Purple,1.0,Purple,1.0,Purple,Purple,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
8,Purple,1.0,Purple,1.0,Purple,Purple,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
9,Purple,1.0,Purple,1.0,Purple,Purple,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
10,Purple,1.0,Purple,1.0,Purple,Purple,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
11,Purple,1.0,Purple,1.0,Purple,Purple,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
12,Purple,1.0,Purple,1.0,Purple,Purple,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
13,Purple,0.0,Purple,1.0,Purple,Purple,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
14,Purple,1.0,Purple,0.0,Purple,Purple,Majority-Biased,Lose-Stay,Majority-Biased+Lose-Stay
15,Purple,1.0,Purple,1.0,Purple,Purple,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
16,Purple,1.0,Purple,1.0,Purple,Purple,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
17,Purple,1.0,Purple,1.0,Purple,Purple,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
18,Purple,1.0,Purple,1.0,Purple,Purple,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
19,Purple,1.0,Purple,1.0,Purple,Purple,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
20,Purple,1.0,Purple,1.0,Purple,Purple,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
21,Purple,1.0,Purple,1.0,Purple,Purple,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
22,Purple,1.0,Purple,1.0,Purple,Purple,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
23,Purple,1.0,Purple,1.0,Purple,Purple,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
24,Purple,0.0,Purple,1.0,Purple,Purple,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
25,Purple,0.0,Purple,0.0,Purple,Purple,Majority-Biased,Lose-Stay,Majority-Biased+Lose-Stay
26,Purple,1.0,Purple,0.0,Purple,Purple,Majority-Biased,Lose-Stay,Majority-Biased+Lose-Stay
27,Purple,1.0,Purple,1.0,Purple,Purple,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
28,Purple,1.0,Purple,1.0,Purple,Purple,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
29,Purple,1.0,Purple,1.0,Purple,Purple,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
30,Purple,1.0,Purple,1.0,Purple,Purple,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
31,Purple,1.0,Purple,1.0,Purple,Purple,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
32,Purple,1.0,Purple,1.0,Purple,Purple,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
33,Purple,0.0,Purple,1.0,Purple,Purple,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
34,Purple,1.0,Purple,0.0,Purple,Purple,Majority-Biased,Lose-Stay,Majority-Biased+Lose-Stay
35,Purple,0.0,Purple,1.0,Purple,Purple,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
36,Purple,1.0,Purple,0.0,Purple,Purple,Majority-Biased,Lose-Stay,Majority-Biased+Lose-Stay
37,Purple,1.0,Purple,1.0,Purple,Purple,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
38,Purple,1.0,Purple,1.0,Purple,Purple,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
39,Purple,1.0,Purple,1.0,Purple,Purple,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
40,Purple,1.0,Purple,1.0,Purple,Purple,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
41,Purple,0.0,Purple,1.0,Purple,Purple,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
42,Purple,1.0,Purple,0.0,Purple,Purple,Majority-Biased,Lose-Stay,Majority-Biased+Lose-Stay
43,Purple,1.0,Purple,1.0,Purple,Purple,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
44,Purple,1.0,Purple,1.0,Purple,Purple,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
45,Purple,1.0,Purple,1.0,Purple,Purple,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
46,Purple,0.0,Purple,1.0,Purple,Purple,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
47,Purple,0.0,Purple,0.0,Purple,Purple,Majority-Biased,Lose-Stay,Majority-Biased+Lose-Stay
48,Purple,0.0,Purple,0.0,Purple,Purple,Majority-Biased,Lose-Stay,Majority-Biased+Lose-Stay
49,Purple,0.0,Purple,0.0,Purple,Purple,Majority-Biased,Lose-Stay,Majority-Biased+Lose-Stay
50,Purple,0.0,Purple,0.0,Purple,Purple,Majority-Biased,Lose-Stay,Majority-Biased+Lose-Stay
51,Purple,1.0,Purple,0.0,Purple,Purple,Majority-Biased,Lose-Stay,Majority-Biased+Lose-Stay
52,,,Purple,1.0,Purple,Purple,N/A,N/A,N/A+N/A
