Round,Choice,Reward,Last Choice,Last Reward,Majority Choice Prev,Cumulative Best Choices,Judgment,Pattern,Strategy
0,,,,,,,N/A,N/A,N/A+N/A
1,Indigo,1.0,,,,,Contrarian,Switch-After-Win,Contrarian+Switch-After-Win
2,Orange,1.0,Indigo,1.0,Crimson,"Sky Blue, Pink, Black, Amber, Indigo, Purple, Bright Green, Orange, Slate, Crimson",Social-Exploit,Switch-After-Win,Social-Exploit+Switch-After-Win
3,Purple,1.0,Orange,1.0,Orange,"Orange, Purple",Social-Exploit,Switch-After-Win,Social-Exploit+Switch-After-Win
4,Purple,1.0,Purple,1.0,Purple,Purple,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
5,Purple,1.0,Purple,1.0,Purple,Purple,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
6,Purple,1.0,Purple,1.0,Purple,Purple,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
7,Orange,1.0,Purple,1.0,Purple,Purple,Contrarian,Switch-After-Win,Contrarian+Switch-After-Win
8,Orange,1.0,Orange,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
9,Orange,1.0,Orange,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
10,Orange,1.0,Orange,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
11,Orange,1.0,Orange,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
12,Orange,1.0,Orange,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
13,Orange,0.0,Orange,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
14,Orange,1.0,Orange,0.0,Purple,Purple,Contrarian,Lose-Stay,Contrarian+Lose-Stay
15,Orange,1.0,Orange,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
16,Orange,1.0,Orange,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
17,Amber,1.0,Orange,1.0,Purple,Purple,Contrarian,Switch-After-Win,Contrarian+Switch-After-Win
18,Amber,1.0,Amber,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
19,Amber,1.0,Amber,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
20,Amber,1.0,Amber,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
21,Amber,1.0,Amber,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
22,Amber,1.0,Amber,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
23,Amber,1.0,Amber,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
24,Pink,1.0,Amber,1.0,Purple,Purple,Contrarian,Switch-After-Win,Contrarian+Switch-After-Win
25,Pink,1.0,Pink,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
26,Purple,0.0,Pink,1.0,Purple,Purple,Majority-Biased,Switch-After-Win,Majority-Biased+Switch-After-Win
27,Pink,1.0,Purple,0.0,Purple,Purple,Contrarian,Lose-Shift,Contrarian+Lose-Shift
28,Pink,1.0,Pink,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
29,Pink,1.0,Pink,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
30,Pink,1.0,Pink,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
31,Pink,1.0,Pink,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
32,Pink,1.0,Pink,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
33,Pink,1.0,Pink,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
34,Pink,1.0,Pink,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
35,Pink,1.0,Pink,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
36,Crimson,1.0,Pink,1.0,Purple,Purple,Contrarian,Switch-After-Win,Contrarian+Switch-After-Win
37,Black,1.0,Crimson,1.0,Purple,Purple,Contrarian,Switch-After-Win,Contrarian+Switch-After-Win
38,Black,1.0,Black,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
39,Crimson,1.0,Black,1.0,Purple,Purple,Contrarian,Switch-After-Win,Contrarian+Switch-After-Win
40,Crimson,1.0,Crimson,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
41,Crimson,1.0,Crimson,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
42,Crimson,1.0,Crimson,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
43,Crimson,1.0,Crimson,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
44,Crimson,1.0,Crimson,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
45,Crimson,1.0,Crimson,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
46,Crimson,1.0,Crimson,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
47,Crimson,1.0,Crimson,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
48,Crimson,1.0,Crimson,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
49,Crimson,1.0,Crimson,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
