Round,Choice,Reward,Last Choice,Last Reward,Majority Choice Prev,Cumulative Best Choices,Judgment,Pattern,Strategy
0,,,,,,,N/A,N/A,N/A+N/A
1,Black,1.0,,,,,Contrarian,Switch-After-Win,Contrarian+Switch-After-Win
2,Purple,1.0,Black,1.0,Crimson,"Sky Blue, Pink, Black, Amber, Indigo, Purple, Bright Green, Orange, Slate, Crimson",Social-Exploit,Switch-After-Win,Social-Exploit+Switch-After-Win
3,Purple,1.0,Purple,1.0,Orange,"Orange, Purple",Social-Exploit,Win-Stay,Social-Exploit+Win-Stay
4,Purple,1.0,Purple,1.0,Purple,Purple,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
5,Purple,0.0,Purple,1.0,Purple,Purple,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
6,Purple,1.0,Purple,0.0,Purple,Purple,Majority-Biased,Lose-Stay,Majority-Biased+Lose-Stay
7,Orange,1.0,Purple,1.0,Purple,Purple,Contrarian,Switch-After-Win,Contrarian+Switch-After-Win
8,Orange,1.0,Orange,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
9,Orange,1.0,Orange,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
10,Orange,1.0,Orange,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
11,Orange,1.0,Orange,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
12,Orange,1.0,Orange,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
13,Orange,1.0,Orange,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
14,Orange,1.0,Orange,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
15,Orange,1.0,Orange,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
16,Orange,1.0,Orange,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
17,Orange,1.0,Orange,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
18,Purple,1.0,Orange,1.0,Purple,Purple,Majority-Biased,Switch-After-Win,Majority-Biased+Switch-After-Win
19,Amber,1.0,Purple,1.0,Purple,Purple,Contrarian,Switch-After-Win,Contrarian+Switch-After-Win
20,Amber,1.0,Amber,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
21,Amber,1.0,Amber,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
22,Amber,1.0,Amber,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
23,Amber,0.0,Amber,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
24,Purple,1.0,Amber,0.0,Purple,Purple,Majority-Biased,Lose-Shift,Majority-Biased+Lose-Shift
25,Purple,1.0,Purple,1.0,Purple,Purple,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
26,Orange,1.0,Purple,1.0,Purple,Purple,Contrarian,Switch-After-Win,Contrarian+Switch-After-Win
27,Orange,1.0,Orange,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
28,Orange,1.0,Orange,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
29,Orange,1.0,Orange,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
30,Orange,1.0,Orange,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
31,Pink,1.0,Orange,1.0,Purple,Purple,Contrarian,Switch-After-Win,Contrarian+Switch-After-Win
32,Pink,1.0,Pink,1.0,Purple,Purple,Contrarian,Win-Stay,Contrarian+Win-Stay
