Round,Average Entropy
1,0.0
2,0.6
3,1.0264662506490407
4,1.174511249783653
5,1.181537094714285
6,1.1208213101884177
7,1.182374836888255
8,1.145365983879445
9,1.0985956633877396
10,1.095736032027785
11,1.069576765258918
12,1.0439948653783429
13,1.0138962831002734
14,1.0443765589518101
15,1.0323201262555224
16,1.001419332145741
17,0.9960402768439026
18,0.9851788434257456
19,0.9919469842477386
20,0.9983117134201503
21,1.0108710503564935
22,1.0058949551950058
23,1.006952534440805
24,1.0136101567001607
25,1.006125586098518
26,0.9995933179648547
27,0.9952283787083746
28,0.9939629844603095
29,0.9900960288875551
30,0.9988689307521899
31,1.0141041976296266
32,1.0193600433475485
33,1.0201997634540247
34,1.0182217044099595
35,1.032494195863601
36,1.0405566459209217
37,1.0471676718104537
38,1.0512007394630154
39,1.0540784393999159
40,1.0541241310738239
41,1.052287471099002
42,1.0490795510033784
43,1.044831006565924
44,1.038192063828283
45,1.032753136038544
46,1.0267916569418272
47,1.0204162390040135
48,1.0254889036595078
49,1.0258981807441203
50,1.017996145264993
51,1.0107460196024185
