Round,Choice,Reward,Last Choice,Last Reward,Majority Choice Prev,Cumulative Best Choices,Judgment,Pattern,Strategy
0,,,,,,,N/A,N/A,N/A+N/A
1,Crimson,0.0,,,,,Contrarian,Switch-After-Win,Contrarian+Switch-After-Win
2,Purple,1.0,Crimson,0.0,Crimson,"Pink, Amber, Purple, Bright Green, Slate",Social-Exploit,Lose-Shift,Social-Exploit+Lose-Shift
3,Slate,1.0,Purple,1.0,Bright Green,Bright Green,Contrarian,Switch-After-Win,Contrarian+Switch-After-Win
4,Bright Green,1.0,Slate,1.0,Bright Green,Bright Green,Majority-Biased,Switch-After-Win,Majority-Biased+Switch-After-Win
5,Bright Green,1.0,Bright Green,1.0,Bright Green,Bright Green,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
6,Purple,1.0,Bright Green,1.0,Bright Green,Bright Green,Contrarian,Switch-After-Win,Contrarian+Switch-After-Win
7,Purple,0.0,Purple,1.0,Bright Green,Bright Green,Contrarian,Win-Stay,Contrarian+Win-Stay
8,Bright Green,1.0,Purple,0.0,Bright Green,Bright Green,Majority-Biased,Lose-Shift,Majority-Biased+Lose-Shift
9,Bright Green,1.0,Bright Green,1.0,Bright Green,Bright Green,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
10,Bright Green,1.0,Bright Green,1.0,Bright Green,Bright Green,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
11,Bright Green,1.0,Bright Green,1.0,Bright Green,Bright Green,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
12,Bright Green,1.0,Bright Green,1.0,Bright Green,Bright Green,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
13,Bright Green,1.0,Bright Green,1.0,Bright Green,Bright Green,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
14,Slate,1.0,Bright Green,1.0,Bright Green,Bright Green,Contrarian,Switch-After-Win,Contrarian+Switch-After-Win
15,Bright Green,1.0,Slate,1.0,Bright Green,Bright Green,Majority-Biased,Switch-After-Win,Majority-Biased+Switch-After-Win
16,Amber,1.0,Bright Green,1.0,Bright Green,Bright Green,Contrarian,Switch-After-Win,Contrarian+Switch-After-Win
17,Amber,1.0,Amber,1.0,Bright Green,Bright Green,Contrarian,Win-Stay,Contrarian+Win-Stay
18,Bright Green,1.0,Amber,1.0,Bright Green,Bright Green,Majority-Biased,Switch-After-Win,Majority-Biased+Switch-After-Win
19,Bright Green,1.0,Bright Green,1.0,Bright Green,Bright Green,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
