Round,Choice,Reward,Last Choice,Last Reward,Majority Choice Prev,Cumulative Best Choices,Judgment,Pattern,Strategy
0,,,,,,,N/A,N/A,N/A+N/A
1,Amber,1.0,,,,,Contrarian,Switch-After-Win,Contrarian+Switch-After-Win
2,Amber,1.0,Amber,1.0,Crimson,"Pink, Amber, Purple, Bright Green, Slate",Social-Exploit,Win-Stay,Social-Exploit+Win-Stay
3,Bright Green,1.0,Amber,1.0,Bright Green,Bright Green,Majority-Biased,Switch-After-Win,Majority-Biased+Switch-After-Win
4,Bright Green,1.0,Bright Green,1.0,Bright Green,Bright Green,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
5,Bright Green,0.0,Bright Green,1.0,Bright Green,Bright Green,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
6,Bright Green,1.0,Bright Green,0.0,Bright Green,Bright Green,Majority-Biased,Lose-Stay,Majority-Biased+Lose-Stay
7,Bright Green,1.0,Bright Green,1.0,Bright Green,Bright Green,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
8,Bright Green,1.0,Bright Green,1.0,Bright Green,Bright Green,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
9,Bright Green,1.0,Bright Green,1.0,Bright Green,Bright Green,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
10,Bright Green,1.0,Bright Green,1.0,Bright Green,Bright Green,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
11,Bright Green,1.0,Bright Green,1.0,Bright Green,Bright Green,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
12,Bright Green,1.0,Bright Green,1.0,Bright Green,Bright Green,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
13,Bright Green,0.0,Bright Green,1.0,Bright Green,Bright Green,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
14,Bright Green,1.0,Bright Green,0.0,Bright Green,Bright Green,Majority-Biased,Lose-Stay,Majority-Biased+Lose-Stay
15,Bright Green,1.0,Bright Green,1.0,Bright Green,Bright Green,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
16,Bright Green,1.0,Bright Green,1.0,Bright Green,Bright Green,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
17,Bright Green,1.0,Bright Green,1.0,Bright Green,Bright Green,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
