participant_id,round,arm,choice,reward,own_success,own_failure,group_success,group_failure,prev_choice,prev_reward,condition
01JVWAAGYJKN322FY871XFT4P5,1,0,7,0.0,0,0,0,0,-1,,asocial
01JVWAAGYJKN322FY871XFT4P5,1,1,7,0.0,0,0,0,0,-1,,asocial
01JVWAAGYJKN322FY871XFT4P5,1,2,7,0.0,0,0,0,0,-1,,asocial
01JVWAAGYJKN322FY871XFT4P5,1,3,7,0.0,0,0,0,0,-1,,asocial
01JVWAAGYJKN322FY871XFT4P5,1,4,7,0.0,0,0,0,0,-1,,asocial
01JVWAAGYJKN322FY871XFT4P5,1,5,7,0.0,0,0,0,0,-1,,asocial
01JVWAAGYJKN322FY871XFT4P5,1,6,7,0.0,0,0,0,0,-1,,asocial
01JVWAAGYJKN322FY871XFT4P5,1,7,7,0.0,0,0,0,0,-1,,asocial
01JVWAAGYJKN322FY871XFT4P5,1,8,7,0.0,0,0,0,0,-1,,asocial
01JVWAAGYJKN322FY871XFT4P5,1,9,7,0.0,0,0,0,0,-1,,asocial
01JVWAAGYJKN322FY871XFT4P5,2,0,3,1.0,0,0,0,1,7,0.0,asocial
01JVWAAGYJKN322FY871XFT4P5,2,1,3,1.0,0,0,1,0,7,0.0,asocial
01JVWAAGYJKN322FY871XFT4P5,2,2,3,1.0,0,0,0,1,7,0.0,asocial
01JVWAAGYJKN322FY871XFT4P5,2,3,3,1.0,0,0,1,0,7,0.0,asocial
01JVWAAGYJKN322FY871XFT4P5,2,4,3,1.0,0,0,1,0,7,0.0,asocial
01JVWAAGYJKN322FY871XFT4P5,2,5,3,1.0,0,0,0,0,7,0.0,asocial
01JVWAAGYJKN322FY871XFT4P5,2,6,3,1.0,0,0,0,1,7,0.0,asocial
01JVWAAGYJKN322FY871XFT4P5,2,7,3,1.0,0,1,0,1,7,0.0,asocial
01JVWAAGYJKN322FY871XFT4P5,2,8,3,1.0,0,0,1,0,7,0.0,asocial
01JVWAAGYJKN322FY871XFT4P5,2,9,3,1.0,0,0,1,0,7,0.0,asocial
01JVWAAGYJKN322FY871XFT4P5,3,0,4,1.0,0,0,0,1,3,1.0,asocial
