Round,Overall Entropy
1,3.169925001442312
2,3.11583409216322
3,2.7017973739903027
4,2.269574767212313
5,2.008597576752823
6,1.8607456596269625
7,1.744687122775898
8,1.6209841457919587
9,1.5677712365037715
10,1.5257793462159697
11,1.4639912906783457
12,1.4330045977939054
13,1.383329848341643
14,1.3863650059844417
15,1.3706950494926204
16,1.382017037420165
17,1.370946595891879
18,1.365405988217178
19,1.3419655121608458
20,1.362794278678116
21,1.404531123538292
22,1.4268641342321764
23,1.4706760896961983
24,1.4911430853608745
25,1.522481303887318
26,1.563587567106883
27,1.6093045141802433
28,1.6153948516979064
29,1.64132369724506
30,1.6725082626855685
31,1.7027867052499246
32,1.7085864863996651
33,1.7336381890202315
34,1.7359207289694156
35,1.7372790370604965
36,1.7378787547099266
37,1.7378533300975463
38,1.7423106340194092
39,1.7457131627024935
40,1.7482256254079371
41,1.7525429579839529
42,1.7679870617929407
43,1.7690368152041587
44,1.7870458864551113
45,1.8025675713460905
46,1.816349351129164
47,1.8388872918708095
48,1.8571692959171733
49,1.8696920713850735
50,1.875332912759945
51,1.8929950791495507
