id,batchID,batchIDLastChangedAt,decision,decisionLastChangedAt,gameID,gameIDLastChangedAt,playerID,playerIDLastChangedAt,roundID,roundIDLastChangedAt,score,scoreLastChangedAt
01JVWAX7VNKTC1HGF0ZNW0BX7S,01JVWA8C75SBC7BPY0GPDA57E7,2025-05-22T15:48:35.829265348Z,Bright Green,2025-05-22T15:48:36.976878187Z,01JVWA8C86S313VBVEP34861GQ,2025-05-22T15:48:35.829265348Z,01JVWAGVB9T8J19FHSW5JR0TDD,2025-05-22T15:48:35.829265348Z,01JVWAMKZFA4HZE8TAVDVG32T6,2025-05-22T15:48:35.829265348Z,1,2025-05-22T15:48:36.996315221Z
01JVWAZ2WN4VC9CV3A1KY64AZA,01JVWA8C75SBC7BPY0GPDA57E7,2025-05-22T15:49:36.277167374Z,Bright Green,2025-05-22T15:49:39.249189039Z,01JVWA8C86S313VBVEP34861GQ,2025-05-22T15:49:36.277167374Z,01JVWAMA8Z9VPZFP2M30N27BZV,2025-05-22T15:49:36.277167374Z,01JVWAMKZY44RAR1CSSR5HWQBJ,2025-05-22T15:49:36.277167374Z,1,2025-05-22T15:49:39.259075549Z
01JVWAZ2WHM0A3CPC2WTVEDYQV,01JVWA8C75SBC7BPY0GPDA57E7,2025-05-22T15:49:36.27326283Z,Bright Green,2025-05-22T15:49:41.250154622Z,01JVWA8C86S313VBVEP34861GQ,2025-05-22T15:49:36.27326283Z,01JVWAD4AE17N7FDMPDT5TBKSJ,2025-05-22T15:49:36.27326283Z,01JVWAMKZY44RAR1CSSR5HWQBJ,2025-05-22T15:49:36.27326283Z,1,2025-05-22T15:49:41.25638179Z
01JVWB23X36908BWC77ZTEBAPM,01JVWA8C75SBC7BPY0GPDA57E7,2025-05-22T15:51:15.619796511Z,Amber,2025-05-22T15:51:27.181949571Z,01JVWA8C86S313VBVEP34861GQ,2025-05-22T15:51:15.619796511Z,01JVWAM7QEYFKF7DG28MSB8K00,2025-05-22T15:51:15.619796511Z,01JVWAMKZM5DRD1VC1DPFWTDME,2025-05-22T15:51:15.619796511Z,1,2025-05-22T15:51:27.180121972Z
01JVWB3FM4014TP34JMK1XGCVJ,01JVWA8C75SBC7BPY0GPDA57E7,2025-05-22T15:52:00.388803257Z,Bright Green,2025-05-22T15:52:08.811973917Z,01JVWA8C86S313VBVEP34861GQ,2025-05-22T15:52:00.388803257Z,01JVWAMA8Z9VPZFP2M30N27BZV,2025-05-22T15:52:00.388803257Z,01JVWAMM0602HA1W73038YQY2V,2025-05-22T15:52:00.388803257Z,0,2025-05-22T15:52:08.821545799Z
01JVWB478HQ9VN8PW2D8NSJ3N7,01JVWA8C75SBC7BPY0GPDA57E7,2025-05-22T15:52:24.593713392Z,Amber,2025-05-22T15:52:36.723051839Z,01JVWA8C86S313VBVEP34861GQ,2025-05-22T15:52:24.593713392Z,01JVWAF5QB4JSPQERTVS3A96TW,2025-05-22T15:52:24.593713392Z,01JVWAMM05GF6350F1SJPECVAX,2025-05-22T15:52:24.593713392Z,1,2025-05-22T15:52:36.728266938Z
01JVWB8TN9DAJZBC6FR6HCW0EC,01JVWA8C75SBC7BPY0GPDA57E7,2025-05-22T15:54:55.529785356Z,Bright Green,2025-05-22T15:54:56.558982155Z,01JVWA8C86S313VBVEP34861GQ,2025-05-22T15:54:55.529785356Z,01JVWAGVB9T8J19FHSW5JR0TDD,2025-05-22T15:54:55.529785356Z,01JVWAMM01E21WHER0DP9GY2SA,2025-05-22T15:54:55.529785356Z,1,2025-05-22T15:54:56.56389022Z
01JVWAMPHSTPPHC87B8KWNCS30,01JVWA8C75SBC7BPY0GPDA57E7,2025-05-22T15:43:55.961174069Z,,,01JVWA8C86S313VBVEP34861GQ,2025-05-22T15:43:55.961174069Z,01JVWAF5QB4JSPQERTVS3A96TW,2025-05-22T15:43:55.961174069Z,01JVWAMKYQW0QZ1CVS398H8WXJ,2025-05-22T15:43:55.961174069Z,,
01JVWAVZYDG7X05W94TBRANZK8,01JVWA8C75SBC7BPY0GPDA57E7,2025-05-22T15:47:54.957039603Z,Bright Green,2025-05-22T15:48:01.970488989Z,01JVWA8C86S313VBVEP34861GQ,2025-05-22T15:47:54.957039603Z,01JVWAFWW1QQM563BYZBSER1AH,2025-05-22T15:47:54.957039603Z,01JVWAMKZS1RST6CYJNT7JAA5B,2025-05-22T15:47:54.957039603Z,1,2025-05-22T15:48:01.97317453Z
01JVWB0ECKEWSZD295HYWWZQ5R,01JVWA8C75SBC7BPY0GPDA57E7,2025-05-22T15:50:20.819528521Z,Bright Green,2025-05-22T15:50:21.880412143Z,01JVWA8C86S313VBVEP34861GQ,2025-05-22T15:50:20.819528521Z,01JVWAGVB9T8J19FHSW5JR0TDD,2025-05-22T15:50:20.819528521Z,01JVWAMKZZMWTZSV7H9FPTBSFE,2025-05-22T15:50:20.819528521Z,0,2025-05-22T15:50:21.878628404Z
01JVWB3WPTPS84G9WCJ8C5YQ93,01JVWA8C75SBC7BPY0GPDA57E7,2025-05-22T15:52:13.786411785Z,Amber,2025-05-22T15:52:24.443801283Z,01JVWA8C86S313VBVEP34861GQ,2025-05-22T15:52:13.786411785Z,01JVWAF5QB4JSPQERTVS3A96TW,2025-05-22T15:52:13.786411785Z,01JVWAMM05GF6350F1T80XN90A,2025-05-22T15:52:13.786411785Z,1,2025-05-22T15:52:24.452023453Z
01JVWAZRWMS0K26MD90E5VWQ3K,01JVWA8C75SBC7BPY0GPDA57E7,2025-05-22T15:49:58.804422231Z,Sky Blue,2025-05-22T15:50:06.5205026Z,01JVWA8C86S313VBVEP34861GQ,2025-05-22T15:49:58.804422231Z,01JVWAM7QEYFKF7DG28MSB8K00,2025-05-22T15:49:58.804422231Z,01JVWAMKZXTWYN3TA712P54JMG,2025-05-22T15:49:58.804422231Z,1,2025-05-22T15:50:06.522917586Z
01JVWB50QG58BTQ0B9WQ704H0E,01JVWA8C75SBC7BPY0GPDA57E7,2025-05-22T15:52:50.672660058Z,Purple,2025-05-22T15:52:52.633431839Z,01JVWA8C86S313VBVEP34861GQ,2025-05-22T15:52:50.672660058Z,01JVWAD35AX1AZFNQV7TBYGCN2,2025-05-22T15:52:50.672660058Z,01JVWAMM0381K4X5FJKW6G3VCM,2025-05-22T15:52:50.672660058Z,1,2025-05-22T15:52:52.657233102Z
01JVWB3WPYZGSHX99JV3AHXB8J,01JVWA8C75SBC7BPY0GPDA57E7,2025-05-22T15:52:13.790196754Z,Amber,2025-05-22T15:52:16.545541186Z,01JVWA8C86S313VBVEP34861GQ,2025-05-22T15:52:13.790196754Z,01JVWABHQK8MST7R4WYM2EN0FD,2025-05-22T15:52:13.790196754Z,01JVWAMM05GF6350F1T80XN90A,2025-05-22T15:52:13.790196754Z,1,2025-05-22T15:52:16.548242083Z
01JVWB4N10K5HEQPJ6Y2F1R4D1,01JVWA8C75SBC7BPY0GPDA57E7,2025-05-22T15:52:38.688084435Z,Bright Green,2025-05-22T15:52:42.205017204Z,01JVWA8C86S313VBVEP34861GQ,2025-05-22T15:52:38.688084435Z,01JVWAFWW1QQM563BYZBSER1AH,2025-05-22T15:52:38.688084435Z,01JVWAMM04VD3SYN6A7DYEWCS1,2025-05-22T15:52:38.688084435Z,1,2025-05-22T15:52:42.20278799Z
01JVWAR86H3GYGB6DW4PTGFNYW,01JVWA8C75SBC7BPY0GPDA57E7,2025-05-22T15:45:52.337213386Z,Purple,2025-05-22T15:46:02.578459564Z,01JVWA8C86S313VBVEP34861GQ,2025-05-22T15:45:52.337213386Z,01JVWAD35AX1AZFNQV7TBYGCN2,2025-05-22T15:45:52.337213386Z,01JVWAMKZM5DRD1VC1E3MHSVQB,2025-05-22T15:45:52.337213386Z,1,2025-05-22T15:46:02.587409342Z
01JVWAW9ME266AS3DC04SKX220,01JVWA8C75SBC7BPY0GPDA57E7,2025-05-22T15:48:04.878651679Z,Bright Green,2025-05-22T15:48:08.466491166Z,01JVWA8C86S313VBVEP34861GQ,2025-05-22T15:48:04.878651679Z,01JVWAAGYJKN322FY871XFT4P5,2025-05-22T15:48:04.878651679Z,01JVWAMM04VD3SYN6A6WRRF95Z,2025-05-22T15:48:04.878651679Z,1,2025-05-22T15:48:08.460434171Z
01JVWAWYAXGB3PMW4JH6WW0HPW,01JVWA8C75SBC7BPY0GPDA57E7,2025-05-22T15:48:26.077731649Z,Bright Green,2025-05-22T15:48:35.702405365Z,01JVWA8C86S313VBVEP34861GQ,2025-05-22T15:48:26.077731649Z,01JVWAFWW1QQM563BYZBSER1AH,2025-05-22T15:48:26.077731649Z,01JVWAMKZG3TJ995Z7GS02W472,2025-05-22T15:48:26.077731649Z,1,2025-05-22T15:48:35.700201696Z
01JVWB06WD56HAWCZC73MTS0ZY,01JVWA8C75SBC7BPY0GPDA57E7,2025-05-22T15:50:13.133164304Z,Amber,2025-05-22T15:50:18.693364642Z,01JVWA8C86S313VBVEP34861GQ,2025-05-22T15:50:13.133164304Z,01JVWABHQK8MST7R4WYM2EN0FD,2025-05-22T15:50:13.133164304Z,01JVWAMKZZMWTZSV7H88PVP66F,2025-05-22T15:50:13.133164304Z,1,2025-05-22T15:50:18.698708014Z
01JVWB1P956A2GDF5QYYT2AQ93,01JVWA8C75SBC7BPY0GPDA57E7,2025-05-22T15:51:01.669403196Z,Bright Green,2025-05-22T15:51:02.682288019Z,01JVWA8C86S313VBVEP34861GQ,2025-05-22T15:51:01.669403196Z,01JVWAGVB9T8J19FHSW5JR0TDD,2025-05-22T15:51:01.669403196Z,01JVWAMKZS1RST6CYJN555G2JJ,2025-05-22T15:51:01.669403196Z,1,2025-05-22T15:51:02.680846385Z
01JVWB23X72B76XA9X2P1TJ227,01JVWA8C75SBC7BPY0GPDA57E7,2025-05-22T15:51:15.6235356Z,Amber,2025-05-22T15:51:31.709946389Z,01JVWA8C86S313VBVEP34861GQ,2025-05-22T15:51:15.6235356Z,01JVWAF5QB4JSPQERTVS3A96TW,2025-05-22T15:51:15.6235356Z,01JVWAMKZM5DRD1VC1DPFWTDME,2025-05-22T15:51:15.6235356Z,1,2025-05-22T15:51:31.715929568Z
01JVWAS9AXZXSQ0WRMVR1TZ48P,01JVWA8C75SBC7BPY0GPDA57E7,2025-05-22T15:46:26.269302289Z,Bright Green,2025-05-22T15:46:29.792342175Z,01JVWA8C86S313VBVEP34861GQ,2025-05-22T15:46:26.269302289Z,01JVWAD4AE17N7FDMPDT5TBKSJ,2025-05-22T15:46:26.269302289Z,01JVWAMKZT3APWK0Z1AYY581M6,2025-05-22T15:46:26.269302289Z,1,2025-05-22T15:46:29.689672725Z
01JVWAVCJGNKX78FJRBAA7QAHJ,01JVWA8C75SBC7BPY0GPDA57E7,2025-05-22T15:47:35.120725573Z,Purple,2025-05-22T15:47:38.318172461Z,01JVWA8C86S313VBVEP34861GQ,2025-05-22T15:47:35.120725573Z,01JVWAD35AX1AZFNQV7TBYGCN2,2025-05-22T15:47:35.120725573Z,01JVWAMKZVMTHVHYYE4ERR7VB7,2025-05-22T15:47:35.120725573Z,1,2025-05-22T15:47:38.31948558Z
01JVWB06WKGWK0MPKWCTC3C5P0,01JVWA8C75SBC7BPY0GPDA57E7,2025-05-22T15:50:13.13915098Z,Purple,2025-05-22T15:50:15.088426183Z,01JVWA8C86S313VBVEP34861GQ,2025-05-22T15:50:13.13915098Z,01JVWAD35AX1AZFNQV7TBYGCN2,2025-05-22T15:50:13.13915098Z,01JVWAMKZZMWTZSV7H88PVP66F,2025-05-22T15:50:13.13915098Z,1,2025-05-22T15:50:15.099022863Z
