roundID,01JVWAAGYJKN322FY871XFT4P5,01JVWABK1CXR73ZPK044QZJAQG,01JVWAD35AX1AZFNQV7TBYGCN2,01JVWAFWW1QQM563BYZBSER1AH,01JVWAD4AE17N7FDMPDT5TBKSJ,01JVWAF5QB4JSPQERTVS3A96TW,01JVWAM7QEYFKF7DG28MSB8K00,01JVWAGVB9T8J19FHSW5JR0TDD,01JVWAMA8Z9VPZFP2M30N27BZV,01JVWABHQK8MST7R4WYM2EN0FD
01JVWAMKYQW0QZ1CVS398H8WXJ,,,,,,,,,,
01JVWAMKZAE43N65YCCS76E7F5,Crimson,Amber,Purple,Indigo,,Pink,Orange,Slate,Black,Bright Green
01JVWAMM0908QBA6K1ZVKM3TPK,Purple,Amber,Purple,Pink,Sky Blue,Slate,Bright Green,Bright Green,Bright Green,Amber
01JVWAMKZRCJTWQ2957087Z5QD,Slate,Bright Green,Purple,Bright Green,Bright Green,Bright Green,Bright Green,Bright Green,Bright Green,Bright Green
01JVWAMKZDZ5HT1M168J9QKKQ8,Bright Green,Bright Green,Bright Green,Bright Green,Bright Green,Bright Green,Bright Green,Bright Green,Bright Green,Bright Green
01JVWAMKZM5DRD1VC1E3MHSVQB,Bright Green,Bright Green,Purple,Bright Green,Bright Green,Bright Green,Bright Green,Bright Green,Bright Green,Bright Green
01JVWAMKZRCJTWQ2956C06JP81,Purple,Bright Green,Purple,Bright Green,Bright Green,Bright Green,Bright Green,Bright Green,Bright Green,Bright Green
01JVWAMKZQY3T83X43N99FG453,Purple,Bright Green,Purple,Bright Green,Bright Green,Bright Green,Bright Green,Bright Green,Bright Green,Bright Green
01JVWAMKZDZ5HT1M167X1XG42Q,Bright Green,Bright Green,Purple,Bright Green,Bright Green,Bright Green,Bright Green,Bright Green,Bright Green,Bright Green
01JVWAMKZT3APWK0Z1AYY581M6,Bright Green,Bright Green,Purple,Bright Green,Bright Green,Amber,Bright Green,Bright Green,Bright Green,Bright Green
01JVWAMKZCAQNVN4G887NSBPM4,Bright Green,Bright Green,Purple,Bright Green,Bright Green,Slate,Bright Green,Bright Green,Bright Green,Bright Green
01JVWAMKZQY3T83X43MNJ5KTRB,Bright Green,Bright Green,Bright Green,Bright Green,Bright Green,Slate,Bright Green,Bright Green,Bright Green,Bright Green
01JVWAMKZPMTN509QM57XXZZ0A,Bright Green,Bright Green,Purple,Bright Green,Bright Green,Slate,Bright Green,Bright Green,Bright Green,Bright Green
01JVWAMKZZMWTZSV7H8YZC7213,Bright Green,Bright Green,Bright Green,Bright Green,Bright Green,Slate,Bright Green,Bright Green,Bright Green,Bright Green
01JVWAMKZXTWYN3TA71FATNCXP,Slate,Bright Green,Purple,Bright Green,Bright Green,Slate,Bright Green,Bright Green,Bright Green,Bright Green
01JVWAMKZWYQMT2AZYNP04TBQE,Bright Green,Bright Green,Purple,Bright Green,Bright Green,Amber,Bright Green,Bright Green,Bright Green,Bright Green
01JVWAMKZVMTHVHYYE4ERR7VB7,Amber,Bright Green,Purple,Bright Green,Bright Green,Amber,Bright Green,Bright Green,Bright Green,Bright Green
01JVWAMM0AYM1TXYNFN7ZDS14Q,Amber,Bright Green,Bright Green,Bright Green,Bright Green,Amber,Bright Green,Bright Green,Bright Green,Bright Green
01JVWAMKZS1RST6CYJNT7JAA5B,Bright Green,Bright Green,Purple,Bright Green,Bright Green,Pink,Bright Green,Bright Green,Bright Green,Bright Green
01JVWAMM04VD3SYN6A6WRRF95Z,Bright Green,Bright Green,Bright Green,Bright Green,Bright Green,Pink,Bright Green,Bright Green,Bright Green,Bright Green
01JVWAMM026S2SR6Z6W8ZKYNPW,Sky Blue,Amber,Purple,Bright Green,Bright Green,Bright Green,Bright Green,Bright Green,Bright Green,Bright Green
01JVWAMKZG3TJ995Z7GS02W472,Sky Blue,Amber,Purple,Bright Green,Bright Green,Sky Blue,Bright Green,Bright Green,Bright Green,Bright Green
01JVWAMKZFA4HZE8TAVDVG32T6,Sky Blue,Amber,,Bright Green,Bright Green,Sky Blue,Bright Green,Bright Green,Bright Green,Bright Green
01JVWAMKZFA4HZE8TAW3JGSAY6,Sky Blue,Amber,,Purple,Bright Green,Sky Blue,Bright Green,Bright Green,Purple,Bright Green
01JVWAMKZY44RAR1CSSR5HWQBJ,Sky Blue,Amber,Purple,Bright Green,Bright Green,Sky Blue,Bright Green,Bright Green,Bright Green,Bright Green
01JVWAMM00EZJYCJVGFG8ZMSA9,Sky Blue,Amber,Purple,Bright Green,Bright Green,Sky Blue,Bright Green,Bright Green,Bright Green,Amber
01JVWAMKZXTWYN3TA712P54JMG,Sky Blue,Amber,Purple,Bright Green,Bright Green,Sky Blue,Sky Blue,Bright Green,Bright Green,Amber
01JVWAMKZZMWTZSV7H88PVP66F,Sky Blue,Amber,Purple,Purple,Bright Green,Sky Blue,Sky Blue,Bright Green,Bright Green,Amber
01JVWAMKZZMWTZSV7H9FPTBSFE,Sky Blue,Amber,Purple,Bright Green,Bright Green,Amber,Bright Green,Bright Green,Bright Green,Bright Green
01JVWAMKZWYQMT2AZYMGDB5WHF,Sky Blue,Amber,Purple,Bright Green,Bright Green,Amber,Amber,Bright Green,Bright Green,Amber
01JVWAMKZY44RAR1CSS22NSG9T,Sky Blue,Amber,Purple,Amber,Bright Green,Amber,Amber,Bright Green,Bright Green,Amber
01JVWAMKZS1RST6CYJN555G2JJ,Sky Blue,Amber,Purple,Amber,Bright Green,Sky Blue,Sky Blue,Bright Green,Bright Green,Amber
01JVWAMKZM5DRD1VC1DPFWTDME,Bright Green,Amber,Purple,Bright Green,Bright Green,Amber,Amber,Bright Green,Bright Green,Amber
01JVWAMKZVMTHVHYYE3V1472XZ,Slate,Amber,Purple,Amber,Bright Green,Amber,Amber,Bright Green,Bright Green,Amber
01JVWAMKZWYQMT2AZYN28Q1TCZ,Bright Green,Amber,Purple,Bright Green,Bright Green,Amber,Amber,Bright Green,Bright Green,Amber
01JVWAMM0602HA1W73038YQY2V,Bright Green,Amber,Purple,Bright Green,Bright Green,Amber,Amber,Bright Green,Bright Green,Amber
01JVWAMM05GF6350F1T80XN90A,Bright Green,Amber,Purple,Bright Green,Bright Green,Amber,Amber,Bright Green,Bright Green,Amber
01JVWAMM05GF6350F1SJPECVAX,Bright Green,Amber,Purple,Bright Green,Bright Green,Amber,Amber,Bright Green,Bright Green,Amber
01JVWAMM04VD3SYN6A7DYEWCS1,Amber,Amber,Purple,Bright Green,Bright Green,Amber,Amber,Bright Green,Bright Green,Amber
01JVWAMM0381K4X5FJKW6G3VCM,Amber,Amber,Purple,Bright Green,Bright Green,Amber,Amber,Bright Green,Bright Green,Amber
01JVWAMM0381K4X5FJKBQJYGTT,Amber,Amber,Purple,Bright Green,Bright Green,Amber,Amber,Bright Green,Bright Green,Amber
01JVWAMKZVMTHVHYYE54ACVQTY,Sky Blue,Amber,,Bright Green,Bright Green,Purple,Amber,Bright Green,Bright Green,Amber
01JVWAMM0381K4X5FJJR0SK78P,Pink,Amber,Purple,Bright Green,Bright Green,Sky Blue,Amber,Bright Green,Bright Green,Amber
01JVWAMM0381K4X5FJJ9W4WDA7,Bright Green,Amber,Purple,Bright Green,Bright Green,Sky Blue,Amber,Bright Green,Bright Green,Amber
01JVWAMM026S2SR6Z6WVH2EF8N,Black,Amber,Purple,Bright Green,Bright Green,Sky Blue,Amber,Bright Green,Bright Green,Amber
01JVWAMM01E21WHER0DP9GY2SA,Black,Amber,Purple,Bright Green,Bright Green,Sky Blue,Amber,Bright Green,Bright Green,Amber
01JVWAMM01E21WHER0ECE2198R,Black,Amber,Purple,Bright Green,Bright Green,Sky Blue,Amber,Bright Green,Bright Green,Amber
01JVWAMM00EZJYCJVGFS3S7KZ2,Orange,Amber,Purple,Sky Blue,Bright Green,Sky Blue,Amber,Bright Green,Bright Green,Amber
01JVWAMKZT3APWK0Z1BKSKD696,Indigo,Amber,Purple,Sky Blue,Bright Green,Sky Blue,Amber,Bright Green,Bright Green,Bright Green
01JVWAMM0AYM1TXYNFMPTWWJMJ,Pink,Sky Blue,Purple,Purple,Bright Green,Sky Blue,Bright Green,Bright Green,Bright Green,Bright Green
