Round,Choice,Reward,Last Choice,Last Reward,Majority Choice Prev,Cumulative Best Choices,Judgment,Pattern,Strategy
0,,,,,,,N/A,N/A,N/A+N/A
1,Crimson,1.0,,,,,Contrarian,Switch-After-Win,Contrarian+Switch-After-Win
2,,,Crimson,1.0,Crimson,"Sky Blue, Pink, Black, Indigo, Orange, Slate, Crimson",N/A,N/A,N/A+N/A
3,,,,,Sky Blue,Sky Blue,N/A,N/A,N/A+N/A
4,,,,,Sky Blue,Sky Blue,N/A,N/A,N/A+N/A
5,,,,,Sky Blue,Sky Blue,N/A,N/A,N/A+N/A
6,,,,,Sky Blue,Sky Blue,N/A,N/A,N/A+N/A
7,Sky Blue,1.0,,,Sky Blue,Sky Blue,Majority-Biased,Switch-After-Win,Majority-Biased+Switch-After-Win
8,Crimson,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,Contrarian,Switch-After-Win,Contrarian+Switch-After-Win
9,Slate,1.0,Crimson,1.0,Sky Blue,Sky Blue,Contrarian,Switch-After-Win,Contrarian+Switch-After-Win
10,Crimson,1.0,Slate,1.0,Slate,Sky Blue,Contrarian,Switch-After-Win,Contrarian+Switch-After-Win
11,Crimson,1.0,Crimson,1.0,Slate,Sky Blue,Contrarian,Win-Stay,Contrarian+Win-Stay
12,Crimson,1.0,Crimson,1.0,Slate,Sky Blue,Contrarian,Win-Stay,Contrarian+Win-Stay
13,Crimson,1.0,Crimson,1.0,Sky Blue,Sky Blue,Contrarian,Win-Stay,Contrarian+Win-Stay
14,Crimson,1.0,Crimson,1.0,Slate,Sky Blue,Contrarian,Win-Stay,Contrarian+Win-Stay
15,Crimson,1.0,Crimson,1.0,Slate,Sky Blue,Contrarian,Win-Stay,Contrarian+Win-Stay
16,Crimson,1.0,Crimson,1.0,Slate,Sky Blue,Contrarian,Win-Stay,Contrarian+Win-Stay
17,Crimson,1.0,Crimson,1.0,Slate,Sky Blue,Contrarian,Win-Stay,Contrarian+Win-Stay
18,Crimson,1.0,Crimson,1.0,Slate,Sky Blue,Contrarian,Win-Stay,Contrarian+Win-Stay
19,Crimson,1.0,Crimson,1.0,Sky Blue,Sky Blue,Contrarian,Win-Stay,Contrarian+Win-Stay
20,Crimson,0.0,Crimson,1.0,Sky Blue,Sky Blue,Contrarian,Win-Stay,Contrarian+Win-Stay
21,Crimson,1.0,Crimson,0.0,Sky Blue,Sky Blue,Contrarian,Lose-Stay,Contrarian+Lose-Stay
22,Crimson,1.0,Crimson,1.0,Sky Blue,Sky Blue,Contrarian,Win-Stay,Contrarian+Win-Stay
23,Crimson,1.0,Crimson,1.0,Sky Blue,Sky Blue,Contrarian,Win-Stay,Contrarian+Win-Stay
