Round,Choice,Reward,Last Choice,Last Reward,Majority Choice Prev,Cumulative Best Choices,Judgment,Pattern,Strategy
0,,,,,,,N/A,N/A,N/A+N/A
1,Sky Blue,1.0,,,,,Contrarian,Switch-After-Win,Contrarian+Switch-After-Win
2,Sky Blue,1.0,Sky Blue,1.0,Crimson,"Sky Blue, Pink, Black, Indigo, Orange, Slate, Crimson",Social-Exploit,Win-Stay,Social-Exploit+Win-Stay
3,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
4,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
5,Pink,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,Contrarian,Switch-After-Win,Contrarian+Switch-After-Win
6,Sky Blue,1.0,Pink,1.0,Sky Blue,Sky Blue,Majority-Biased,Switch-After-Win,Majority-Biased+Switch-After-Win
7,Sky Blue,0.0,Sky Blue,1.0,Sky Blue,Sky Blue,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
8,Indigo,1.0,Sky Blue,0.0,Sky Blue,Sky Blue,Contrarian,Lose-Shift,Contrarian+Lose-Shift
9,Sky Blue,1.0,Indigo,1.0,Sky Blue,Sky Blue,Majority-Biased,Switch-After-Win,Majority-Biased+Switch-After-Win
10,Pink,1.0,Sky Blue,1.0,Slate,Sky Blue,Contrarian,Switch-After-Win,Contrarian+Switch-After-Win
11,Pink,1.0,Pink,1.0,Slate,Sky Blue,Contrarian,Win-Stay,Contrarian+Win-Stay
12,Sky Blue,1.0,Pink,1.0,Slate,Sky Blue,Social-Exploit,Switch-After-Win,Social-Exploit+Switch-After-Win
13,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
14,Sky Blue,1.0,Sky Blue,1.0,Slate,Sky Blue,Social-Exploit,Win-Stay,Social-Exploit+Win-Stay
15,Sky Blue,1.0,Sky Blue,1.0,Slate,Sky Blue,Social-Exploit,Win-Stay,Social-Exploit+Win-Stay
16,Pink,1.0,Sky Blue,1.0,Slate,Sky Blue,Contrarian,Switch-After-Win,Contrarian+Switch-After-Win
17,Slate,1.0,Pink,1.0,Slate,Sky Blue,Majority-Biased,Switch-After-Win,Majority-Biased+Switch-After-Win
18,Pink,0.0,Slate,1.0,Slate,Sky Blue,Contrarian,Switch-After-Win,Contrarian+Switch-After-Win
19,Pink,1.0,Pink,0.0,Sky Blue,Sky Blue,Contrarian,Lose-Stay,Contrarian+Lose-Stay
20,Pink,1.0,Pink,1.0,Sky Blue,Sky Blue,Contrarian,Win-Stay,Contrarian+Win-Stay
21,Sky Blue,1.0,Pink,1.0,Sky Blue,Sky Blue,Majority-Biased,Switch-After-Win,Majority-Biased+Switch-After-Win
22,Indigo,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,Contrarian,Switch-After-Win,Contrarian+Switch-After-Win
23,Indigo,1.0,Indigo,1.0,Sky Blue,Sky Blue,Contrarian,Win-Stay,Contrarian+Win-Stay
24,Indigo,1.0,Indigo,1.0,Sky Blue,Sky Blue,Contrarian,Win-Stay,Contrarian+Win-Stay
25,Sky Blue,1.0,Indigo,1.0,Sky Blue,Sky Blue,Majority-Biased,Switch-After-Win,Majority-Biased+Switch-After-Win
26,Pink,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,Contrarian,Switch-After-Win,Contrarian+Switch-After-Win
27,Indigo,1.0,Pink,1.0,Sky Blue,Sky Blue,Contrarian,Switch-After-Win,Contrarian+Switch-After-Win
28,Orange,1.0,Indigo,1.0,Sky Blue,Sky Blue,Contrarian,Switch-After-Win,Contrarian+Switch-After-Win
29,Sky Blue,1.0,Orange,1.0,Crimson,Sky Blue,Social-Exploit,Switch-After-Win,Social-Exploit+Switch-After-Win
30,Indigo,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,Contrarian,Switch-After-Win,Contrarian+Switch-After-Win
31,Slate,1.0,Indigo,1.0,Crimson,Sky Blue,Contrarian,Switch-After-Win,Contrarian+Switch-After-Win
32,Orange,1.0,Slate,1.0,Sky Blue,Sky Blue,Contrarian,Switch-After-Win,Contrarian+Switch-After-Win
33,Sky Blue,1.0,Orange,1.0,Sky Blue,Sky Blue,Majority-Biased,Switch-After-Win,Majority-Biased+Switch-After-Win
34,Slate,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,Contrarian,Switch-After-Win,Contrarian+Switch-After-Win
35,Sky Blue,1.0,Slate,1.0,Sky Blue,Sky Blue,Majority-Biased,Switch-After-Win,Majority-Biased+Switch-After-Win
