Round,Choice,Reward,Last Choice,Last Reward,Majority Choice Prev,Cumulative Best Choices,Judgment,Pattern,Strategy
0,,,,,,,N/A,N/A,N/A+N/A
1,Indigo,1.0,,,,,Contrarian,Switch-After-Win,Contrarian+Switch-After-Win
2,Pink,0.0,Indigo,1.0,Crimson,"Sky Blue, Pink, Black, Indigo, Orange, Slate, Crimson",Social-Exploit,Switch-After-Win,Social-Exploit+Switch-After-Win
3,Sky Blue,1.0,Pink,0.0,Sky Blue,Sky Blue,Majority-Biased,Lose-Shift,Majority-Biased+Lose-Shift
4,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
5,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
6,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
7,Sky Blue,0.0,Sky Blue,1.0,Sky Blue,Sky Blue,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
8,Slate,1.0,Sky Blue,0.0,Sky Blue,Sky Blue,Contrarian,Lose-Shift,Contrarian+Lose-Shift
9,Slate,1.0,Slate,1.0,Sky Blue,Sky Blue,Contrarian,Win-Stay,Contrarian+Win-Stay
10,Slate,0.0,Slate,1.0,Slate,Sky Blue,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
11,Slate,1.0,Slate,0.0,Slate,Sky Blue,Majority-Biased,Lose-Stay,Majority-Biased+Lose-Stay
12,Crimson,0.0,Slate,1.0,Slate,Sky Blue,Contrarian,Switch-After-Win,Contrarian+Switch-After-Win
13,Slate,0.0,Crimson,0.0,Sky Blue,Sky Blue,Contrarian,Lose-Shift,Contrarian+Lose-Shift
14,Crimson,1.0,Slate,0.0,Slate,Sky Blue,Contrarian,Lose-Shift,Contrarian+Lose-Shift
15,Crimson,0.0,Crimson,1.0,Slate,Sky Blue,Contrarian,Win-Stay,Contrarian+Win-Stay
16,Crimson,1.0,Crimson,0.0,Slate,Sky Blue,Contrarian,Lose-Stay,Contrarian+Lose-Stay
17,Crimson,1.0,Crimson,1.0,Slate,Sky Blue,Contrarian,Win-Stay,Contrarian+Win-Stay
18,Crimson,1.0,Crimson,1.0,Slate,Sky Blue,Contrarian,Win-Stay,Contrarian+Win-Stay
19,Crimson,1.0,Crimson,1.0,Sky Blue,Sky Blue,Contrarian,Win-Stay,Contrarian+Win-Stay
20,Crimson,1.0,Crimson,1.0,Sky Blue,Sky Blue,Contrarian,Win-Stay,Contrarian+Win-Stay
21,Crimson,1.0,Crimson,1.0,Sky Blue,Sky Blue,Contrarian,Win-Stay,Contrarian+Win-Stay
22,Crimson,1.0,Crimson,1.0,Sky Blue,Sky Blue,Contrarian,Win-Stay,Contrarian+Win-Stay
23,Crimson,1.0,Crimson,1.0,Sky Blue,Sky Blue,Contrarian,Win-Stay,Contrarian+Win-Stay
24,Crimson,1.0,Crimson,1.0,Sky Blue,Sky Blue,Contrarian,Win-Stay,Contrarian+Win-Stay
25,Indigo,1.0,Crimson,1.0,Sky Blue,Sky Blue,Contrarian,Switch-After-Win,Contrarian+Switch-After-Win
26,Indigo,1.0,Indigo,1.0,Sky Blue,Sky Blue,Contrarian,Win-Stay,Contrarian+Win-Stay
27,Indigo,1.0,Indigo,1.0,Sky Blue,Sky Blue,Contrarian,Win-Stay,Contrarian+Win-Stay
28,Pink,1.0,Indigo,1.0,Sky Blue,Sky Blue,Contrarian,Switch-After-Win,Contrarian+Switch-After-Win
29,Slate,1.0,Pink,1.0,Crimson,Sky Blue,Contrarian,Switch-After-Win,Contrarian+Switch-After-Win
30,Pink,1.0,Slate,1.0,Sky Blue,Sky Blue,Contrarian,Switch-After-Win,Contrarian+Switch-After-Win
31,Pink,1.0,Pink,1.0,Crimson,Sky Blue,Contrarian,Win-Stay,Contrarian+Win-Stay
32,Pink,1.0,Pink,1.0,Sky Blue,Sky Blue,Contrarian,Win-Stay,Contrarian+Win-Stay
33,Indigo,1.0,Pink,1.0,Sky Blue,Sky Blue,Contrarian,Switch-After-Win,Contrarian+Switch-After-Win
34,Orange,1.0,Indigo,1.0,Sky Blue,Sky Blue,Contrarian,Switch-After-Win,Contrarian+Switch-After-Win
35,Orange,1.0,Orange,1.0,Sky Blue,Sky Blue,Contrarian,Win-Stay,Contrarian+Win-Stay
36,Orange,1.0,Orange,1.0,Sky Blue,Sky Blue,Contrarian,Win-Stay,Contrarian+Win-Stay
37,Black,1.0,Orange,1.0,Sky Blue,Sky Blue,Contrarian,Switch-After-Win,Contrarian+Switch-After-Win
38,Sky Blue,1.0,Black,1.0,Sky Blue,Sky Blue,Majority-Biased,Switch-After-Win,Majority-Biased+Switch-After-Win
39,Orange,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,Contrarian,Switch-After-Win,Contrarian+Switch-After-Win
40,Black,1.0,Orange,1.0,Sky Blue,Sky Blue,Contrarian,Switch-After-Win,Contrarian+Switch-After-Win
41,Sky Blue,1.0,Black,1.0,Sky Blue,Sky Blue,Majority-Biased,Switch-After-Win,Majority-Biased+Switch-After-Win
42,Amber,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,Contrarian,Switch-After-Win,Contrarian+Switch-After-Win
43,Amber,1.0,Amber,1.0,Sky Blue,Sky Blue,Contrarian,Win-Stay,Contrarian+Win-Stay
