roundID,01JTNS8VX6REHW16TJWE1R437P,01JTNSB3MTD001M2CV90W3RV9A,01JTNS860459Q20M5J95GNKMWJ,01JTNS800XKB2QRWZR7D3MV6R0,01JTNSB4JC26PT3D2WNAGYS6KP,01JTNS7NPXBWAM6WBJVKS07CGG,01JTNS9QBNYAS004J80MYRQ02G,01JTNS7T84SCKGMTGACRJQJW6D,01JTNS7W3P8TCBQE14F22MEHNH,01JTNS7PQHWSEREKR6CK206ESW
01JTNSBMWAPQBKR58XEDHV7PD4,,,,,,,,,,
01JTNSBMWAPQBKR58XF0F58VAX,Indigo,Orange,Pink,Sky Blue,Black,Crimson,Slate,,,Bright Green
01JTNSBMX5VB0529QBY659YAV3,Pink,Pink,,Sky Blue,Sky Blue,,Slate,,Indigo,Sky Blue
01JTNSBMXNA7NNFJZDYWTC3B2N,Sky Blue,Sky Blue,,Sky Blue,Sky Blue,,Sky Blue,Sky Blue,Sky Blue,Sky Blue
01JTNSBMXC4CYCRQTB3RAEWY1C,Sky Blue,Sky Blue,Indigo,Sky Blue,Sky Blue,,Sky Blue,Sky Blue,Sky Blue,Sky Blue
01JTNSBMXAY003TZP1AVZ61MRX,Sky Blue,Sky Blue,Slate,Pink,Sky Blue,,Sky Blue,Sky Blue,Sky Blue,Sky Blue
01JTNSBMXRGTDY6W1HJRQNJG0K,Sky Blue,Sky Blue,Sky Blue,Sky Blue,Sky Blue,,Sky Blue,Sky Blue,,Sky Blue
01JTNSBMX9BKNC1S9AXTNRZ30H,Sky Blue,Slate,Sky Blue,Sky Blue,Sky Blue,Sky Blue,Sky Blue,Sky Blue,Sky Blue,Sky Blue
01JTNSBMXNA7NNFJZDY9B4YKVE,Slate,Slate,Sky Blue,Indigo,Sky Blue,Crimson,Sky Blue,Sky Blue,Slate,Sky Blue
01JTNSBMXTTYQ1B23HF1HMN9W2,Slate,Slate,Sky Blue,Sky Blue,Slate,Slate,Sky Blue,Sky Blue,Slate,Sky Blue
01JTNSBMXAY003TZP1A8R9GN3Z,Slate,Slate,Slate,Pink,Slate,Crimson,Sky Blue,Slate,Slate,Sky Blue
01JTNSBMXQD9272TTX5PEFTPW1,Slate,Slate,Slate,Pink,Slate,Crimson,Sky Blue,Slate,Slate,Sky Blue
01JTNSBMXQD9272TTX6AC8QX6B,Crimson,Sky Blue,Slate,Sky Blue,Slate,Crimson,Sky Blue,Slate,Slate,Sky Blue
01JTNSBMXSTZJTQQAM52YHBB8Y,Slate,Slate,Slate,Sky Blue,Slate,Crimson,Sky Blue,Sky Blue,Slate,Slate
01JTNSBMXGWFV34EW024QSMTB7,Crimson,Slate,Slate,Sky Blue,Slate,Crimson,Sky Blue,Sky Blue,Slate,Slate
01JTNSBMXEJW7A7RQJ74Q6NE8B,Crimson,Crimson,Slate,Sky Blue,Slate,Crimson,Sky Blue,Sky Blue,Slate,Slate
01JTNSBMXEJW7A7RQJ6MQQP1BS,Crimson,Slate,Slate,Pink,Sky Blue,Crimson,Sky Blue,Sky Blue,Slate,Slate
