Round,Choice,Reward,Last Choice,Last Reward,Majority Choice Prev,Cumulative Best Choices,Judgment,Pattern,Strategy
0,,,,,,,N/A,N/A,N/A+N/A
1,Amber,1.0,,,,,Contrarian,Switch-After-Win,Contrarian+Switch-After-Win
2,Pink,1.0,Amber,1.0,Crimson,"Pink, Black, Amber, Indigo, Purple, Orange, Slate, Crimson",Social-Exploit,Switch-After-Win,Social-Exploit+Switch-After-Win
3,Pink,1.0,Pink,1.0,Black,"Slate, Black",Contrarian,Win-Stay,Contrarian+Win-Stay
4,Pink,1.0,Pink,1.0,Slate,Slate,Contrarian,Win-Stay,Contrarian+Win-Stay
5,,,Pink,1.0,Slate,Slate,N/A,N/A,N/A+N/A
6,,,,,Slate,Slate,N/A,N/A,N/A+N/A
7,,,,,Slate,Slate,N/A,N/A,N/A+N/A
8,Pink,1.0,,,Purple,Slate,Contrarian,Switch-After-Win,Contrarian+Switch-After-Win
9,Slate,1.0,Pink,1.0,Purple,Slate,Social-Exploit,Switch-After-Win,Social-Exploit+Switch-After-Win
10,Slate,1.0,Slate,1.0,Slate,Slate,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
11,,,Slate,1.0,Slate,Slate,N/A,N/A,N/A+N/A
12,Slate,1.0,,,Slate,Slate,Majority-Biased,Switch-After-Win,Majority-Biased+Switch-After-Win
13,Slate,1.0,Slate,1.0,Slate,Slate,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
14,Slate,1.0,Slate,1.0,Slate,Slate,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
15,Slate,0.0,Slate,1.0,Slate,Slate,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
16,Slate,1.0,Slate,0.0,Slate,Slate,Majority-Biased,Lose-Stay,Majority-Biased+Lose-Stay
17,Slate,0.0,Slate,1.0,Slate,Slate,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
18,Slate,1.0,Slate,0.0,Slate,Slate,Majority-Biased,Lose-Stay,Majority-Biased+Lose-Stay
19,Slate,1.0,Slate,1.0,Slate,Slate,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
20,Slate,1.0,Slate,1.0,Slate,Slate,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
21,Slate,1.0,Slate,1.0,Slate,Slate,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
