Round,Choice,Reward,Last Choice,Last Reward,Majority Choice Prev,Cumulative Best Choices,Judgment,Pattern,Strategy
0,,,,,,,N/A,N/A,N/A+N/A
1,Slate,1.0,,,,,Contrarian,Switch-After-Win,Contrarian+Switch-After-Win
2,Slate,1.0,Slate,1.0,Crimson,"Pink, Black, Amber, Indigo, Purple, Orange, Slate, Crimson",Social-Exploit,Win-Stay,Social-Exploit+Win-Stay
3,Slate,1.0,Slate,1.0,Black,"Slate, Black",Social-Exploit,Win-Stay,Social-Exploit+Win-Stay
4,Slate,1.0,Slate,1.0,Slate,Slate,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
5,Slate,1.0,Slate,1.0,Slate,Slate,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
6,Slate,1.0,Slate,1.0,Slate,Slate,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
7,Purple,1.0,Slate,1.0,Slate,Slate,Contrarian,Switch-After-Win,Contrarian+Switch-After-Win
8,Purple,1.0,Purple,1.0,Purple,Slate,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
9,Purple,1.0,Purple,1.0,Purple,Slate,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
10,Purple,0.0,Purple,1.0,Slate,Slate,Contrarian,Win-Stay,Contrarian+Win-Stay
11,Slate,0.0,Purple,0.0,Slate,Slate,Majority-Biased,Lose-Shift,Majority-Biased+Lose-Shift
12,Slate,0.0,Slate,0.0,Slate,Slate,Majority-Biased,Lose-Stay,Majority-Biased+Lose-Stay
13,Slate,1.0,Slate,0.0,Slate,Slate,Majority-Biased,Lose-Stay,Majority-Biased+Lose-Stay
14,Slate,1.0,Slate,1.0,Slate,Slate,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
15,Slate,1.0,Slate,1.0,Slate,Slate,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
16,Slate,1.0,Slate,1.0,Slate,Slate,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
17,Purple,1.0,Slate,1.0,Slate,Slate,Contrarian,Switch-After-Win,Contrarian+Switch-After-Win
18,Slate,1.0,Purple,1.0,Slate,Slate,Majority-Biased,Switch-After-Win,Majority-Biased+Switch-After-Win
