Round,Choice,Reward,Last Choice,Last Reward,Majority Choice Prev,Cumulative Best Choices,Judgment,Pattern,Strategy
0,,,,,,,N/A,N/A,N/A+N/A
1,Orange,1.0,,,,,Contrarian,Switch-After-Win,Contrarian+Switch-After-Win
2,Crimson,1.0,Orange,1.0,Crimson,"Pink, Black, Amber, Indigo, Purple, Orange, Slate, Crimson",Majority-Biased,Switch-After-Win,Majority-Biased+Switch-After-Win
3,Slate,1.0,Crimson,1.0,Black,"Slate, Black",Social-Exploit,Switch-After-Win,Social-Exploit+Switch-After-Win
4,Slate,1.0,Slate,1.0,Slate,Slate,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
5,Pink,1.0,Slate,1.0,Slate,Slate,Contrarian,Switch-After-Win,Contrarian+Switch-After-Win
6,Purple,1.0,Pink,1.0,Slate,Slate,Contrarian,Switch-After-Win,Contrarian+Switch-After-Win
7,Purple,1.0,Purple,1.0,Slate,Slate,Contrarian,Win-Stay,Contrarian+Win-Stay
8,Purple,0.0,Purple,1.0,Purple,Slate,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
9,Pink,1.0,Purple,0.0,Purple,Slate,Contrarian,Lose-Shift,Contrarian+Lose-Shift
10,Slate,1.0,Pink,1.0,Slate,Slate,Majority-Biased,Switch-After-Win,Majority-Biased+Switch-After-Win
11,Slate,1.0,Slate,1.0,Slate,Slate,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
12,Slate,1.0,Slate,1.0,Slate,Slate,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
13,Pink,1.0,Slate,1.0,Slate,Slate,Contrarian,Switch-After-Win,Contrarian+Switch-After-Win
14,Slate,1.0,Pink,1.0,Slate,Slate,Majority-Biased,Switch-After-Win,Majority-Biased+Switch-After-Win
15,Slate,0.0,Slate,1.0,Slate,Slate,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
16,Slate,1.0,Slate,0.0,Slate,Slate,Majority-Biased,Lose-Stay,Majority-Biased+Lose-Stay
17,Slate,1.0,Slate,1.0,Slate,Slate,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
18,Purple,1.0,Slate,1.0,Slate,Slate,Contrarian,Switch-After-Win,Contrarian+Switch-After-Win
19,Slate,1.0,Purple,1.0,Slate,Slate,Majority-Biased,Switch-After-Win,Majority-Biased+Switch-After-Win
20,Slate,1.0,Slate,1.0,Slate,Slate,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
21,Slate,1.0,Slate,1.0,Slate,Slate,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
22,Slate,1.0,Slate,1.0,Slate,Slate,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
23,Slate,1.0,Slate,1.0,Slate,Slate,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
24,Slate,1.0,Slate,1.0,Slate,Slate,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
25,Slate,1.0,Slate,1.0,Slate,Slate,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
26,Crimson,1.0,Slate,1.0,Slate,Slate,Contrarian,Switch-After-Win,Contrarian+Switch-After-Win
27,Pink,1.0,Crimson,1.0,Slate,Slate,Contrarian,Switch-After-Win,Contrarian+Switch-After-Win
28,Pink,1.0,Pink,1.0,Slate,Slate,Contrarian,Win-Stay,Contrarian+Win-Stay
29,Pink,1.0,Pink,1.0,Slate,Slate,Contrarian,Win-Stay,Contrarian+Win-Stay
30,Pink,1.0,Pink,1.0,Slate,Slate,Contrarian,Win-Stay,Contrarian+Win-Stay
31,Slate,0.0,Pink,1.0,Slate,Slate,Majority-Biased,Switch-After-Win,Majority-Biased+Switch-After-Win
32,Pink,0.0,Slate,0.0,Slate,Slate,Contrarian,Lose-Shift,Contrarian+Lose-Shift
33,Slate,1.0,Pink,0.0,Slate,Slate,Majority-Biased,Lose-Shift,Majority-Biased+Lose-Shift
34,Slate,1.0,Slate,1.0,Slate,Slate,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
35,Pink,1.0,Slate,1.0,Slate,Slate,Contrarian,Switch-After-Win,Contrarian+Switch-After-Win
36,Pink,1.0,Pink,1.0,Slate,Slate,Contrarian,Win-Stay,Contrarian+Win-Stay
37,Pink,1.0,Pink,1.0,Slate,Slate,Contrarian,Win-Stay,Contrarian+Win-Stay
38,Slate,1.0,Pink,1.0,Slate,Slate,Majority-Biased,Switch-After-Win,Majority-Biased+Switch-After-Win
39,Slate,1.0,Slate,1.0,Slate,Slate,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
40,Slate,1.0,Slate,1.0,Slate,Slate,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
41,Slate,1.0,Slate,1.0,Slate,Slate,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
42,Slate,1.0,Slate,1.0,Slate,Slate,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
43,Crimson,1.0,Slate,1.0,Slate,Slate,Contrarian,Switch-After-Win,Contrarian+Switch-After-Win
44,Slate,1.0,Crimson,1.0,Slate,Slate,Majority-Biased,Switch-After-Win,Majority-Biased+Switch-After-Win
45,Slate,1.0,Slate,1.0,Slate,Slate,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
46,Slate,1.0,Slate,1.0,Slate,Slate,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
47,Purple,1.0,Slate,1.0,Slate,Slate,Contrarian,Switch-After-Win,Contrarian+Switch-After-Win
48,Slate,1.0,Purple,1.0,Slate,Slate,Majority-Biased,Switch-After-Win,Majority-Biased+Switch-After-Win
49,Slate,1.0,Slate,1.0,Slate,Slate,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
50,Slate,1.0,Slate,1.0,Slate,Slate,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
51,Slate,1.0,Slate,1.0,Slate,Slate,Majority-Biased,Win-Stay,Majority-Biased+Win-Stay
52,,,Slate,1.0,Slate,Slate,N/A,N/A,N/A+N/A
