age,gender,genderOther,race,raceOther,education,educationOther,country,politicalOrientation,experience,engagement,clearity,interference,interferenceOption,keyFactors,strategy,motivation,followUp,additionalFeedback,playerID
39,Male,,Caucasian,,Some College,,USA,Extremely Conservative,No,Not Engaging,Clear,,No,N/A,N/A,money,Yes,Couldn't find any other players I guess,01JW97EQTZ16KRZEDB93FG315X
57,Female,,Caucasian,,Graduate Professional School,,USA,Moderately Liberal,No,Not Engaging,Moderately Clear,,No,Ratio of success to failure and total overall successes.,I selected the candidates with both the highest successes and the highest success to failure ratios. I then occasionally switched it up if a candidate had a better ratio of success to failure even if they had fewer overall successes. ,Payment,Yes,"It would have been more interesting to get information at the end about the other people's choices. I thought I was working as a team but it didn't feel like it, what little information I was given was hard to know what anything meant. ",01JW978H1YK0SPZTAH90JHFHNS
39,Male,,Caucasian,,Some College,,usa,Extremely Liberal,No,Not Engaging,Very Unclear,See above,Yes,See above,Got sent to the exit survey again,See above ,Yes,,01JW97GHKCY6QSSZKVVS3YR8MS
42,Female,,African,,College,,USA,Extremely Conservative,No,Very Engaging,Very Clear,,No,"I prioritized groups with higher success-to-failure ratios, as these indicated consistent and reliable performance.",I looked at the ratio of successes to total attempts (successes + failures) for each group to assess their overall productivity and reliability.,I was motivated by the challenge of identifying the most productive groups to maximize success and contribute to the overall goal of building a high-performing team.,Yes,INTERESTING SURVEY,01JW9753GREBH8Q1H278C6P42E
37,Female,,Caucasian,,Some College,,USA,Extremely Liberal,No,Moderately Engaging,Very Clear,,No,The number of successes.,I picked the one who had the most tries.,It looked interesting and paid well for my time.,Yes,,01JW975ABV8DXQEHP7WWZH726C
19,Male,,Caucasian,,High School,,United States of America,Moderately Conservative,No,Slightly Engaging,Clear,,No,Experience but also consistency. It doesn't matter if you can produce a lot if what you are doing is wrong and failing.,"I weighed productivity based on the success to failure ratio. Even if an applicant had a higher number of successes than another applicant if they had more failures that factored in their ratio, I would pick the applicant with the smaller number of successes.",Monetary incentive ,Yes,None,01JW978C35KHQYD6GHFHASHHFF
60,Female,,African,,High School,,United States,Extremely Liberal,No,Slightly Engaging,Moderately Clear,,No,Successes,It was based on success.  The failures were still within range of a highly success employee. ,The payment,Yes,It was repetitive ,01JW974XJR8E3E51JYY40R7ZH8
57,Female,,Caucasian,,College,,United States,Moderately Liberal,No,Very Engaging,Moderately Clear,,No,"The numbers, and the percentages for success for each group.","At first, I wasn't certain how to approach this game and ultimately decided to use percentages to try and calculate the best opportunities for success.","This survey caught my eye because I usually enjoy the challenge of playing brain games. I believe it's good for all of us to engage in such activities, no matter what age we are. The payment is also much appreciated.",Yes,,01JW97984H3NNZWV6E2HQ6YMPB
40,Female,,Caucasian,,Some College,,united states,Slightly Liberal,No,Slightly Engaging,Clear,,No,consistency and more success,the more success the better,money,Yes,,01JW977W20P7YBB68AXRWTC4WD
32,Female,,Caucasian,,College,,United States of America,Extremely Liberal,No,Engaging,Very Clear,,No,"I felt the higher the success, the better - even if there was a high failure rate. We were asked to select the most productive and I would think the amount shows productivity, whether failing or succeeding. ",I mainly looked at success before failure numbers and then went from there. ,The payout for 30 mins was a good motivation and it seemed like it would be engaging. ,Yes,,01JW9796N6PCD4PSQ1WCKCMJCY
