roundID,01JW974XJR8E3E51JYY40R7ZH8,01JW9752CPM09HPW1D7P74C9VB,01JW975ABV8DXQEHP7WWZH726C,01JW97984H3NNZWV6E2HQ6YMPB,01JW977W20P7YBB68AXRWTC4WD,01JW978C35KHQYD6GHFHASHHFF,01JW9796N6PCD4PSQ1WCKCMJCY,01JW975NV5ED6J52HENAXJPCQK,01JW9753GREBH8Q1H278C6P42E,01JW978H1YK0SPZTAH90JHFHNS
01JW97A1WWBK79ET9HXQ5HS6MD,,,,,,,,,,
01JW97A1XAEXPR9BN7KVW449KE,Crimson,Bright Green,Purple,Black,Pink,Indigo,Orange,,Amber,Slate
01JW97A1XB5NETT6AX4CMAS807,Black,Purple,Black,Indigo,Slate,Black,Crimson,,Pink,Slate
01JW97A1XC8XA9NA1S4QR15R0Q,Slate,Purple,Slate,Slate,Slate,Slate,Slate,Slate,Pink,Slate
01JW97A1XB5NETT6AX4Z6XXPKR,Slate,Slate,Slate,Pink,Slate,Slate,Slate,Slate,Pink,Slate
01JW97A1XB5NETT6AX5QPJQW87,Purple,Slate,Slate,Purple,Slate,Slate,Pink,Slate,,Slate
01JW97A1XDT3MWGGXG3JE8PN03,Slate,Slate,Slate,Purple,Slate,Slate,Purple,Slate,,Slate
01JW97A1XC8XA9NA1S5AWDYWA9,Slate,Purple,Slate,Purple,Slate,Purple,Purple,Slate,,Purple
01JW97A1XDT3MWGGXG45WZX1B3,Slate,Purple,Slate,Purple,Slate,Purple,Purple,Slate,Pink,Purple
01JW97A1XEP3WG934RVHKM4J8W,Slate,Slate,Slate,Purple,Slate,Purple,Pink,Slate,Slate,Purple
01JW97A1XF5WWQYY20C210R6KN,Slate,Slate,Slate,Slate,Slate,Purple,Slate,Slate,Slate,Purple
01JW97A1XHX7ZAQZZZ5MPJBETW,Slate,Slate,Slate,Slate,Slate,Slate,Slate,Slate,,Slate
01JW97A1XF5WWQYY20CQ0ZMT1J,Slate,Slate,Slate,Slate,Slate,Slate,Slate,Slate,Slate,Slate
01JW97A1XGKPTZPXYG16X34GS5,Slate,Slate,Slate,Slate,Slate,Slate,Pink,Slate,Slate,Slate
01JW97A1XC8XA9NA1S5WZTB49M,Slate,Slate,Slate,Slate,Slate,Slate,Slate,Slate,Slate,Slate
01JW97A1XHX7ZAQZZZ6460ECAC,Slate,Slate,Slate,Slate,Slate,Slate,Slate,Slate,Slate,Slate
01JW97A1XJ7ZT109G7T6PTSW4P,Slate,Slate,Slate,Slate,Slate,Slate,Slate,Slate,Slate,Slate
01JW97A1XK5JB9D0Q8S8Q13PS5,Slate,Slate,Slate,Slate,Slate,Slate,Slate,Slate,Slate,Purple
01JW97A1XNY10R62CWE76X5614,Slate,Slate,Slate,Slate,Slate,Slate,Purple,Slate,Slate,Slate
01JW97A1XM464SMTH0JV7T0M5E,Slate,Slate,Slate,Purple,Slate,Slate,Slate,Slate,Slate,Slate
01JW97A1XJ7ZT109G7TYMVDNG1,Slate,Slate,Slate,Slate,Slate,Slate,Slate,Slate,Slate,Slate
01JW97A1XNY10R62CWEYS0THNN,Slate,Slate,Slate,Purple,Slate,Slate,Slate,Slate,Slate,Slate
01JW97A1XK5JB9D0Q8SVDWE56D,Slate,Slate,Slate,Slate,Slate,Slate,Slate,Slate,Slate,Slate
01JW97A1XM464SMTH0KDY9K38V,Slate,Slate,Slate,Slate,Slate,Slate,Slate,Slate,Slate,Slate
01JW97A1XQ6X14745MC8VF0793,Slate,Slate,Slate,Slate,Slate,Slate,Slate,Slate,Slate,Slate
01JW97A1XPP73A6YC21EHK6VDS,Slate,Slate,Slate,Slate,Slate,Slate,Slate,Slate,Purple,Slate
01JW97A1XNY10R62CWFEFCTG9K,Slate,Slate,Slate,Slate,Slate,Slate,Crimson,Slate,Slate,Slate
01JW97A1XPP73A6YC2102KCZ7J,Slate,Slate,Slate,Pink,Slate,Slate,Pink,Slate,Slate,Slate
01JW97A1XST700GVH2QJ27HB5J,Slate,Slate,Slate,Slate,Slate,Slate,Pink,Slate,Slate,Slate
01JW97A1XQ6X14745MCZ0BEMJQ,Slate,Slate,Slate,Slate,Slate,Slate,Pink,Slate,Slate,Slate
01JW97A1XRG2CEG6PZSGWX4SWV,Slate,Slate,Slate,Slate,Slate,Slate,Pink,Slate,Slate,Slate
01JW97A1XRG2CEG6PZT6XC7BCY,Slate,Slate,Slate,Slate,Slate,Slate,Slate,Slate,Slate,Slate
01JW97A1XQ6X14745MDH04345A,Slate,Slate,Slate,Pink,Slate,Slate,Pink,Slate,Slate,Slate
01JW97A1XVABPBPW90BKK0Z7QM,Slate,Slate,Slate,Slate,Slate,Slate,Slate,Slate,Slate,Slate
01JW97A1Y06QBPTHTBNM5M0ZPF,Slate,Slate,Slate,Slate,Slate,Slate,Slate,Slate,Slate,Slate
01JW97A1XYBK941AA9BT13TVTD,Slate,Slate,Slate,Slate,Slate,Slate,Pink,Slate,Slate,Slate
01JW97A1XXE3YJWM0F0VB0VZ1E,Slate,Slate,Slate,Slate,Slate,Slate,Pink,Slate,Slate,Slate
01JW97A1XRG2CEG6PZTPRKA7R2,Slate,Slate,Slate,Slate,Slate,Slate,Pink,Slate,Slate,Slate
01JW97A1XST700GVH2PSHD4R44,Slate,Slate,Slate,Slate,Slate,Slate,Slate,Slate,Slate,Slate
01JW97A1XST700GVH2R4NS4DM3,Slate,Slate,Slate,Purple,Slate,Slate,Slate,Slate,Slate,Pink
01JW97A1XTMKR6BT8NVSWDD4EX,Slate,Slate,Slate,Slate,Slate,Slate,Slate,Slate,Slate,Purple
01JW97A1XTMKR6BT8NV471F4T1,Slate,Slate,Slate,Slate,Slate,Slate,Slate,Slate,,Slate
01JW97A1XVABPBPW90B44QAVD9,Slate,Slate,Slate,Slate,Slate,Slate,Slate,Slate,Slate,Pink
01JW97A1XTMKR6BT8NTEV0YKX2,Slate,Slate,Slate,Slate,Slate,Slate,Crimson,Slate,,Slate
01JW97A1XW7TBSP76YHZ34DDX3,Slate,Slate,Slate,Slate,Slate,Slate,Slate,Slate,Slate,Pink
01JW97A1XW7TBSP76YK3Y9MJY4,Slate,Slate,Slate,Slate,Slate,Slate,Slate,Slate,Slate,Slate
01JW97A1XW7TBSP76YJHEAPP7H,Slate,Slate,Slate,Slate,Slate,Slate,Slate,Slate,Slate,Slate
01JW97A1XW7TBSP76YKM6FTMY5,Slate,Slate,Slate,Slate,Slate,Slate,Purple,Slate,Slate,Slate
01JW97A1XYBK941AA9B6GEPJH7,Slate,Slate,Slate,Slate,Slate,Slate,Slate,Slate,Slate,Purple
01JW97A1XYBK941AA9CABYEZF4,Slate,Slate,Slate,Slate,Slate,Slate,Slate,Slate,Slate,Crimson
