id,batchID,batchIDLastChangedAt,chatEnabled,chatEnabledLastChangedAt,ended,endedLastChangedAt,flag,flagLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,isTutorial,isTutorialLastChangedAt,name,nameLastChangedAt,stageIndex,stageIndexLastChangedAt,start,startLastChangedAt
01JW97A1XB5NETT6AX4CMAS807,01JW973RFZ5RMN96Y4ZPYJBM6Y,2025-05-27T15:55:49.035176294Z,true,2025-05-27T15:55:49.035176294Z,true,2025-05-27T15:57:56.332347461Z,true,2025-05-27T15:55:49.035176294Z,01JW973RGMPWP4THHA9146AQ1P,2025-05-27T15:55:49.035176294Z,2,2025-05-27T15:55:49.035176294Z,false,2025-05-27T15:55:49.035176294Z,Communication Round 1,2025-05-27T15:55:49.035176294Z,1,2025-05-27T15:55:49.144624225Z,true,2025-05-27T15:57:31.408967591Z
01JW97A1XDT3MWGGXG45WZX1B3,01JW973RFZ5RMN96Y4ZPYJBM6Y,2025-05-27T15:55:49.03760967Z,true,2025-05-27T15:55:49.03760967Z,true,2025-05-27T16:00:32.639418396Z,true,2025-05-27T15:55:49.03760967Z,01JW973RGMPWP4THHA9146AQ1P,2025-05-27T15:55:49.03760967Z,8,2025-05-27T15:55:49.03760967Z,false,2025-05-27T15:55:49.03760967Z,Communication Round 7,2025-05-27T15:55:49.03760967Z,1,2025-05-27T15:55:49.19686871Z,true,2025-05-27T16:00:11.214997154Z
01JW97A1XB5NETT6AX5QPJQW87,01JW973RFZ5RMN96Y4ZPYJBM6Y,2025-05-27T15:55:49.036014497Z,true,2025-05-27T15:55:49.036014497Z,true,2025-05-27T15:59:10.828987874Z,true,2025-05-27T15:55:49.036014497Z,01JW973RGMPWP4THHA9146AQ1P,2025-05-27T15:55:49.036014497Z,5,2025-05-27T15:55:49.036014497Z,false,2025-05-27T15:55:49.036014497Z,Communication Round 4,2025-05-27T15:55:49.036014497Z,1,2025-05-27T15:55:49.171679008Z,true,2025-05-27T15:58:40.6128313Z
01JW97A1XQ6X14745MDH04345A,01JW973RFZ5RMN96Y4ZPYJBM6Y,2025-05-27T15:55:49.047890633Z,true,2025-05-27T15:55:49.047890633Z,true,2025-05-27T16:08:13.591834606Z,true,2025-05-27T15:55:49.047890633Z,01JW973RGMPWP4THHA9146AQ1P,2025-05-27T15:55:49.047890633Z,32,2025-05-27T15:55:49.047890633Z,false,2025-05-27T15:55:49.047890633Z,Communication Round 31,2025-05-27T15:55:49.047890633Z,1,2025-05-27T15:55:49.438230074Z,true,2025-05-27T16:07:51.632551934Z
01JW97A1XF5WWQYY20C210R6KN,01JW973RFZ5RMN96Y4ZPYJBM6Y,2025-05-27T15:55:49.039740772Z,true,2025-05-27T15:55:49.039740772Z,true,2025-05-27T16:01:10.538575417Z,true,2025-05-27T15:55:49.039740772Z,01JW973RGMPWP4THHA9146AQ1P,2025-05-27T15:55:49.039740772Z,10,2025-05-27T15:55:49.039740772Z,false,2025-05-27T15:55:49.039740772Z,Communication Round 9,2025-05-27T15:55:49.039740772Z,1,2025-05-27T15:55:49.212025583Z,true,2025-05-27T16:00:54.450093726Z
01JW97A1XNY10R62CWFEFCTG9K,01JW973RFZ5RMN96Y4ZPYJBM6Y,2025-05-27T15:55:49.045897233Z,true,2025-05-27T15:55:49.045897233Z,true,2025-05-27T16:06:30.266836963Z,true,2025-05-27T15:55:49.045897233Z,01JW973RGMPWP4THHA9146AQ1P,2025-05-27T15:55:49.045897233Z,26,2025-05-27T15:55:49.045897233Z,false,2025-05-27T15:55:49.045897233Z,Communication Round 25,2025-05-27T15:55:49.045897233Z,1,2025-05-27T15:55:49.37155255Z,true,2025-05-27T16:06:08.662467701Z
01JW97A1XYBK941AA9BT13TVTD,01JW973RFZ5RMN96Y4ZPYJBM6Y,2025-05-27T15:55:49.054677604Z,true,2025-05-27T15:55:49.054677604Z,true,2025-05-27T16:09:09.918977498Z,true,2025-05-27T15:55:49.054677604Z,01JW973RGMPWP4THHA9146AQ1P,2025-05-27T15:55:49.054677604Z,35,2025-05-27T15:55:49.054677604Z,false,2025-05-27T15:55:49.054677604Z,Communication Round 34,2025-05-27T15:55:49.054677604Z,1,2025-05-27T15:55:49.466925036Z,true,2025-05-27T16:08:57.745194508Z
01JW97A1XAEXPR9BN7KVW449KE,01JW973RFZ5RMN96Y4ZPYJBM6Y,2025-05-27T15:55:49.034774033Z,true,2025-05-27T15:55:49.034774033Z,true,2025-05-27T15:57:31.377213433Z,true,2025-05-27T15:55:49.034774033Z,01JW973RGMPWP4THHA9146AQ1P,2025-05-27T15:55:49.034774033Z,1,2025-05-27T15:55:49.034774033Z,true,2025-05-27T15:55:49.034774033Z,Tutorial Round,2025-05-27T15:55:49.034774033Z,1,2025-05-27T15:55:49.13713122Z,true,2025-05-27T15:56:51.420860528Z
01JW97A1XB5NETT6AX4Z6XXPKR,01JW973RFZ5RMN96Y4ZPYJBM6Y,2025-05-27T15:55:49.035619343Z,true,2025-05-27T15:55:49.035619343Z,true,2025-05-27T15:58:40.547944473Z,true,2025-05-27T15:55:49.035619343Z,01JW973RGMPWP4THHA9146AQ1P,2025-05-27T15:55:49.035619343Z,4,2025-05-27T15:55:49.035619343Z,false,2025-05-27T15:55:49.035619343Z,Communication Round 3,2025-05-27T15:55:49.035619343Z,1,2025-05-27T15:55:49.161880775Z,true,2025-05-27T15:58:19.457690226Z
01JW97A1XC8XA9NA1S4QR15R0Q,01JW973RFZ5RMN96Y4ZPYJBM6Y,2025-05-27T15:55:49.036365372Z,true,2025-05-27T15:55:49.036365372Z,true,2025-05-27T15:58:19.406049289Z,true,2025-05-27T15:55:49.036365372Z,01JW973RGMPWP4THHA9146AQ1P,2025-05-27T15:55:49.036365372Z,3,2025-05-27T15:55:49.036365372Z,false,2025-05-27T15:55:49.036365372Z,Communication Round 2,2025-05-27T15:55:49.036365372Z,1,2025-05-27T15:55:49.153005683Z,true,2025-05-27T15:57:56.357905535Z
