id,cumulativeResults,cumulativeResultsLastChangedAt,ended,endedLastChangedAt,exitStepDone,exitStepDoneLastChangedAt,exitSurvey,exitSurveyLastChangedAt,gameID,gameIDLastChangedAt,groupAllocations,groupAllocationsLastChangedAt,introDone,introDoneLastChangedAt,participantID,participantIDLastChangedAt,participantIdentifier,participantIdentifierLastChangedAt,score,scoreLastChangedAt,treatment,treatmentLastChangedAt,treatmentName,treatmentNameLastChangedAt,tutorialChoice,tutorialChoiceLastChangedAt,urlParams,urlParamsLastChangedAt
01JW97EQTZ16KRZEDB93FG315X,,,game terminated,2025-05-27T16:00:02.722289931Z,true,2025-05-27T16:01:29.653276988Z,"{""age"":39,""gender"":""Male"",""genderOther"":"""",""race"":""Caucasian"",""raceOther"":"""",""education"":""Some College"",""educationOther"":"""",""country"":""USA"",""politicalOrientation"":""Extremely Conservative"",""experience"":""No"",""engagement"":""Not Engaging"",""clearity"":""Clear"",""interference"":"""",""interferenceOption"":""No"",""keyFactors"":""N/A"",""strategy"":""N/A"",""motivation"":""money"",""followUp"":""Yes"",""additionalFeedback"":""Couldn't find any other players I guess""}",2025-05-27T16:01:29.654577118Z,01JW97AX4JEH8SCS6516AF73WP,2025-05-27T15:58:22.572134799Z,,,true,2025-05-27T15:58:49.077242748Z,01JW97EQPT7TWBH5GG3ZY88N8A,2025-05-27T15:58:22.559416408Z,DC5FCC1E5C9041279DD6F2C26D6C51EA,2025-05-27T15:58:22.559416408Z,,,"{""chatEnabled"":true,""numRounds"":50,""playerCount"":10,""type"":""communication""}",2025-05-27T15:58:22.572134799Z,Standard-communication,2025-05-27T15:58:22.572134799Z,,,"{""participantId"":""DC5FCC1E5C9041279DD6F2C26D6C51EA"",""assignmentId"":""d02b407a-a7fd-4251-948b-9c1d01612330"",""projectId"":""4e87c0de-a557-4559-bec5-cc1a8150a4b9""}",2025-05-27T15:58:22.641464442Z
01JW978H1YK0SPZTAH90JHFHNS,"{""Crimson"":{""success"":4,""failures"":1},""Bright Green"":{""success"":1,""failures"":1},""Amber"":{""success"":1,""failures"":1},""Purple"":{""success"":6,""failures"":3},""Sky Blue"":{""success"":1,""failures"":1},""Pink"":{""success"":2,""failures"":3},""Indigo"":{""success"":1,""failures"":1},""Slate"":{""success"":34,""failures"":6},""Orange"":{""success"":1,""failures"":1},""Black"":{""success"":1,""failures"":1}}",2025-05-27T16:14:38.785843973Z,game ended,2025-05-27T16:17:49.144464022Z,true,2025-05-27T16:22:31.536339486Z,"{""age"":57,""gender"":""Female"",""genderOther"":"""",""race"":""Caucasian"",""raceOther"":"""",""education"":""Graduate Professional School"",""educationOther"":"""",""country"":""USA"",""politicalOrientation"":""Moderately Liberal"",""experience"":""No"",""engagement"":""Not Engaging"",""clearity"":""Moderately Clear"",""interference"":"""",""interferenceOption"":""No"",""keyFactors"":""Ratio of success to failure and total overall successes."",""strategy"":""I selected the candidates with both the highest successes and the highest success to failure ratios. I then occasionally switched it up if a candidate had a better ratio of success to failure even if they had fewer overall successes. "",""motivation"":""Payment"",""followUp"":""Yes"",""additionalFeedback"":""It would have been more interesting to get information at the end about the other people's choices. I thought I was working as a team but it didn't feel like it, what little information I was given was hard to know what anything meant. ""}",2025-05-27T16:22:31.531872707Z,01JW973RGMPWP4THHA9146AQ1P,2025-05-27T15:54:59.015114993Z,"{""Slate"":40,""Purple"":20,""Pink"":20,""Crimson"":10,""Orange"":2,""Amber"":2,""Indigo"":6}",2025-05-27T16:16:35.325497369Z,true,2025-05-27T15:55:22.204663116Z,01JW978GY98RHVR4XYEGPWN23N,2025-05-27T15:54:59.006203088Z,Billie,2025-05-27T15:54:59.006203088Z,42,2025-05-27T16:14:38.785843973Z,"{""chatEnabled"":true,""numRounds"":50,""playerCount"":10,""type"":""communication""}",2025-05-27T15:54:59.015114993Z,Standard-communication,2025-05-27T15:54:59.015114993Z,Slate,2025-05-27T15:55:49.056590425Z,"{""participantId"":""DAB965D5ABC14D97A960E576BB782EE8"",""assignmentId"":""fefc44a9-8292-420f-b839-0de109f747b9"",""projectId"":""4e87c0de-a557-4559-bec5-cc1a8150a4b9""}",2025-05-27T15:54:59.160989209Z
01JW97GHKCY6QSSZKVVS3YR8MS,,,game terminated,2025-05-27T16:00:02.722289931Z,true,2025-05-27T16:01:27.793499708Z,"{""age"":39,""gender"":""Male"",""genderOther"":"""",""race"":""Caucasian"",""raceOther"":"""",""education"":""Some College"",""educationOther"":"""",""country"":""usa"",""politicalOrientation"":""Extremely Liberal"",""experience"":""No"",""engagement"":""Not Engaging"",""clearity"":""Very Unclear"",""interference"":""See above"",""interferenceOption"":""Yes"",""keyFactors"":""See above"",""strategy"":""Got sent to the exit survey again"",""motivation"":""See above "",""followUp"":""Yes"",""additionalFeedback"":""""}",2025-05-27T16:01:27.814299635Z,01JW97AX4JEH8SCS6516AF73WP,2025-05-27T15:59:21.71584239Z,,,true,2025-05-27T15:59:24.056095785Z,01JW97GGYJZXAW6TE0EXR6ZDCG,2025-05-27T15:59:21.708156646Z,A9824C57F177419D9DA7026DE9F416CA,2025-05-27T15:59:21.708156646Z,,,"{""chatEnabled"":true,""numRounds"":50,""playerCount"":10,""type"":""communication""}",2025-05-27T15:59:21.71584239Z,Standard-communication,2025-05-27T15:59:21.71584239Z,,,{},2025-05-27T15:59:22.024757316Z
01JW9753GREBH8Q1H278C6P42E,"{""Crimson"":{""success"":1,""failures"":1},""Bright Green"":{""success"":1,""failures"":1},""Amber"":{""success"":2,""failures"":1},""Purple"":{""success"":2,""failures"":1},""Sky Blue"":{""success"":1,""failures"":1},""Pink"":{""success"":5,""failures"":1},""Indigo"":{""success"":1,""failures"":1},""Slate"":{""success"":32,""failures"":8},""Orange"":{""success"":1,""failures"":1},""Black"":{""success"":1,""failures"":1}}",2025-05-27T16:14:38.785843973Z,game ended,2025-05-27T16:17:49.144464022Z,true,2025-05-27T16:22:39.731322876Z,"{""age"":42,""gender"":""Female"",""genderOther"":"""",""race"":""African"",""raceOther"":"""",""education"":""College"",""educationOther"":"""",""country"":""USA"",""politicalOrientation"":""Extremely Conservative"",""experience"":""No"",""engagement"":""Very Engaging"",""clearity"":""Very Clear"",""interference"":"""",""interferenceOption"":""No"",""keyFactors"":""I prioritized groups with higher success-to-failure ratios, as these indicated consistent and reliable performance."",""strategy"":""I looked at the ratio of successes to total attempts (successes + failures) for each group to assess their overall productivity and reliability."",""motivation"":""I was motivated by the challenge of identifying the most productive groups to maximize success and contribute to the overall goal of building a high-performing team."",""followUp"":""Yes"",""additionalFeedback"":""INTERESTING SURVEY""}",2025-05-27T16:22:39.75308114Z,01JW973RGMPWP4THHA9146AQ1P,2025-05-27T15:53:06.849168167Z,"{""Slate"":50,""Purple"":20,""Pink"":21,""Black"":9}",2025-05-27T16:15:47.623463884Z,true,2025-05-27T15:53:10.480868347Z,01JW9751TA2FR7AZ0ABNADMPN1,2025-05-27T15:53:06.840564824Z,26ED20DE68404CCA9C07B30CAF745482,2025-05-27T15:53:06.840564824Z,25,2025-05-27T16:14:38.785843973Z,"{""chatEnabled"":true,""numRounds"":50,""playerCount"":10,""type"":""communication""}",2025-05-27T15:53:06.849168167Z,Standard-communication,2025-05-27T15:53:06.849168167Z,Amber,2025-05-27T15:55:49.056590425Z,"{""participantId"":""26ED20DE68404CCA9C07B30CAF745482"",""assignmentId"":""686eedc8-c553-4f19-965d-8eda1896a80c"",""projectId"":""4e87c0de-a557-4559-bec5-cc1a8150a4b9""}",2025-05-27T15:53:07.320374503Z
01JW975ABV8DXQEHP7WWZH726C,"{""Crimson"":{""success"":1,""failures"":1},""Bright Green"":{""success"":1,""failures"":1},""Amber"":{""success"":1,""failures"":1},""Purple"":{""success"":2,""failures"":1},""Sky Blue"":{""success"":1,""failures"":1},""Pink"":{""success"":1,""failures"":1},""Indigo"":{""success"":1,""failures"":1},""Slate"":{""success"":45,""failures"":6},""Orange"":{""success"":1,""failures"":1},""Black"":{""success"":2,""failures"":1}}",2025-05-27T16:14:38.785843973Z,game ended,2025-05-27T16:17:49.144464022Z,true,2025-05-27T16:19:25.756764356Z,"{""age"":37,""gender"":""Female"",""genderOther"":"""",""race"":""Caucasian"",""raceOther"":"""",""education"":""Some College"",""educationOther"":"""",""country"":""USA"",""politicalOrientation"":""Extremely Liberal"",""experience"":""No"",""engagement"":""Moderately Engaging"",""clearity"":""Very Clear"",""interference"":"""",""interferenceOption"":""No"",""keyFactors"":""The number of successes."",""strategy"":""I picked the one who had the most tries."",""motivation"":""It looked interesting and paid well for my time."",""followUp"":""Yes"",""additionalFeedback"":""""}",2025-05-27T16:19:25.754514615Z,01JW973RGMPWP4THHA9146AQ1P,2025-05-27T15:53:13.859954375Z,"{""Slate"":90,""Purple"":10}",2025-05-27T16:15:11.434216002Z,true,2025-05-27T15:53:37.2178736Z,01JW975A8CHSQNX79DZK420P1F,2025-05-27T15:53:13.851524187Z,D1BD52C7F64E482CABABE12FB5042A25,2025-05-27T15:53:13.851524187Z,46,2025-05-27T16:14:38.785843973Z,"{""chatEnabled"":true,""numRounds"":50,""playerCount"":10,""type"":""communication""}",2025-05-27T15:53:13.859954375Z,Standard-communication,2025-05-27T15:53:13.859954375Z,Purple,2025-05-27T15:55:49.056590425Z,"{""participantId"":""D1BD52C7F64E482CABABE12FB5042A25"",""assignmentId"":""f71e4065-c84d-421a-bc46-4db462a22c2e"",""projectId"":""4e87c0de-a557-4559-bec5-cc1a8150a4b9""}",2025-05-27T15:53:13.931054953Z
01JW978C35KHQYD6GHFHASHHFF,"{""Crimson"":{""success"":1,""failures"":1},""Bright Green"":{""success"":1,""failures"":1},""Amber"":{""success"":1,""failures"":1},""Purple"":{""success"":3,""failures"":3},""Sky Blue"":{""success"":1,""failures"":1},""Pink"":{""success"":1,""failures"":1},""Indigo"":{""success"":2,""failures"":1},""Slate"":{""success"":41,""failures"":6},""Orange"":{""success"":1,""failures"":1},""Black"":{""success"":2,""failures"":1}}",2025-05-27T16:14:38.785843973Z,game ended,2025-05-27T16:17:49.144464022Z,true,2025-05-27T16:21:05.536592045Z,"{""age"":19,""gender"":""Male"",""genderOther"":"""",""race"":""Caucasian"",""raceOther"":"""",""education"":""High School"",""educationOther"":"""",""country"":""United States of America"",""politicalOrientation"":""Moderately Conservative"",""experience"":""No"",""engagement"":""Slightly Engaging"",""clearity"":""Clear"",""interference"":"""",""interferenceOption"":""No"",""keyFactors"":""Experience but also consistency. It doesn't matter if you can produce a lot if what you are doing is wrong and failing."",""strategy"":""I weighed productivity based on the success to failure ratio. Even if an applicant had a higher number of successes than another applicant if they had more failures that factored in their ratio, I would pick the applicant with the smaller number of successes."",""motivation"":""Monetary incentive "",""followUp"":""Yes"",""additionalFeedback"":""None""}",2025-05-27T16:21:05.531236201Z,01JW973RGMPWP4THHA9146AQ1P,2025-05-27T15:54:53.934082604Z,"{""Slate"":65,""Purple"":15,""Pink"":6,""Crimson"":8,""Indigo"":2,""Black"":2,""Amber"":2}",2025-05-27T16:15:37.930541605Z,true,2025-05-27T15:55:09.511158305Z,01JW978BWK4CNMFGDK4NT4DYN2,2025-05-27T15:54:53.925631378Z,47B0274D5C50478B8C8746950F8F5799,2025-05-27T15:54:53.925631378Z,44,2025-05-27T16:14:38.785843973Z,"{""chatEnabled"":true,""numRounds"":50,""playerCount"":10,""type"":""communication""}",2025-05-27T15:54:53.934082604Z,Standard-communication,2025-05-27T15:54:53.934082604Z,Indigo,2025-05-27T15:55:49.056590425Z,"{""participantId"":""47B0274D5C50478B8C8746950F8F5799"",""assignmentId"":""462f4cff-4ca8-4097-9d0e-8cc8849e2f71"",""projectId"":""4e87c0de-a557-4559-bec5-cc1a8150a4b9""}",2025-05-27T15:54:54.122118904Z
01JW97BV09G571VS2FA4GHG4NB,,,game terminated,2025-05-27T16:00:02.722289931Z,,,,,01JW97AX4JEH8SCS6516AF73WP,2025-05-27T15:56:47.510341279Z,,,,,01JW97BTTX30EG1FY8TAY21N7J,2025-05-27T15:56:47.497879225Z,BW,2025-05-27T15:56:47.497879225Z,,,"{""chatEnabled"":true,""numRounds"":50,""playerCount"":10,""type"":""communication""}",2025-05-27T15:56:47.510341279Z,Standard-communication,2025-05-27T15:56:47.510341279Z,,,"{""participantId"":""EB1FAEA567E44D18B944585EAD76B0F5"",""projectId"":""4e87c0de-a557-4559-bec5-cc1a8150a4b9"",""assignmentId"":""2231ae58-5203-4cda-b959-ec55686c2ed7""}",2025-05-27T15:56:47.695140854Z
01JW974XJR8E3E51JYY40R7ZH8,"{""Crimson"":{""success"":2,""failures"":1},""Bright Green"":{""success"":1,""failures"":1},""Amber"":{""success"":1,""failures"":1},""Purple"":{""success"":2,""failures"":1},""Sky Blue"":{""success"":1,""failures"":1},""Pink"":{""success"":1,""failures"":1},""Indigo"":{""success"":1,""failures"":1},""Slate"":{""success"":45,""failures"":5},""Orange"":{""success"":1,""failures"":1},""Black"":{""success"":1,""failures"":2}}",2025-05-27T16:14:38.785843973Z,game ended,2025-05-27T16:17:49.144464022Z,true,2025-05-27T16:20:43.890409939Z,"{""age"":60,""gender"":""Female"",""genderOther"":"""",""race"":""African"",""raceOther"":"""",""education"":""High School"",""educationOther"":"""",""country"":""United States"",""politicalOrientation"":""Extremely Liberal"",""experience"":""No"",""engagement"":""Slightly Engaging"",""clearity"":""Moderately Clear"",""interference"":"""",""interferenceOption"":""No"",""keyFactors"":""Successes"",""strategy"":""It was based on success.  The failures were still within range of a highly success employee. "",""motivation"":""The payment"",""followUp"":""Yes"",""additionalFeedback"":""It was repetitive ""}",2025-05-27T16:20:43.886818194Z,01JW973RGMPWP4THHA9146AQ1P,2025-05-27T15:53:00.771878307Z,"{""Slate"":25,""Amber"":1,""Bright Green"":1,""Sky Blue"":1,""Orange"":1,""Indigo"":16,""Purple"":20,""Pink"":15,""Crimson"":10,""Black"":10}",2025-05-27T16:17:16.870772444Z,true,2025-05-27T15:53:23.095639138Z,01JW974XCSB1ZC2YHW99N0EGQT,2025-05-27T15:53:00.760066411Z,E3BEF04CCBC640E1B0AC5BC01C520A8F,2025-05-27T15:53:00.760066411Z,46,2025-05-27T16:14:38.785843973Z,"{""chatEnabled"":true,""numRounds"":50,""playerCount"":10,""type"":""communication""}",2025-05-27T15:53:00.771878307Z,Standard-communication,2025-05-27T15:53:00.771878307Z,Crimson,2025-05-27T15:55:49.056590425Z,"{""participantId"":""E3BEF04CCBC640E1B0AC5BC01C520A8F"",""assignmentId"":""9ae7008a-2c8f-4f86-ae0e-0e757e45ac84"",""projectId"":""4e87c0de-a557-4559-bec5-cc1a8150a4b9""}",2025-05-27T15:53:00.923547Z
01JW9752CPM09HPW1D7P74C9VB,"{""Crimson"":{""success"":1,""failures"":1},""Bright Green"":{""success"":1,""failures"":2},""Amber"":{""success"":1,""failures"":1},""Purple"":{""success"":5,""failures"":1},""Sky Blue"":{""success"":1,""failures"":1},""Pink"":{""success"":1,""failures"":1},""Indigo"":{""success"":1,""failures"":1},""Slate"":{""success"":45,""failures"":3},""Orange"":{""success"":1,""failures"":1},""Black"":{""success"":1,""failures"":1}}",2025-05-27T16:14:38.785843973Z,game ended,2025-05-27T16:17:49.144464022Z,,,,,01JW973RGMPWP4THHA9146AQ1P,2025-05-27T15:53:05.699377529Z,"{""Slate"":100}",2025-05-27T16:14:48.506320406Z,true,2025-05-27T15:53:15.001419523Z,01JW97526QRJBT899NT9VMTD93,2025-05-27T15:53:05.686582244Z,2D79A15E16EB42FDB17E48F1EA751110,2025-05-27T15:53:05.686582244Z,48,2025-05-27T16:14:38.785843973Z,"{""chatEnabled"":true,""numRounds"":50,""playerCount"":10,""type"":""communication""}",2025-05-27T15:53:05.699377529Z,Standard-communication,2025-05-27T15:53:05.699377529Z,Bright Green,2025-05-27T15:55:49.056590425Z,"{""participantId"":""2D79A15E16EB42FDB17E48F1EA751110"",""assignmentId"":""7bdabb42-9a05-48fe-ae4b-cd9f7fcc910f"",""projectId"":""4e87c0de-a557-4559-bec5-cc1a8150a4b9""}",2025-05-27T15:53:05.826317601Z
01JW97984H3NNZWV6E2HQ6YMPB,"{""Crimson"":{""success"":1,""failures"":1},""Bright Green"":{""success"":1,""failures"":1},""Amber"":{""success"":1,""failures"":1},""Purple"":{""success"":9,""failures"":1},""Sky Blue"":{""success"":1,""failures"":1},""Pink"":{""success"":3,""failures"":2},""Indigo"":{""success"":2,""failures"":1},""Slate"":{""success"":32,""failures"":8},""Orange"":{""success"":1,""failures"":1},""Black"":{""success"":2,""failures"":1}}",2025-05-27T16:14:38.785843973Z,game ended,2025-05-27T16:17:49.144464022Z,true,2025-05-27T16:20:56.137251085Z,"{""age"":57,""gender"":""Female"",""genderOther"":"""",""race"":""Caucasian"",""raceOther"":"""",""education"":""College"",""educationOther"":"""",""country"":""United States"",""politicalOrientation"":""Moderately Liberal"",""experience"":""No"",""engagement"":""Very Engaging"",""clearity"":""Moderately Clear"",""interference"":"""",""interferenceOption"":""No"",""keyFactors"":""The numbers, and the percentages for success for each group."",""strategy"":""At first, I wasn't certain how to approach this game and ultimately decided to use percentages to try and calculate the best opportunities for success."",""motivation"":""This survey caught my eye because I usually enjoy the challenge of playing brain games. I believe it's good for all of us to engage in such activities, no matter what age we are. The payment is also much appreciated."",""followUp"":""Yes"",""additionalFeedback"":""""}",2025-05-27T16:20:56.13114051Z,01JW973RGMPWP4THHA9146AQ1P,2025-05-27T15:55:22.649865894Z,"{""Crimson"":0,""Purple"":0,""Pink"":10,""Slate"":90}",2025-05-27T16:17:49.049193996Z,true,2025-05-27T15:55:40.699409841Z,01JW9797Z399WQP0J5GA667F4C,2025-05-27T15:55:22.641067206Z,AE6F1EF3BCC04747B060B14156A1EADF,2025-05-27T15:55:22.641067206Z,43,2025-05-27T16:14:38.785843973Z,"{""chatEnabled"":true,""numRounds"":50,""playerCount"":10,""type"":""communication""}",2025-05-27T15:55:22.649865894Z,Standard-communication,2025-05-27T15:55:22.649865894Z,Black,2025-05-27T15:55:49.056590425Z,"{""participantId"":""AE6F1EF3BCC04747B060B14156A1EADF"",""assignmentId"":""bdc52f2d-222a-403d-94c2-5b7d7ec0e844"",""projectId"":""4e87c0de-a557-4559-bec5-cc1a8150a4b9""}",2025-05-27T15:55:22.767154196Z
