id,cumulativeResults,cumulativeResultsLastChangedAt,ended,endedLastChangedAt,exitStepDone,exitStepDoneLastChangedAt,exitSurvey,exitSurveyLastChangedAt,gameID,gameIDLastChangedAt,groupAllocations,groupAllocationsLastChangedAt,introDone,introDoneLastChangedAt,participantID,participantIDLastChangedAt,participantIdentifier,participantIdentifierLastChangedAt,score,scoreLastChangedAt,treatment,treatmentLastChangedAt,treatmentName,treatmentNameLastChangedAt,tutorialChoice,tutorialChoiceLastChangedAt,urlParams,urlParamsLastChangedAt
01JVXC6GEC8939A025XQQVG1HJ,"{""Crimson"":{""success"":1,""failures"":1},""Bright Green"":{""success"":1,""failures"":1},""Amber"":{""success"":1,""failures"":1},""Purple"":{""success"":1,""failures"":2},""Sky Blue"":{""success"":45,""failures"":5},""Pink"":{""success"":2,""failures"":2},""Indigo"":{""success"":1,""failures"":1},""Slate"":{""success"":1,""failures"":1},""Orange"":{""success"":1,""failures"":1},""Black"":{""success"":1,""failures"":1}}",2025-05-23T01:39:04.50341322Z,game ended,2025-05-23T01:41:11.169180782Z,true,2025-05-23T01:42:57.664874509Z,"{""age"":31,""gender"":""Male"",""genderOther"":"""",""race"":""African"",""raceOther"":"""",""education"":""College"",""educationOther"":"""",""country"":""United States"",""politicalOrientation"":""Slightly Liberal"",""experience"":""No"",""engagement"":""Engaging"",""clearity"":""Clear"",""interference"":"""",""interferenceOption"":""No"",""keyFactors"":""Communication was not enabled, so it was purely the results, how many failures to successes."",""strategy"":""Once I experimented around with some of the candidates, I just kept riding the one with the lowest failure rate and I think that did well."",""motivation"":""Monetary incentive, to be honest!"",""followUp"":""Yes"",""additionalFeedback"":""""}",2025-05-23T01:42:57.662849661Z,01JVXC0MZ4JVJ3AEJZJ3R9ZR99,2025-05-23T01:30:22.549704204Z,"{""Sky Blue"":100}",2025-05-23T01:39:35.516619211Z,true,2025-05-23T01:30:48.495280533Z,01JVXC6G46TZJ5B87K0W5VKVQE,2025-05-23T01:30:22.540199894Z,E5C0B9F755E34CB1B9DE016D64080759,2025-05-23T01:30:22.540199894Z,45,2025-05-23T01:39:04.50341322Z,"{""chatEnabled"":false,""numRounds"":50,""playerCount"":10,""type"":""non-communication""}",2025-05-23T01:30:22.549704204Z,Standard-non-communication,2025-05-23T01:30:22.549704204Z,Sky Blue,2025-05-23T01:31:35.936495344Z,"{""participantId"":""E5C0B9F755E34CB1B9DE016D64080759"",""assignmentId"":""5a9cedc4-973d-4505-a3c4-a5a20b0abfd1"",""projectId"":""4e87c0de-a557-4559-bec5-cc1a8150a4b9""}",2025-05-23T01:30:22.725658367Z
01JVXC7XBE9ASR61RPRWVE5ERF,"{""Crimson"":{""success"":1,""failures"":1},""Bright Green"":{""success"":1,""failures"":1},""Amber"":{""success"":1,""failures"":1},""Purple"":{""success"":1,""failures"":1},""Sky Blue"":{""success"":1,""failures"":1},""Pink"":{""success"":1,""failures"":1},""Indigo"":{""success"":1,""failures"":1},""Slate"":{""success"":1,""failures"":1},""Orange"":{""success"":1,""failures"":1},""Black"":{""success"":47,""failures"":6}}",2025-05-23T01:39:04.50341322Z,game ended,2025-05-23T01:41:11.169180782Z,true,2025-05-23T01:43:58.938272571Z,"{""age"":23,""gender"":""Female"",""genderOther"":"""",""race"":""Caucasian"",""raceOther"":"""",""education"":""High School"",""educationOther"":"""",""country"":""United States"",""politicalOrientation"":""Slightly Conservative"",""experience"":""No"",""engagement"":""Very Engaging"",""clearity"":""Very Clear"",""interference"":"""",""interferenceOption"":""No"",""keyFactors"":""Successes any how many failures. If there are more failures than successes I would not choose them"",""strategy"":""I paid attention to how many successes they had compared to failures"",""motivation"":""It seemed interesting"",""followUp"":""Yes"",""additionalFeedback"":""""}",2025-05-23T01:43:58.94073288Z,01JVXC0MZ4JVJ3AEJZJ3R9ZR99,2025-05-23T01:31:08.537655937Z,"{""Black"":47,""Crimson"":10,""Bright Green"":10,""Amber"":10,""Purple"":10,""Pink"":3,""Sky Blue"":5,""Indigo"":2,""Slate"":2,""Orange"":1}",2025-05-23T01:40:48.848086951Z,true,2025-05-23T01:31:33.008440895Z,01JVXC7X3GZB5EQJKQRY0QBGG5,2025-05-23T01:31:08.527024185Z,C27D59993A9B4028BCB97EB1C428C5D7,2025-05-23T01:31:08.527024185Z,46,2025-05-23T01:39:04.50341322Z,"{""chatEnabled"":false,""numRounds"":50,""playerCount"":10,""type"":""non-communication""}",2025-05-23T01:31:08.537655937Z,Standard-non-communication,2025-05-23T01:31:08.537655937Z,Black,2025-05-23T01:31:35.936495344Z,"{""participantId"":""C27D59993A9B4028BCB97EB1C428C5D7"",""assignmentId"":""1cb98f44-a473-4455-b104-7096ef1b434f"",""projectId"":""4e87c0de-a557-4559-bec5-cc1a8150a4b9""}",2025-05-23T01:31:08.654773235Z
01JVXC4PARHT6FMXR1M49QCM6S,"{""Crimson"":{""success"":1,""failures"":1},""Bright Green"":{""success"":49,""failures"":4},""Amber"":{""success"":1,""failures"":1},""Purple"":{""success"":1,""failures"":1},""Sky Blue"":{""success"":1,""failures"":1},""Pink"":{""success"":1,""failures"":1},""Indigo"":{""success"":1,""failures"":1},""Slate"":{""success"":1,""failures"":1},""Orange"":{""success"":1,""failures"":1},""Black"":{""success"":1,""failures"":1}}",2025-05-23T01:39:04.50341322Z,game ended,2025-05-23T01:41:11.169180782Z,true,2025-05-23T01:44:13.355885727Z,"{""age"":25,""gender"":""Female"",""genderOther"":"""",""race"":""Caucasian"",""raceOther"":"""",""education"":""College"",""educationOther"":"""",""country"":""USA"",""politicalOrientation"":""Slightly Conservative"",""experience"":""No"",""engagement"":""Engaging"",""clearity"":""Very Clear"",""interference"":"""",""interferenceOption"":""No"",""keyFactors"":""Just math, productivity shoulder be based on what % of the time they're succeeding to failing. "",""strategy"":""The ratio of success to failures was always how I decided. "",""motivation"":""I am conducting research so I love to do other research projects to help people out. "",""followUp"":""No"",""additionalFeedback"":""""}",2025-05-23T01:44:13.351874391Z,01JVXC0MZ4JVJ3AEJZJ3R9ZR99,2025-05-23T01:29:23.044091018Z,"{""Bright Green"":100,""Amber"":0}",2025-05-23T01:40:02.364129041Z,true,2025-05-23T01:29:43.133924656Z,01JVXC4P2XS797MWKJ83VZNZMY,2025-05-23T01:29:23.032688368Z,7133424E2AD44BB1A10B461203380B3B,2025-05-23T01:29:23.032688368Z,48,2025-05-23T01:39:04.50341322Z,"{""chatEnabled"":false,""numRounds"":50,""playerCount"":10,""type"":""non-communication""}",2025-05-23T01:29:23.044091018Z,Standard-non-communication,2025-05-23T01:29:23.044091018Z,Bright Green,2025-05-23T01:31:35.936495344Z,"{""participantId"":""7133424E2AD44BB1A10B461203380B3B"",""assignmentId"":""47b65348-482d-440a-b388-e2686cfef431"",""projectId"":""4e87c0de-a557-4559-bec5-cc1a8150a4b9""}",2025-05-23T01:29:23.186170542Z
01JVXC51SFT28Q7E9G7G4MYSZN,"{""Crimson"":{""success"":1,""failures"":1},""Bright Green"":{""success"":1,""failures"":1},""Amber"":{""success"":47,""failures"":6},""Purple"":{""success"":1,""failures"":1},""Sky Blue"":{""success"":1,""failures"":1},""Pink"":{""success"":1,""failures"":1},""Indigo"":{""success"":1,""failures"":1},""Slate"":{""success"":1,""failures"":1},""Orange"":{""success"":1,""failures"":1},""Black"":{""success"":1,""failures"":1}}",2025-05-23T01:39:04.50341322Z,game ended,2025-05-23T01:41:11.169180782Z,true,2025-05-23T01:44:00.188044787Z,"{""age"":36,""gender"":""Male"",""genderOther"":"""",""race"":""African"",""raceOther"":"""",""education"":""Graduate Professional School"",""educationOther"":"""",""country"":""United States"",""politicalOrientation"":""Moderately Liberal"",""experience"":""No"",""engagement"":""Engaging"",""clearity"":""Clear"",""interference"":"""",""interferenceOption"":""No"",""keyFactors"":""Success rate and the total amount of successful performances."",""strategy"":""I largely focused on percentage of group success."",""motivation"":""I like testing my brain."",""followUp"":""Yes"",""additionalFeedback"":""""}",2025-05-23T01:44:00.190068895Z,01JVXC0MZ4JVJ3AEJZJ3R9ZR99,2025-05-23T01:29:34.78050406Z,"{""Purple"":3,""Sky Blue"":3,""Pink"":3,""Indigo"":3,""Slate"":3,""Orange"":3,""Black"":3,""Crimson"":3,""Bright Green"":3,""Amber"":73}",2025-05-23T01:40:24.913665261Z,true,2025-05-23T01:30:18.990772666Z,01JVXC51MFS69RR3RH68KBC674,2025-05-23T01:29:34.767355568Z,27988811768D4683AB32762C059F4568,2025-05-23T01:29:34.767355568Z,46,2025-05-23T01:39:04.50341322Z,"{""chatEnabled"":false,""numRounds"":50,""playerCount"":10,""type"":""non-communication""}",2025-05-23T01:29:34.78050406Z,Standard-non-communication,2025-05-23T01:29:34.78050406Z,Amber,2025-05-23T01:31:35.936495344Z,"{""participantId"":""27988811768D4683AB32762C059F4568"",""assignmentId"":""884d9e7e-5664-43e7-ac47-46059a4d907f"",""projectId"":""4e87c0de-a557-4559-bec5-cc1a8150a4b9""}",2025-05-23T01:29:34.925414054Z
01JVXC6MBY0G4XF0D8BS261DQJ,"{""Crimson"":{""success"":3,""failures"":1},""Bright Green"":{""success"":3,""failures"":1},""Amber"":{""success"":3,""failures"":1},""Purple"":{""success"":13,""failures"":1},""Sky Blue"":{""success"":3,""failures"":1},""Pink"":{""success"":23,""failures"":3},""Indigo"":{""success"":3,""failures"":1},""Slate"":{""success"":3,""failures"":1},""Orange"":{""success"":2,""failures"":1},""Black"":{""success"":3,""failures"":1}}",2025-05-23T01:39:04.50341322Z,game ended,2025-05-23T01:41:11.169180782Z,true,2025-05-23T01:44:41.271831195Z,"{""age"":24,""gender"":""Female"",""genderOther"":"""",""race"":""Latin/x"",""raceOther"":"""",""education"":""College"",""educationOther"":"""",""country"":""USA"",""politicalOrientation"":""Extremely Liberal"",""experience"":""No"",""engagement"":""Moderately Engaging"",""clearity"":""Moderately Clear"",""interference"":"""",""interferenceOption"":""No"",""keyFactors"":""At first the continued success rate of one candidate influenced me, but then seeing that none of the candidates failed given a few chances, my decisions were mostly random or accounting for the basic consistency among the candidates"",""strategy"":""First I just compulsively picked one candidate. I randomly decided to pick another one and keep picking them, and then I decided to spread my choices out between the remaining candidates to see if any would fail given a few chances."",""motivation"":""The payment"",""followUp"":""Yes"",""additionalFeedback"":""""}",2025-05-23T01:44:41.274545074Z,01JVXC0MZ4JVJ3AEJZJ3R9ZR99,2025-05-23T01:30:26.566850279Z,"{""Purple"":10,""Pink"":10,""Indigo"":10,""Slate"":10,""Orange"":10,""Black"":10,""Sky Blue"":10,""Amber"":10,""Bright Green"":10,""Crimson"":10}",2025-05-23T01:40:32.17499644Z,true,2025-05-23T01:30:46.552067118Z,01JVXC6M62QT37H08B598562NC,2025-05-23T01:30:26.558390718Z,C18A241B8C1F40088183C5C9D5907A9B,2025-05-23T01:30:26.558390718Z,49,2025-05-23T01:39:04.50341322Z,"{""chatEnabled"":false,""numRounds"":50,""playerCount"":10,""type"":""non-communication""}",2025-05-23T01:30:26.566850279Z,Standard-non-communication,2025-05-23T01:30:26.566850279Z,Pink,2025-05-23T01:31:35.936495344Z,"{""participantId"":""C18A241B8C1F40088183C5C9D5907A9B"",""assignmentId"":""41bf8905-c4b6-47b4-8406-edb8c9c8c201"",""projectId"":""4e87c0de-a557-4559-bec5-cc1a8150a4b9""}",2025-05-23T01:30:26.718301914Z
01JVXC6Y18B46DHSEY7S3NQSBJ,"{""Crimson"":{""success"":1,""failures"":1},""Bright Green"":{""success"":1,""failures"":1},""Amber"":{""success"":1,""failures"":1},""Purple"":{""success"":1,""failures"":1},""Sky Blue"":{""success"":1,""failures"":1},""Pink"":{""success"":1,""failures"":1},""Indigo"":{""success"":44,""failures"":9},""Slate"":{""success"":1,""failures"":1},""Orange"":{""success"":1,""failures"":1},""Black"":{""success"":1,""failures"":1}}",2025-05-23T01:39:04.50341322Z,game ended,2025-05-23T01:41:11.169180782Z,true,2025-05-23T01:43:01.350438219Z,"{""age"":28,""gender"":""Female"",""genderOther"":"""",""race"":""Asian"",""raceOther"":"""",""education"":""College"",""educationOther"":"""",""country"":""USA"",""politicalOrientation"":""Extremely Liberal"",""experience"":""No"",""engagement"":""Very Engaging"",""clearity"":""Very Clear"",""interference"":"""",""interferenceOption"":""No"",""keyFactors"":""consistency "",""strategy"":""I was looking at both success and failure. Whoever had the most success that was the one I was picking"",""motivation"":""learning experience "",""followUp"":""Yes"",""additionalFeedback"":""""}",2025-05-23T01:43:01.319667117Z,01JVXC0MZ4JVJ3AEJZJ3R9ZR99,2025-05-23T01:30:36.468217104Z,"{""Indigo"":100,""Slate"":0,""Orange"":0,""Black"":0}",2025-05-23T01:40:19.808591197Z,true,2025-05-23T01:31:22.159811633Z,01JVXC6XVD65JWAHR75YPND9EH,2025-05-23T01:30:36.456085312Z,C9A4E24CA96949D0A3E40C441E761BB7,2025-05-23T01:30:36.456085312Z,43,2025-05-23T01:39:04.50341322Z,"{""chatEnabled"":false,""numRounds"":50,""playerCount"":10,""type"":""non-communication""}",2025-05-23T01:30:36.468217104Z,Standard-non-communication,2025-05-23T01:30:36.468217104Z,Indigo,2025-05-23T01:31:35.936495344Z,"{""participantId"":""C9A4E24CA96949D0A3E40C441E761BB7"",""assignmentId"":""bc3aa6d1-3656-4180-a84c-07d1348fdd60"",""projectId"":""4e87c0de-a557-4559-bec5-cc1a8150a4b9""}",2025-05-23T01:30:36.551135692Z
01JVXC7CBBKP24XVEFBH7WHZ9Z,"{""Crimson"":{""success"":1,""failures"":1},""Bright Green"":{""success"":7,""failures"":2},""Amber"":{""success"":1,""failures"":1},""Purple"":{""success"":1,""failures"":1},""Sky Blue"":{""success"":5,""failures"":1},""Pink"":{""success"":7,""failures"":1},""Indigo"":{""success"":1,""failures"":1},""Slate"":{""success"":31,""failures"":4},""Orange"":{""success"":1,""failures"":1},""Black"":{""success"":2,""failures"":1}}",2025-05-23T01:39:04.50341322Z,game ended,2025-05-23T01:41:11.169180782Z,true,2025-05-23T01:45:56.605765294Z,"{""age"":41,""gender"":""Female"",""genderOther"":"""",""race"":""Caucasian"",""raceOther"":"""",""education"":""Some College"",""educationOther"":"""",""country"":""USA"",""politicalOrientation"":""Moderately Conservative"",""experience"":""No"",""engagement"":""Moderately Engaging"",""clearity"":""Slightly Clear"",""interference"":"""",""interferenceOption"":""No"",""keyFactors"":""Consistency heavily and also the ratio of failure and success."",""strategy"":""I weighed on both success and failure, relying on the ratio of their relationship."",""motivation"":""Curiosity and interest, mainly because it was a game version and dealt with actual job experience."",""followUp"":""Yes"",""additionalFeedback"":""""}",2025-05-23T01:45:56.609366972Z,01JVXC0MZ4JVJ3AEJZJ3R9ZR99,2025-05-23T01:30:51.124188651Z,"{""Slate"":42,""Pink"":15,""Sky Blue"":11,""Bright Green"":14,""Black"":4,""Orange"":2,""Crimson"":3,""Indigo"":3,""Purple"":3,""Amber"":3}",2025-05-23T01:40:58.045866588Z,true,2025-05-23T01:31:35.802897857Z,01JVXC7C97WR0NA5RGW6S8HWKZ,2025-05-23T01:30:51.115252097Z,34BDA6805BFE4BC38061C4A7DF0E2012,2025-05-23T01:30:51.115252097Z,47,2025-05-23T01:39:04.50341322Z,"{""chatEnabled"":false,""numRounds"":50,""playerCount"":10,""type"":""non-communication""}",2025-05-23T01:30:51.124188651Z,Standard-non-communication,2025-05-23T01:30:51.124188651Z,Slate,2025-05-23T01:31:35.936495344Z,"{""participantId"":""34BDA6805BFE4BC38061C4A7DF0E2012"",""assignmentId"":""6c734f21-c6b3-40c5-a7fd-03e22b4ea4a5"",""projectId"":""4e87c0de-a557-4559-bec5-cc1a8150a4b9""}",2025-05-23T01:30:51.223637071Z
01JVXC7H2D6CN9AQ1S22409YE5,,,no more games,2025-05-23T01:31:35.807682315Z,,,,,null,2025-05-23T01:31:35.807682315Z,,,,,01JVXC7GV79G7E1YGN4VXDCTG1,2025-05-23T01:30:55.949331778Z,4B2CC3B9E37A45BBAEF587F08D7F32B7,2025-05-23T01:30:55.949331778Z,,,"{""chatEnabled"":false,""numRounds"":50,""playerCount"":10,""type"":""non-communication""}",2025-05-23T01:30:55.957408909Z,Standard-non-communication,2025-05-23T01:30:55.957408909Z,,,"{""participantId"":""4B2CC3B9E37A45BBAEF587F08D7F32B7"",""assignmentId"":""784805e2-060b-44fc-a67c-a1430053a006"",""projectId"":""4e87c0de-a557-4559-bec5-cc1a8150a4b9""}",2025-05-23T01:30:56.113367231Z
01JVXC7NASJQYAVC8CKF6V1EF3,"{""Crimson"":{""success"":1,""failures"":1},""Bright Green"":{""success"":1,""failures"":1},""Amber"":{""success"":1,""failures"":1},""Purple"":{""success"":1,""failures"":1},""Sky Blue"":{""success"":1,""failures"":1},""Pink"":{""success"":1,""failures"":1},""Indigo"":{""success"":1,""failures"":1},""Slate"":{""success"":1,""failures"":1},""Orange"":{""success"":46,""failures"":7},""Black"":{""success"":1,""failures"":1}}",2025-05-23T01:39:04.50341322Z,game ended,2025-05-23T01:41:11.169180782Z,true,2025-05-23T01:44:15.242926701Z,"{""age"":55,""gender"":""Female"",""genderOther"":"""",""race"":""Caucasian"",""raceOther"":"""",""education"":""Some College"",""educationOther"":"""",""country"":""United States"",""politicalOrientation"":""Moderately Liberal"",""experience"":""No"",""engagement"":""Slightly Engaging"",""clearity"":""Moderately Clear"",""interference"":"""",""interferenceOption"":""No"",""keyFactors"":""I'm not sure how to answer that question."",""strategy"":""I just picked the candidate that had the most success. "",""motivation"":""Monetary compensation."",""followUp"":""Yes"",""additionalFeedback"":""No.""}",2025-05-23T01:44:15.240332624Z,01JVXC0MZ4JVJ3AEJZJ3R9ZR99,2025-05-23T01:31:00.322721403Z,"{""Orange"":100}",2025-05-23T01:39:39.018958172Z,true,2025-05-23T01:31:11.07066659Z,01JVXC7MZV3CJKHC4358H0P6QM,2025-05-23T01:31:00.313595001Z,239C94BB21D14B5FB7C33C4FDF2CD9B6,2025-05-23T01:31:00.313595001Z,45,2025-05-23T01:39:04.50341322Z,"{""chatEnabled"":false,""numRounds"":50,""playerCount"":10,""type"":""non-communication""}",2025-05-23T01:31:00.322721403Z,Standard-non-communication,2025-05-23T01:31:00.322721403Z,Orange,2025-05-23T01:31:35.936495344Z,"{""participantId"":""239C94BB21D14B5FB7C33C4FDF2CD9B6"",""assignmentId"":""bee41f01-d742-4850-be10-992dbedd6694"",""projectId"":""4e87c0de-a557-4559-bec5-cc1a8150a4b9""}",2025-05-23T01:31:00.485611776Z
01JVXC8CGDXK4WDNP8CB6RTC9F,,,no more games,2025-05-23T01:31:35.807682315Z,true,2025-05-23T01:40:54.991041666Z,"{""age"":40,""gender"":""Male"",""genderOther"":"""",""race"":""Caucasian"",""raceOther"":"""",""education"":""Graduate Professional School"",""educationOther"":"""",""country"":""usa"",""politicalOrientation"":""Extremely Conservative"",""experience"":""Yes"",""engagement"":""Engaging"",""clearity"":""Clear"",""interference"":"""",""interferenceOption"":""No"",""keyFactors"":""Mainly consistency and personal experience from earlier rounds. I tried to establish a strategy based on what had worked before and adjusted if results deviated significantly."",""strategy"":""I based my decisions on a combination of observing patterns and analyzing trends. I paid close attention to both successes and failures but weighed failures slightly more to avoid repeating mistakes. I also used trial and error during earlier rounds to refine my strategy."",""motivation"":""Primarily curiosity and interest in how game theory and decision-making studies are conducted. I also saw it as a learning opportunity to understand human behavior in strategic environments."",""followUp"":""Yes"",""additionalFeedback"":"""",""experienceDetails"":""The study involved decision-making under risk and reward conditions, and participants made choices over several rounds based on hypothetical monetary outcomes.""}",2025-05-23T01:40:54.90410156Z,null,2025-05-23T01:31:35.807682315Z,,,,,01JVXC89DZ8JEK6FRSP3PV90J5,2025-05-23T01:31:24.045151695Z,A9A7A2019FBC415692AE0B6EBCBA5B2D,2025-05-23T01:31:24.045151695Z,,,"{""chatEnabled"":false,""numRounds"":50,""playerCount"":10,""type"":""non-communication""}",2025-05-23T01:31:24.055229937Z,Standard-non-communication,2025-05-23T01:31:24.055229937Z,,,"{""participantId"":""A9A7A2019FBC415692AE0B6EBCBA5B2D"",""assignmentId"":""e0d1aabf-1dfb-4b94-8189-3d4354387604"",""projectId"":""4e87c0de-a557-4559-bec5-cc1a8150a4b9""}",2025-05-23T01:31:25.398476502Z
